date, min_price, max_price
1402/03/03, 27220, 29200
1402/03/02, 26510, 28840
1402/03/01, 25520, 27170
1402/02/31, 25030, 26350
1402/02/30, 25000, 26840
1402/02/27, 24120, 25800
1402/02/25, 24730, 25290
1402/02/24, 23050, 25650
1402/02/23, 24150, 26790
1402/02/20, 25210, 26200
1402/02/19, 23570, 27050
1402/02/18, 25330, 25750
1402/02/17, 27080, 28580
1402/02/16, 28500, 29640
1402/02/13, 28260, 29600
1402/02/12, 27550, 29200
1402/02/11, 27600, 29660
1402/02/10, 28050, 29700
1402/02/09, 27800, 29660
1402/02/06, 26550, 28950
1402/02/05, 27000, 28690
1402/02/04, 27260, 28580
1402/01/30, 26800, 28860
1402/01/29, 27560, 29450
1402/01/28, 26900, 29940
1402/01/27, 25700, 28420
1402/01/26, 25560, 26860
1402/01/22, 24100, 26100
1402/01/21, 24120, 25360
1402/01/20, 24100, 25990
1402/01/19, 24090, 25720
1402/01/16, 23710, 24500
1402/01/15, 23710, 25000
1402/01/14, 23410, 24400
1402/01/09, 22130, 23650
1402/01/08, 21450, 22790
1402/01/07, 20800, 22350
1402/01/06, 21020, 23000
1402/01/05, 21100, 22210
1401/12/28, 21510, 23000
1401/12/27, 21450, 22190
1401/12/24, 20500, 21500
1401/12/21, 21600, 23870
1401/12/20, 22050, 23290
1401/12/16, 21100, 22880
1401/12/15, 20200, 21520
1401/12/14, 20110, 21000
1401/12/13, 19690, 20460
1401/12/10, 19690, 21290
1401/12/09, 18800, 20270
1401/12/08, 18440, 19310
1401/12/07, 18010, 19530
1401/12/06, 17600, 18320
1401/12/03, 17230, 17850
1401/12/02, 17160, 17660
1401/12/01, 16550, 17240
1401/11/30, 16310, 16850
1401/11/26, 16370, 16820
1401/11/25, 16460, 16880
1401/11/24, 16330, 17300
1401/11/23, 16230, 17150
1401/11/19, 16670, 17200
1401/11/18, 16630, 17580
1401/11/17, 16300, 17400
1401/11/16, 16850, 17760
1401/11/12, 17110, 17920
1401/11/11, 16650, 17900
1401/11/10, 16810, 17930
1401/11/09, 16500, 17970
1401/11/08, 17410, 17850
1401/11/05, 17430, 18170
1401/11/04, 17530, 17900
1401/11/03, 17710, 18200
1401/11/02, 17400, 18020
1401/11/01, 17330, 18430
1401/10/28, 16930, 17840
1401/10/27, 17610, 18220
1401/10/26, 17020, 18020
1401/10/24, 16600, 18000
1401/10/21, 16900, 18210
1401/10/20, 16830, 17210
1401/10/19, 16400, 17190
1401/10/18, 16560, 17180
1401/10/17, 16500, 17220
1401/10/14, 15670, 16480
1401/10/13, 16000, 16470
1401/10/12, 16180, 17220
1401/10/11, 15200, 16490
1401/10/10, 15940, 16900
1401/10/07, 16600, 17970
1401/10/05, 16660, 17420
1401/10/04, 16150, 16910
1401/10/03, 15150, 16120
1401/09/30, 14900, 15330
1401/09/29, 14850, 15040
1401/09/28, 14810, 15150
1401/09/27, 14780, 15190
1401/09/26, 14800, 15200
1401/09/23, 14320, 15340
1401/09/22, 14280, 14840
1401/09/21, 14290, 14750
1401/09/20, 14300, 14780
1401/09/19, 14350, 14760
1401/09/16, 14250, 14960
1401/09/15, 14560, 14930
1401/09/14, 14530, 14940
1401/09/13, 14620, 14990
1401/09/12, 14400, 15300
1401/09/09, 14880, 15470
1401/09/08, 14960, 15240
1401/09/07, 14890, 15480
1401/09/06, 14850, 15300
1401/09/05, 14720, 15290
1401/09/02, 15060, 15440
1401/09/01, 15250, 15560
1401/08/30, 15120, 15650
1401/08/29, 15350, 16000
1401/08/28, 15560, 16270
1401/08/25, 15310, 15980
1401/08/24, 15130, 15980
1401/08/23, 15110, 16000
1401/08/22, 15050, 16050
1401/08/21, 15690, 16120
1401/08/18, 15500, 16350
1401/08/17, 15890, 16520
1401/08/16, 15400, 16600
1401/08/15, 15440, 15940
1401/08/14, 14700, 15480
1401/08/11, 13850, 15050
1401/08/10, 13900, 14310
1401/08/09, 14000, 14190
1401/08/08, 13990, 14250
1401/08/07, 13530, 14300
1401/08/04, 13960, 14180
1401/08/03, 13980, 14200
1401/08/02, 14030, 14180
1401/08/01, 14160, 14300
1401/07/30, 14250, 14590
1401/07/27, 13810, 14600
1401/07/26, 13620, 14170
1401/07/25, 13880, 14120
1401/07/24, 13950, 14240
1401/07/23, 14000, 14240
1401/07/20, 13950, 14280
1401/07/19, 13930, 14250
1401/07/18, 13990, 14310
