date, min_price, max_price
1402/03/03, 18000, 18600
1402/03/02, 18050, 18490
1402/03/01, 17170, 17620
1402/02/31, 16100, 17050
1402/02/30, 16010, 16600
1402/02/27, 15870, 16900
1402/02/25, 15730, 16550
1402/02/24, 15080, 15930
1402/02/23, 14970, 15690
1402/02/20, 15240, 16530
1402/02/19, 15770, 16590
1402/02/18, 16590, 16750
1402/02/17, 17400, 18200
1402/02/16, 18150, 18870
1402/02/13, 18180, 18740
1402/02/12, 18200, 18750
1402/02/11, 18020, 18500
1402/02/10, 18000, 18480
1402/02/09, 17960, 18530
1402/02/06, 17730, 18810
1402/02/05, 18290, 19180
1402/02/04, 18450, 19810
1402/01/30, 18270, 20190
1402/01/29, 18440, 20100
1402/01/28, 18990, 19150
1402/01/27, 17730, 18280
1402/01/26, 17100, 17410
1402/01/22, 16100, 16600
1402/01/21, 15150, 15890
1402/01/20, 14960, 15410
1402/01/19, 14300, 14880
1402/01/16, 13920, 14480
1402/01/15, 13900, 14370
1402/01/14, 13520, 14300
1402/01/09, 13800, 14350
1402/01/08, 13800, 14150
1402/01/07, 13300, 14000
1402/01/06, 13720, 14390
1402/01/05, 13840, 14560
1401/12/28, 13780, 14250
1401/12/27, 13700, 13800
1401/12/24, 12650, 13270
1401/12/23, 12420, 12860
1401/12/22, 12560, 12930
1401/12/21, 12620, 13200
1401/12/20, 12730, 13700
1401/12/16, 12720, 13280
1401/12/15, 11950, 12720
1401/12/14, 11860, 12300
1401/12/13, 11770, 12240
1401/12/10, 11860, 12370
1401/12/09, 11940, 12430
1401/12/08, 11550, 12500
1401/12/07, 11850, 12080
1401/12/06, 11230, 11620
1401/12/03, 10710, 11330
1401/12/02, 11000, 11250
1401/12/01, 10350, 10930
1401/11/30, 10170, 10500
1401/11/26, 10190, 10420
1401/11/25, 10220, 10400
1401/11/24, 10020, 10590
1401/11/23, 10040, 10400
1401/11/17, 9770, 10260
1401/11/16, 9940, 10130
1401/11/12, 10110, 10290
1401/11/11, 10210, 10530
1401/11/10, 10010, 10490
1401/11/09, 10130, 10450
1401/11/08, 10480, 11110
1401/11/05, 10790, 11230
1401/11/04, 11070, 11490
1401/11/03, 11190, 11620
1401/11/02, 10860, 11300
1401/11/01, 10980, 11350
1401/10/28, 11020, 11330
1401/10/27, 11100, 11440
1401/10/26, 10950, 11540
1401/10/24, 10770, 11270
1401/10/21, 10890, 11400
1401/10/20, 11130, 11390
1401/10/19, 11210, 11550
1401/10/18, 11310, 11610
1401/10/17, 10710, 11390
1401/10/14, 10500, 11030
1401/10/13, 10220, 10860
1401/10/12, 9810, 10570
1401/10/11, 9780, 10360
1401/10/10, 10050, 10630
1401/10/07, 10500, 10530
1401/10/03, 9780, 10160
1401/09/30, 9800, 9900
1401/09/29, 9680, 9900
1401/09/28, 9750, 9880
1401/09/27, 9750, 9980
1401/09/26, 9500, 9850
1401/09/23, 9480, 9950
1401/09/22, 9060, 9500
1401/09/21, 8850, 9330
1401/09/20, 8810, 9000
1401/09/19, 8860, 9030
1401/09/16, 8900, 9080
1401/09/15, 8960, 9060
1401/09/14, 8910, 9150
1401/09/13, 8970, 9070
1401/09/12, 9010, 9060
1401/09/09, 9000, 9120
1401/09/08, 8900, 9180
1401/09/07, 8890, 9100
1401/09/06, 8760, 9040
1401/09/05, 8890, 9100
1401/09/02, 8990, 9100
1401/09/01, 8930, 9150
1401/08/30, 9050, 9290
1401/08/29, 9160, 9480
1401/08/28, 9100, 9380
1401/08/25, 9090, 9350
1401/08/24, 9130, 9200
1401/08/23, 8920, 9180
1401/08/22, 8960, 9220
1401/08/21, 9020, 9360
1401/08/18, 8960, 9390
1401/08/17, 8860, 9190
1401/08/16, 8520, 8830
1401/08/15, 8410, 8580
1401/08/14, 8010, 8420
1401/08/11, 7970, 8180
1401/08/10, 7850, 8200
1401/08/09, 7920, 8080
1401/08/08, 7800, 8060
1401/08/07, 7840, 8070
1401/08/04, 7900, 8120
1401/08/03, 8090, 8260
1401/08/02, 8240, 8350
1401/08/01, 8300, 8470
1401/07/30, 8310, 8400
1401/07/27, 8350, 8490
1401/07/26, 8300, 8450
1401/07/25, 8300, 8410
1401/07/24, 8370, 8420
1401/07/23, 8380, 8520
1401/07/20, 8370, 8600
1401/07/19, 8350, 8490
1401/07/18, 8350, 8450
1401/07/17, 8300, 8460
1401/07/16, 8320, 8560
1401/07/12, 8260, 8470
1401/07/11, 8290, 8480
1401/07/10, 8330, 8490
1401/07/09, 8330, 8710
1401/07/06, 8460, 8630
1401/07/04, 8220, 8590
1401/07/02, 8350, 8500
1401/06/30, 8360, 8540
1401/06/29, 8260, 8600
1401/06/28, 8370, 8600
1401/06/27, 8500, 8610
1401/06/23, 8570, 8670
1401/06/22, 8610, 8710
1401/06/21, 8550, 8700
1401/06/20, 8600, 8710
1401/06/19, 8600, 8730
1401/06/16, 8610, 8750
1401/06/15, 8690, 8810
1401/06/14, 8690, 8800
1401/06/13, 8520, 8780
1401/06/12, 8610, 8760
1401/06/09, 8700, 8830
1401/06/08, 8700, 8850
1401/06/07, 8720, 8840
1401/06/06, 8750, 8820
1401/06/05, 8760, 8910
1401/06/02, 8720, 8890
1401/06/01, 8630, 8890
1401/05/31, 8570, 8780
1401/05/30, 8660, 8790
1401/05/29, 8610, 8820
1401/05/26, 8520, 8840
1401/05/25, 8630, 8980
1401/05/24, 8650, 9060
1401/05/23, 8620, 8800
1401/05/22, 8570, 8830
1401/05/19, 8410, 8690
1401/05/18, 8480, 8640
1401/05/15, 8510, 8670
1401/05/12, 8410, 8590
1401/05/11, 8400, 8590
1401/05/10, 8210, 8530
1401/05/09, 8270, 8470
1401/05/08, 8330, 8590
1401/05/05, 8350, 8550
1401/05/04, 8290, 8600
1401/05/03, 8330, 8520
1401/05/02, 8560, 8700
1401/05/01, 8550, 8910
1401/04/29, 8500, 8790
1401/04/28, 8520, 8720
1401/04/26, 8530, 8720
1401/04/25, 8730, 9080
1401/04/22, 8650, 9090
1401/04/21, 8710, 9000
1401/04/20, 8760, 9210
1401/04/13, 10360, 10780
1401/04/12, 10300, 10680
1401/04/11, 10300, 10540
1401/04/08, 10380, 10790
1401/04/07, 10360, 10800
1401/04/06, 10400, 10900
1401/04/05, 10560, 11090
1401/04/04, 10900, 11560
1401/04/01, 11300, 11550
1401/03/31, 11400, 11590
1401/03/30, 11050, 11490
1401/03/29, 10750, 11170
1401/03/28, 10800, 11140
1401/03/25, 10900, 11350
1401/03/24, 11010, 11420
1401/03/23, 10640, 11350
1401/03/22, 10540, 10980
1401/03/21, 10720, 11150
1401/03/18, 10320, 11070
1401/03/17, 10070, 10830
1401/03/16, 10340, 10760
1401/03/11, 10750, 10940
1401/03/10, 10800, 11170
1401/03/09, 10910, 11400
1401/03/08, 10900, 11340
1401/03/07, 11000, 11470
1401/03/04, 10810, 11380
1401/03/03, 11060, 11490
1401/03/02, 11200, 11900
1401/03/01, 11390, 11980
1401/02/31, 11310, 11740
1401/02/28, 11650, 11900
1401/02/27, 11800, 12400
1401/02/26, 11790, 12100
1401/02/25, 11100, 11730
1401/02/24, 10880, 11190
1401/02/21, 10500, 10850
1401/02/20, 10090, 10730
1401/02/19, 10200, 10700
1401/02/18, 10400, 10730
1401/02/17, 10370, 10680
1401/02/12, 10350, 10730
1401/02/11, 10390, 10650
1401/02/10, 10300, 10780
1401/02/07, 10330, 10820
1401/02/06, 10260, 10850
1401/02/05, 10240, 10530
1401/02/04, 10310, 10800
1401/01/31, 10340, 10650
1401/01/30, 10410, 10890
1401/01/29, 10330, 10710
1401/01/28, 10000, 10370
1401/01/27, 9760, 10200
1401/01/24, 9630, 10140
1401/01/23, 9600, 10200
1401/01/22, 9460, 9890
1401/01/21, 9200, 9560
1401/01/20, 9120, 9390
1401/01/17, 9210, 9590
1401/01/16, 9180, 9600
1401/01/15, 9210, 9910
1401/01/14, 9360, 9750
1401/01/10, 8970, 9500
1401/01/09, 8960, 9430
1401/01/08, 8960, 9340
1401/01/07, 8720, 9100
1401/01/06, 8900, 9100
1400/12/28, 8460, 8880
1400/12/25, 8370, 8670
1400/12/24, 8300, 8450
1400/12/23, 8350, 8440
1400/12/22, 8340, 8430
1400/12/21, 8260, 8440
1400/12/18, 8400, 8510
1400/12/17, 8260, 8450
1400/12/16, 8310, 8500
1400/12/15, 8210, 8430
1400/12/14, 8200, 8350
1400/12/11, 8220, 8450
1400/12/09, 8150, 8420
1400/12/08, 8080, 8350
1400/12/07, 8120, 8240
1400/12/04, 8100, 8410
1400/12/03, 8160, 8380
1400/12/02, 8030, 8380
1400/12/01, 8020, 8180
