date, min_price, max_price
1402/02/30, 15970, 16400
1402/02/27, 16000, 16400
1402/02/25, 15950, 16790
1402/02/24, 15310, 16080
1402/02/23, 15280, 15530
1402/02/20, 15780, 16550
1402/02/19, 15410, 17020
1402/02/18, 16220, 16250
1402/02/17, 16830, 17850
1402/02/16, 17650, 18090
1402/02/13, 17520, 18500
1402/02/12, 17710, 18300
1402/02/11, 17680, 18730
1402/02/10, 18100, 19540
1402/02/09, 18510, 19700
1402/02/06, 18060, 18780
1402/02/05, 17800, 17900
1402/02/04, 16500, 17350
1402/01/30, 16040, 17150
1402/01/29, 16270, 17150
1402/01/28, 16400, 16810
1402/01/27, 16010, 16010
1402/01/26, 14830, 15260
1402/01/22, 14040, 14850
1402/01/21, 13760, 14860
1402/01/20, 14320, 14620
1402/01/19, 14000, 14510
1402/01/16, 13340, 14430
1402/01/15, 13400, 14090
1402/01/14, 13400, 14180
1402/01/09, 13510, 14050
1402/01/08, 13400, 14200
1402/01/07, 13350, 14000
1402/01/06, 13180, 13800
1402/01/05, 12890, 13500
1401/12/28, 13000, 13750
1401/12/27, 12460, 13400
1401/12/24, 12200, 12780
1401/12/23, 11700, 12200
1401/12/22, 11390, 11890
1401/12/21, 11000, 11800
1401/12/20, 11080, 11530
1401/12/16, 10600, 11060
1401/12/15, 10220, 10560
1401/12/14, 9780, 10400
1401/12/13, 9760, 10220
1401/12/10, 9990, 10500
1401/12/09, 9950, 10530
1401/12/08, 10200, 10570
1401/12/07, 10150, 10330
1401/12/06, 9570, 9840
1401/12/03, 9350, 9960
1401/12/02, 9320, 10090
1401/12/01, 9060, 9870
1401/11/30, 9000, 9670
1401/11/26, 9010, 9130
1401/11/25, 9030, 9470
1401/11/24, 9190, 9700
1401/11/23, 9040, 9570
1401/11/19, 9160, 9600
1401/11/18, 8910, 9570
1401/11/17, 8830, 9400
1401/11/16, 8900, 9140
1401/11/12, 9080, 9760
1401/11/11, 9030, 9590
1401/11/10, 8980, 9450
1401/11/09, 9410, 9800
1401/11/08, 9520, 10300
1401/11/05, 9650, 10000
1401/11/04, 9760, 10100
1401/11/03, 9950, 10350
1401/11/02, 9770, 10500
1401/11/01, 9780, 10330
1401/10/28, 9700, 10390
1401/10/27, 9900, 10390
1401/10/26, 9520, 10200
1401/10/24, 9430, 9850
1401/10/21, 8880, 9580
1401/10/20, 8800, 9490
1401/10/19, 8720, 9250
1401/10/18, 8730, 9160
1401/10/17, 8530, 9140
1401/10/14, 8370, 8850
1401/10/13, 8460, 8890
1401/10/12, 8070, 8890
1401/10/11, 8130, 8800
1401/10/10, 8230, 8990
1401/10/07, 8350, 8700
1401/10/05, 8270, 8490
1401/10/04, 8200, 8390
1401/10/03, 7900, 8300
1401/09/30, 7780, 8000
1401/09/29, 7900, 8100
1401/09/28, 7750, 8000
1401/09/27, 7850, 8190
1401/09/26, 7510, 8000
1401/09/23, 7760, 8180
1401/09/22, 7550, 7840
1401/09/21, 7410, 7620
1401/09/20, 7320, 7490
1401/09/19, 7230, 7450
1401/09/16, 7370, 7600
1401/09/15, 7360, 7600
1401/09/14, 7310, 7520
1401/09/13, 7460, 7550
1401/09/12, 7400, 7520
1401/09/09, 7320, 7530
1401/09/08, 7300, 7520
1401/09/07, 7210, 7480
1401/09/06, 7190, 7430
1401/09/05, 7220, 7460
1401/09/02, 7090, 7300
1401/09/01, 7040, 7240
1401/08/30, 7080, 7460
1401/08/29, 7040, 7420
1401/08/28, 6990, 7510
1401/08/25, 7100, 7400
1401/08/24, 7200, 7300
1401/08/23, 6980, 7300
1401/08/22, 7100, 7450
1401/08/21, 7050, 7500
1401/08/18, 6910, 7350
1401/08/17, 7150, 7350
1401/08/16, 6850, 7190
1401/08/15, 6900, 7100
1401/08/14, 6800, 7000
1401/08/11, 6640, 6900
1401/08/10, 6610, 6940
1401/08/09, 6500, 6830
1401/08/08, 6520, 6700
1401/08/07, 6260, 6600
1401/08/04, 6190, 6500
1401/08/03, 6320, 6490
1401/08/02, 6320, 6560
1401/08/01, 6400, 6600
1401/07/30, 6400, 6610
1401/07/27, 6500, 6540
1401/07/26, 6500, 6600
1401/07/25, 6420, 6570
1401/07/24, 6400, 6680
1401/07/23, 6510, 6770
1401/07/20, 6600, 7110
1401/07/19, 6680, 6840
1401/07/18, 6680, 6850
1401/07/17, 6600, 6860
1401/07/16, 6710, 6900
1401/07/12, 6750, 6910
1401/07/11, 6610, 6930
1401/07/10, 6780, 6940
1401/07/09, 6810, 6950
1401/07/06, 6890, 6960
1401/07/04, 6840, 7140
1401/07/02, 6660, 7010
1401/06/30, 6940, 7020
1401/06/29, 6970, 7080
1401/06/28, 7000, 7060
1401/06/27, 6990, 7090
1401/06/23, 7000, 7070
1401/06/22, 7040, 7100
1401/06/21, 7030, 7090
1401/06/20, 7040, 7080
1401/06/19, 7050, 7090
1401/06/16, 7050, 7100
1401/06/15, 7040, 7110
1401/06/14, 7060, 7180
1401/06/13, 7050, 7110
1401/06/12, 7000, 7070
1401/06/09, 7000, 7090
1401/06/08, 7010, 7100
1401/06/07, 7040, 7140
1401/06/06, 7040, 7100
1401/06/05, 7000, 7100
1401/06/02, 6990, 7100
1401/06/01, 7000, 7080
1401/05/31, 6980, 7100
1401/05/30, 7040, 7100
1401/05/29, 7010, 7100
1401/05/26, 7050, 7110
1401/05/25, 7030, 7170
1401/05/24, 7000, 7160
1401/05/23, 6980, 7200
1401/05/22, 7090, 7200
1401/05/19, 6990, 7240
1401/05/18, 7000, 7100
1401/05/15, 7000, 7130
1401/05/12, 7000, 7100
1401/05/11, 6940, 7080
1401/05/10, 6960, 7130
1401/05/09, 6900, 7000
1401/05/08, 6950, 7170
1401/05/05, 7000, 7240
1401/05/04, 6780, 7010
1401/05/03, 6880, 7110
1401/05/02, 6960, 7040
1401/05/01, 7020, 7200
1401/04/29, 6990, 7170
1401/04/28, 6990, 7080
