date, min_price, max_price
1402/02/31, 13700, 14110
1402/02/30, 13850, 14180
1402/02/27, 14010, 14180
1402/02/25, 13650, 14190
1402/02/24, 13900, 14250
1402/02/23, 13320, 14070
1402/02/20, 13470, 14300
1402/02/19, 13050, 14280
1402/02/18, 13390, 14390
1402/02/17, 13870, 15050
1402/02/16, 14500, 14990
1402/02/13, 14510, 14880
1402/02/12, 14420, 15080
1402/02/11, 14260, 14700
1402/02/10, 13800, 14290
1402/02/09, 13490, 14400
1402/02/06, 12850, 14000
1402/02/05, 12500, 13990
1402/02/04, 12330, 13470
1402/01/30, 13110, 13480
1402/01/29, 12640, 13550
1402/01/28, 12120, 13930
1402/01/27, 13200, 13790
1402/01/26, 12900, 13500
1402/01/22, 12400, 12920
1402/01/21, 12000, 12670
1402/01/20, 11550, 12290
1402/01/19, 11000, 11510
1402/01/16, 10700, 11100
1402/01/15, 10690, 11000
1402/01/14, 10450, 10990
1402/01/09, 10270, 10800
1402/01/08, 10300, 10600
1402/01/07, 10130, 10680
1402/01/06, 10090, 10450
1402/01/05, 10450, 10730
1401/12/28, 10110, 10560
1401/12/27, 9590, 10060
1401/12/24, 9020, 9650
1401/12/23, 8880, 9070
1401/12/22, 9050, 9170
1401/12/21, 9030, 9200
1401/12/20, 9080, 9500
1401/12/16, 9000, 9490
1401/12/15, 8870, 9030
1401/12/14, 8750, 9000
1401/12/13, 8610, 8940
1401/12/10, 8800, 8990
1401/12/09, 8750, 9000
1401/12/08, 8550, 9200
1401/12/07, 8560, 8980
1401/12/06, 7950, 8440
1401/12/03, 7800, 8040
1401/12/02, 7740, 8160
1401/12/01, 7750, 8170
1401/11/30, 7700, 7890
1401/11/26, 7710, 7800
1401/11/25, 7740, 7800
1401/11/24, 7520, 7800
1401/11/23, 7690, 7800
1401/11/19, 7750, 7990
1401/11/18, 7660, 7970
1401/11/17, 7650, 7820
1401/11/16, 7300, 7970
1401/11/12, 7700, 7970
1401/11/11, 7600, 7900
1401/11/10, 7400, 7640
1401/11/09, 7110, 7660
1401/11/08, 7450, 7680
1401/11/05, 7420, 7790
1401/11/04, 7550, 7790
1401/11/03, 7350, 7820
1401/11/02, 7430, 7820
1401/11/01, 7650, 7890
1401/10/28, 7560, 7980
1401/10/27, 7510, 7800
1401/10/26, 7410, 7800
1401/10/24, 7200, 7590
1401/10/21, 7300, 7550
1401/10/20, 7270, 7560
1401/10/19, 7230, 7520
1401/10/18, 7230, 7600
1401/10/17, 7100, 7400
1401/10/14, 7100, 7210
1401/10/13, 7020, 7470
1401/10/12, 7150, 7440
1401/10/11, 7100, 7500
1401/10/10, 7000, 7400
1401/10/07, 7070, 7470
1401/10/05, 6800, 7360
1401/10/04, 6850, 7100
1401/10/03, 6700, 7100
1401/09/30, 6800, 7260
1401/09/29, 6500, 7050
1401/09/28, 6450, 6640
1401/09/27, 6400, 6560
1401/09/26, 6300, 6580
1401/09/23, 6300, 6590
1401/09/22, 6300, 6550
1401/09/21, 6250, 6400
1401/09/20, 6200, 6340
1401/09/19, 6110, 6320
1401/09/16, 6200, 6390
1401/09/15, 6300, 6390
1401/09/14, 6260, 6370
1401/09/13, 6210, 6400
1401/09/12, 6220, 6410
1401/09/09, 6200, 6370
1401/09/08, 6210, 6350
1401/09/07, 6160, 6310
1401/09/06, 6180, 6300
1401/09/05, 6190, 6320
1401/09/02, 6200, 6280
1401/09/01, 6170, 6280
1401/08/30, 6170, 6210
1401/08/29, 6150, 6210
1401/08/28, 6050, 6180
1401/08/25, 6110, 6320
