date, min_price, max_price
1402/03/03, 10727, 10731
1402/03/02, 10718, 10719
1402/03/01, 10709, 10710
1402/02/31, 10700, 10701
1402/02/30, 10690, 10691
1402/02/27, 10675, 10681
1402/02/25, 10663, 10667
1402/02/24, 10654, 10655
1402/02/23, 10644, 10645
1402/02/20, 10628, 10635
1402/02/19, 10618, 10620
1402/02/18, 10608, 10609
1402/02/17, 10598, 10599
1402/02/16, 10588, 10589
1402/02/13, 10572, 10579
1402/02/12, 10562, 10564
1402/02/11, 10552, 10553
1402/02/10, 10542, 10543
1402/02/09, 10532, 10533
1402/02/06, 10516, 10523
1402/02/05, 10506, 10507
1402/02/04, 10496, 10497
1402/01/30, 10474, 10486
1402/01/29, 10465, 10466
1402/01/28, 10456, 10457
1402/01/27, 10344, 10348
1402/01/26, 10335, 10338
1402/01/22, 10317, 10326
1402/01/21, 10308, 10309
1402/01/20, 10299, 10300
1402/01/19, 10290, 10291
1402/01/16, 10276, 10282
1402/01/15, 10267, 10267
1402/01/14, 10258, 10259
1402/01/09, 10238, 10239
1402/01/08, 10229, 10230
1402/01/07, 10220, 10221
1402/01/06, 10212, 10212
1402/01/05, 10201, 10202
1401/12/28, 10177, 10191
1401/12/27, 10165, 10168
1401/12/24, 10151, 10158
1401/12/23, 10144, 10145
1401/12/22, 10136, 10136
1401/12/21, 10128, 10129
1401/12/20, 10119, 10121
1401/12/16, 10102, 10111
1401/12/15, 10095, 10096
1401/12/14, 10088, 10089
1401/12/13, 10080, 10081
1401/12/10, 10065, 10072
1401/12/09, 10058, 10059
1401/12/08, 10051, 10052
1401/12/07, 10044, 10045
1401/12/06, 10037, 10038
1401/12/03, 10019, 10029
1401/12/02, 10015, 10016
1401/12/01, 10008, 10009
1401/11/30, 10180, 10182
1401/11/26, 10167, 10176
1401/11/25, 10150, 10160
1401/11/24, 10152, 10152
1401/11/23, 10144, 10145
1401/11/19, 10127, 10129
1401/11/18, 10119, 10120
1401/11/17, 10111, 10112
1401/11/16, 10103, 10104
1401/11/12, 10086, 10088
1401/11/11, 10078, 10079
1401/11/10, 10070, 10071
1401/11/09, 10062, 10063
1401/11/08, 10053, 10054
1401/11/05, 10040, 10041
1401/11/04, 10032, 10033
1401/11/03, 10024, 10025
1401/11/02, 10014, 10015
1401/11/01, 10007, 10008
1401/10/28, 10171, 10172
1401/10/27, 10163, 10164
1401/10/26, 10156, 10157
1401/10/24, 10142, 10143
1401/10/21, 10126, 10127
1401/10/20, 10119, 10120
1401/10/19, 10111, 10112
1401/10/18, 10104, 10105
1401/10/17, 10097, 10098
1401/10/14, 10081, 10082
1401/10/13, 10074, 10075
1401/10/12, 10067, 10068
1401/10/11, 10060, 10061
1401/10/10, 10053, 10054
1401/10/07, 10040, 10041
1401/10/05, 10027, 10028
1401/10/04, 10020, 10021
1401/10/03, 10012, 10075
1401/09/30, 10173, 10175
1401/09/29, 10167, 10168
1401/09/28, 10160, 10161
1401/09/27, 10153, 10154
1401/09/26, 10146, 10147
1401/09/23, 10134, 10135
1401/09/22, 10127, 10129
1401/09/21, 10120, 10125
1401/09/20, 10114, 10182
1401/09/19, 10094, 10107
1401/09/16, 10094, 10095
1401/09/15, 10087, 10087
1401/09/14, 10080, 10081
1401/09/13, 10073, 10074
1401/09/12, 10067, 10068
1401/09/09, 10054, 10055
1401/09/08, 10047, 10048
1401/09/07, 10040, 10041
1401/09/06, 10033, 10034
1401/09/05, 10026, 10027
1401/09/02, 10014, 10015
1401/09/01, 10000, 10001
1401/08/30, 10172, 10174
1401/08/29, 10166, 10168
1401/08/28, 10159, 10161
1401/08/25, 10147, 10149
1401/08/24, 10140, 10142
1401/08/23, 10133, 10135
1401/08/22, 10126, 10128
1401/08/21, 10119, 10121
1401/08/18, 10107, 10109
1401/08/17, 10100, 10102
1401/08/16, 10093, 10095
1401/08/15, 10086, 10088
1401/08/14, 10079, 10081
1401/08/11, 10067, 10069
1401/08/10, 10060, 10062
1401/08/09, 10053, 10055
1401/08/08, 10046, 10048
1401/08/07, 10039, 10041
1401/08/04, 10028, 10029
1401/08/03, 10020, 10022
1401/08/02, 10013, 10015
1401/08/01, 9999, 10001
1401/07/30, 10172, 10173
1401/07/27, 10154, 10155
1401/07/26, 10145, 10147
1401/07/25, 10136, 10138
1401/07/24, 10127, 10129
1401/07/23, 10108, 10110
1401/07/20, 10097, 10097
1401/07/19, 10090, 10092
1401/07/18, 10084, 10086
1401/07/17, 10079, 10080
1401/07/16, 10072, 10074
1401/07/12, 10057, 10059
1401/07/11, 10051, 10053
1401/07/10, 10049, 10060
1401/07/09, 10048, 10059
1401/07/06, 10016, 10031
1401/07/04, 10009, 10023
1401/07/02, 10003, 10010
1401/06/30, 10156, 10170
1401/06/29, 10148, 10150
1401/06/28, 10140, 10140
1401/06/27, 10132, 10147
1401/06/23, 10112, 10132
1401/06/22, 10101, 10104
1401/06/20, 10086, 10088
1401/06/19, 10077, 10080
1401/06/16, 10070, 10073
1401/06/15, 10063, 10101
1401/06/14, 10053, 10084
1401/06/13, 10042, 10078
1401/06/12, 10035, 10037
1401/06/09, 10030, 10040
1401/06/08, 10023, 10028
1401/06/07, 10021, 10049
1401/06/06, 10005, 10043
1401/06/05, 9999, 10035
1401/06/02, 9989, 10027
1401/06/01, 9980, 10016
1401/05/31, 10140, 10180
1401/05/30, 10147, 10151
1401/05/29, 10142, 10144
1401/05/26, 10133, 10136
1401/05/25, 10113, 10127
1401/05/24, 10117, 10119
1401/05/23, 10108, 10111
1401/05/22, 9965, 10103
1401/05/19, 10094, 10095
1401/05/18, 10086, 10089
1401/05/15, 10078, 10081
1401/05/12, 10070, 10071
1401/05/11, 10063, 10065
1401/05/10, 10055, 10055
1401/05/09, 10040, 10047
1401/05/08, 10039, 10041
1401/05/05, 10030, 10033
1401/05/04, 10023, 10024
1401/05/03, 10015, 10016
1401/05/02, 10014, 10014
1401/05/01, 10008, 10009
1401/04/29, 10168, 10169
1401/04/28, 10161, 10161
1401/04/26, 10145, 10147
1401/04/25, 10135, 10137
1401/04/22, 10129, 10131
1401/04/21, 10121, 10123
1401/04/20, 10113, 10113
1401/04/18, 10094, 10097
1401/04/15, 10089, 10092
1401/04/14, 10075, 10076
1401/04/13, 10024, 10079
1401/04/12, 10022, 10023
1401/04/11, 10020, 10021
1401/04/08, 10014, 10015
1401/04/07, 10012, 10013
1401/04/06, 10081, 10083
1401/04/05, 10009, 10009
1401/04/04, 10004, 10007
1401/04/01, 9964, 9999
1401/03/31, 10111, 10155
1401/03/30, 10101, 10140
1401/03/29, 10078, 10130
1401/03/28, 10105, 10175
1401/03/25, 10075, 10094
1401/03/24, 10060, 10089
1401/03/23, 10054, 10054
1401/03/22, 10048, 10049
1401/03/21, 10045, 10070
1401/03/18, 10035, 10041
1401/03/17, 10033, 10037
1401/03/16, 10031, 10031
1401/03/11, 10020, 10021
1401/03/10, 10019, 10019
1401/03/09, 10016, 10017
1401/03/08, 10014, 10015
1401/03/07, 10012, 10013
1401/03/04, 10006, 10007
1401/03/03, 10004, 10005
1401/03/02, 10001, 10002
1401/03/01, 9953, 10000
1401/02/31, 10069, 10158
1401/02/28, 10090, 10129
1401/02/27, 10071, 10119
1401/02/26, 10058, 10124
1401/02/25, 10055, 10070
1401/02/24, 10049, 10069
1401/02/21, 10042, 10043
1401/02/20, 10040, 10041
1401/02/19, 10038, 10039
1401/02/18, 10036, 10037
1401/02/17, 10034, 10039
1401/02/12, 10024, 10025
1401/02/11, 10022, 10023
1401/02/10, 10020, 10025
1401/02/07, 10014, 10015
1401/02/06, 10012, 10013
1401/02/05, 10009, 10011
1401/02/04, 10006, 10007
1401/01/31, 10085, 10139
1401/01/30, 10070, 10119
1401/01/29, 10063, 10104
1401/01/28, 10053, 10089
1401/01/27, 10051, 10060
1401/01/24, 10045, 10049
1401/01/23, 10042, 10043
1401/01/22, 10040, 10041
1401/01/21, 10039, 10039
1401/01/20, 10036, 10037
1401/01/17, 10031, 10032
1401/01/16, 10030, 10031
1401/01/15, 10027, 10029
1401/01/14, 10025, 10031
1401/01/10, 10021, 10021
1401/01/09, 10017, 10019
1401/01/07, 10014, 10015
1401/01/06, 10010, 10012
1400/12/28, 10055, 10097
1400/12/25, 10049, 10053
1400/12/24, 10012, 10051
1400/12/23, 10010, 10044
1400/12/22, 10010, 10043
1400/12/21, 10000, 10047
1400/12/18, 10035, 10039
1400/12/17, 10033, 10033
1400/12/16, 10031, 10031
1400/12/15, 10029, 10029
1400/12/09, 10016, 10016
1400/12/08, 10014, 10014
1400/12/04, 10007, 10007
1400/12/03, 10004, 10005
1400/12/02, 10002, 10002
1400/12/01, 9998, 10001
1400/11/30, 10041, 10129
1400/11/27, 10039, 10070
1400/11/25, 10037, 10043
1400/11/24, 10033, 10035
1400/11/23, 10030, 10033
1400/11/20, 10026, 10027
1400/11/19, 10025, 10025
1400/11/18, 10025, 10025
1400/11/17, 10021, 10023
1400/11/16, 10019, 10020
1400/11/13, 10014, 10014
1400/11/12, 10015, 10015
1400/11/11, 10013, 10013
1400/11/09, 10010, 10011
1400/11/06, 10008, 10009
1400/11/05, 10006, 10006
1400/11/04, 10003, 10004
1400/11/03, 10002, 10003
1400/11/02, 9996, 9999
1400/10/29, 10047, 10100
1400/10/28, 10041, 10049
1400/10/27, 10041, 10048
1400/10/26, 10039, 10043
1400/10/22, 10029, 10030
1400/10/20, 10025, 10026
1400/10/19, 10024, 10025
1400/10/18, 10022, 10022
1400/10/15, 10020, 10021
1400/10/14, 10018, 10019
1400/10/13, 10017, 10017
1400/10/12, 10015, 10016
1400/10/11, 10013, 10013
1400/10/08, 10010, 10010
1400/10/07, 10008, 10009
1400/10/06, 10006, 10006
1400/10/05, 10004, 10005
1400/10/04, 10002, 10003
1400/10/01, 9996, 10000
1400/09/30, 10037, 10120
1400/09/29, 10034, 10042
1400/09/28, 10030, 10033
1400/09/27, 10031, 10035
1400/09/24, 10028, 10029
1400/09/23, 10026, 10027
1400/09/22, 10021, 10024
1400/09/20, 10020, 10021
1400/09/17, 10016, 10017
1400/09/16, 10013, 10017
1400/09/15, 10015, 10015
1400/09/14, 10014, 10015
1400/09/13, 10013, 10014
1400/09/10, 10010, 10012
1400/09/09, 10010, 10033
1400/09/08, 10008, 10009
1400/09/07, 10006, 10007
1400/09/06, 10003, 10006
1400/09/03, 10002, 10006
1400/09/02, 10001, 10002
1400/09/01, 10000, 10001
1400/08/30, 10046, 10047
1400/08/29, 10044, 10049
1400/08/26, 10041, 10046
1400/08/25, 10039, 10044
1400/08/24, 10037, 10038
1400/08/23, 10035, 10036
1400/08/22, 10034, 10034
1400/08/19, 10030, 10031
1400/08/18, 10018, 10019
1400/08/17, 10017, 10018
1400/08/16, 10015, 10016
1400/08/15, 10010, 10013
1400/08/12, 10010, 10011
1400/08/11, 10009, 10009
1400/08/10, 10008, 10008
1400/08/09, 10007, 10012
1400/08/08, 10006, 10006
1400/08/05, 10005, 10006
1400/08/04, 10004, 10005
1400/08/03, 10003, 10004
1400/08/01, 10000, 10015
1400/07/28, 10212, 10217
1400/07/27, 10207, 10208
1400/07/26, 10201, 10202
1400/07/25, 10200, 10201
1400/07/24, 10197, 10198
1400/07/21, 10193, 10194
1400/07/20, 10188, 10189
1400/07/19, 10182, 10183
1400/07/18, 10177, 10182
1400/07/17, 10170, 10171
1400/07/14, 10150, 10155
1400/07/12, 10136, 10137
1400/07/11, 10129, 10132
1400/07/10, 10096, 10130
1400/07/07, 10064, 10069
1400/07/06, 10052, 10053
1400/07/04, 10031, 10032
1400/07/03, 10020, 10025
1400/06/31, 10009, 10012
1400/06/30, 10008, 10009
1400/06/29, 10005, 10010
1400/06/28, 10000, 10006
1400/06/27, 10000, 10001
1400/06/24, 10000, 10001
1400/06/23, 10000, 10002
1400/06/22, 10000, 10570
1400/04/16, 10000, 10000
1400/04/15, 10000, 10000
1400/04/14, 10000, 10000
1400/04/13, 10000, 10000
1400/04/12, 10000, 10000
1400/04/09, 10000, 10000
1400/04/08, 10000, 10000
1400/04/07, 10000, 10000
1400/04/06, 10000, 10000
1400/04/05, 10000, 10000
