date, min_price, max_price
1402/03/03, 43450, 45250
1402/03/02, 42300, 45000
1402/03/01, 44300, 47000
1402/02/31, 44050, 48200
1402/02/30, 46750, 50250
1402/02/27, 49000, 51300
1402/02/25, 47650, 50150
1402/02/24, 44750, 47650
1402/02/23, 44300, 47600
1402/02/20, 43500, 49350
1402/02/19, 41700, 47900
1402/02/18, 44650, 46400
1402/02/17, 46250, 53150
1402/02/16, 48750, 49850
1402/02/13, 44450, 50000
1402/02/12, 46650, 49050
1402/02/11, 45000, 45900
1402/02/06, 41600, 43500
1402/02/05, 39500, 41300
1402/02/04, 37000, 38650
1402/01/30, 33800, 37050
1402/01/29, 33500, 36350
1402/01/28, 33900, 36250
1402/01/27, 33900, 35400
1402/01/26, 31750, 33250
1402/01/22, 29900, 31900
1402/01/21, 29900, 32700
1402/01/20, 31000, 32750
1402/01/19, 28900, 30750
1402/01/16, 27400, 29050
1402/01/15, 27250, 29050
1402/01/14, 26300, 28100
1402/01/09, 27550, 28400
1402/01/08, 27000, 29300
1402/01/07, 26500, 29000
1402/01/06, 26200, 28950
1402/01/05, 27050, 28900
1401/12/28, 27850, 28900
1401/12/27, 26550, 27650
1401/12/24, 24850, 26250
1401/12/23, 23600, 25000
1401/12/22, 23000, 24850
1401/12/21, 23550, 25300
1401/12/20, 24350, 26000
1401/12/16, 23550, 24950
1401/12/15, 23700, 25300
1401/12/14, 22650, 23750
1401/12/13, 20900, 22500
1401/12/10, 20600, 21790
1401/12/09, 20600, 21670
1401/12/08, 20580, 21990
1401/12/07, 20700, 21990
1401/12/06, 19870, 20570
1401/12/03, 18360, 19830
1401/12/02, 18600, 19390
1401/12/01, 16800, 18190
1401/11/30, 16340, 17140
1401/11/26, 15840, 16730
1401/11/25, 16500, 17550
1401/11/24, 17000, 17800
1401/11/23, 16920, 17840
1401/11/19, 17310, 18430
1401/11/18, 16490, 17790
1401/11/17, 16080, 17100
1401/11/16, 16490, 18000
1401/11/12, 17200, 18060
1401/11/11, 16810, 17590
1401/11/10, 15710, 17700
1401/11/09, 16820, 17670
1401/11/08, 17750, 18900
1401/11/05, 18600, 20350
1401/11/04, 19750, 20550
1401/11/03, 19500, 21050
1401/11/02, 19500, 20700
1401/11/01, 19500, 20800
1401/10/28, 19550, 20950
1401/10/27, 19900, 21050
1401/10/26, 20450, 21250
1401/10/24, 19950, 20950
1401/10/21, 20850, 22150
1401/10/20, 22000, 23250
1401/10/19, 21400, 23250
1401/10/18, 21350, 22250
1401/10/17, 20000, 22000
1401/10/14, 19860, 21750
1401/10/13, 18750, 20910
1401/10/12, 18960, 19760
1401/10/11, 17930, 18940
1401/10/10, 18390, 19640
1401/10/07, 19010, 20000
1401/10/05, 17700, 19300
1401/10/04, 17900, 18900
1401/10/03, 16510, 17890
1401/09/30, 16070, 16870
1401/09/29, 16270, 17010
1401/09/28, 16490, 17170
1401/09/27, 16590, 17300
1401/09/26, 16330, 16870
1401/09/23, 16310, 17100
1401/09/22, 16520, 17300
1401/09/21, 15350, 16570
1401/09/20, 15020, 15950
1401/09/19, 15030, 15700
1401/09/16, 15430, 16270
1401/09/15, 15770, 16390
1401/09/14, 14710, 15950
1401/09/13, 14670, 15000
1401/09/12, 14550, 15200
1401/09/09, 14830, 15380
1401/09/08, 14510, 15270
1401/09/07, 14220, 15090
1401/09/06, 14080, 14550
1401/09/05, 14050, 14680
