date, min_price, max_price
1402/03/03, 20250, 21250
1402/03/02, 20170, 20870
1402/02/27, 19990, 21140
1402/02/25, 19200, 20900
1402/02/24, 19390, 21000
1402/02/23, 20250, 20630
1402/02/20, 20420, 22300
1402/02/19, 19900, 21380
1402/02/18, 19250, 21110
1402/02/17, 20080, 21130
1402/02/16, 20800, 21830
1402/02/13, 20830, 21560
1402/02/12, 19580, 20550
1402/02/11, 19020, 20200
1402/02/10, 19300, 19540
1402/02/09, 17430, 18740
1402/02/06, 17530, 18180
1402/02/05, 17220, 18300
1402/02/04, 17050, 17600
1402/01/30, 16290, 16930
1402/01/29, 15400, 16230
1402/01/28, 15020, 15980
1402/01/27, 15200, 16060
1402/01/26, 15270, 15680
1402/01/22, 14460, 15440
1402/01/21, 14870, 16300
1402/01/20, 15190, 15890
1402/01/19, 15010, 15180
1402/01/16, 13720, 14600
1402/01/15, 13700, 14190
1402/01/14, 13610, 14140
1402/01/09, 13620, 14390
1402/01/08, 13590, 14670
1402/01/07, 13060, 14340
1402/01/06, 13170, 14190
1402/01/05, 13370, 14580
1401/12/28, 14000, 14040
1401/12/27, 13380, 13380
1401/12/24, 12510, 12750
1401/12/23, 11630, 12450
1401/12/22, 11750, 12090
1401/12/21, 11800, 12220
1401/12/20, 11880, 12990
1401/12/16, 12310, 12810
1401/12/15, 12540, 13000
1401/12/14, 12720, 13000
1401/12/13, 12770, 13100
1401/12/10, 12860, 13370
1401/12/09, 13020, 13590
1401/12/08, 12870, 13970
1401/12/07, 13000, 13400
1401/12/06, 12400, 12820
1401/12/03, 12060, 12590
1401/12/02, 12130, 12640
1401/12/01, 11600, 12090
1401/11/30, 11450, 11740
1401/11/26, 11400, 11580
1401/11/25, 11420, 11680
1401/11/24, 11350, 11720
1401/11/23, 11150, 11700
1401/11/19, 11130, 11690
1401/11/18, 11300, 11980
1401/11/17, 11250, 11800
1401/11/16, 11350, 12000
1401/11/12, 11770, 12200
1401/11/11, 11370, 11790
1401/11/10, 10350, 11350
1401/11/09, 10670, 11620
1401/11/08, 10830, 11850
1401/11/05, 11200, 11850
1401/11/04, 11570, 11900
1401/11/03, 11430, 12170
1401/11/02, 11320, 12080
1401/11/01, 11860, 12470
1401/10/28, 12280, 13030
1401/10/27, 12550, 13540
1401/10/26, 12310, 13310
1401/10/24, 11940, 12910
1401/10/21, 12130, 13100
1401/10/20, 12000, 12850
1401/10/19, 12000, 12480
1401/10/18, 11610, 12620
1401/10/17, 11550, 12390
