date, min_price, max_price
1402/02/25, 34200, 36050
1402/02/24, 33500, 35500
1402/02/23, 33850, 34800
1402/02/20, 34700, 38150
1402/02/19, 33900, 37250
1402/02/18, 35500, 36250
1402/02/17, 37250, 39250
1402/02/16, 38500, 40250
1402/02/13, 39200, 40900
1402/02/12, 37150, 40100
1402/02/11, 37750, 39700
1402/02/10, 38300, 41400
1402/02/09, 38500, 39550
1402/02/06, 35300, 38050
1402/02/05, 34900, 36300
1402/02/04, 32700, 36100
1402/01/30, 33650, 35450
1402/01/29, 32100, 34450
1402/01/28, 32200, 33800
1402/01/27, 33100, 35300
1402/01/26, 34350, 35850
1402/01/22, 33000, 35500
1402/01/21, 33550, 37050
1402/01/20, 34100, 35700
1402/01/19, 32950, 34050
1402/01/16, 30500, 32950
1402/01/15, 30650, 31900
1402/01/14, 30300, 31250
1402/01/09, 30700, 32150
1402/01/08, 29450, 30900
1402/01/07, 28350, 29650
1402/01/06, 27600, 28250
1402/01/05, 26950, 26950
1401/12/28, 25700, 25700
1401/11/03, 120900, 124200
1401/11/02, 119350, 124950
1401/11/01, 121000, 124900
1401/10/28, 124550, 129550
1401/10/27, 124200, 129450
1401/10/26, 123500, 124550
1401/10/24, 116950, 122950
1401/10/21, 120800, 129300
1401/10/20, 122350, 128250
1401/10/19, 118500, 125000
1401/10/18, 118200, 121400
1401/10/17, 113550, 119900
1401/10/14, 115500, 118800
1401/10/13, 115500, 122600
1401/10/12, 111550, 120050
1401/10/11, 110850, 117450
1401/10/10, 113300, 119250
1401/10/07, 116200, 119300
1401/10/05, 109000, 116750
1401/10/04, 111500, 116900
1401/10/03, 106900, 113100
1401/09/30, 105250, 109100
1401/09/29, 104950, 106850
1401/09/28, 105100, 107950
1401/09/27, 105000, 107750
1401/09/26, 101100, 104900
1401/09/23, 100300, 105950
1401/09/22, 96500, 103400
1401/09/21, 95100, 99650
1401/09/20, 94200, 97000
1401/09/19, 95400, 97600
1401/09/16, 97250, 98750
1401/09/15, 97700, 98900
1401/09/14, 98050, 100600
1401/09/13, 98500, 100800
1401/09/12, 100600, 103100
1401/09/09, 100250, 102950
1401/09/08, 97500, 100000
1401/09/07, 97000, 100600
1401/09/06, 98300, 102400
1401/09/05, 99700, 102250
1401/09/02, 100150, 102400
1401/09/01, 100000, 105800
1401/08/30, 102550, 106350
1401/08/29, 100000, 105100
1401/08/28, 98500, 103800
1401/08/25, 100600, 103950
1401/08/24, 100950, 103900
1401/08/23, 99700, 103900
1401/08/22, 102600, 105450
1401/08/21, 103200, 108950
1401/08/18, 102600, 109300
1401/08/17, 103300, 108300
1401/08/16, 100000, 105250
1401/08/15, 96600, 100800
1401/08/14, 92700, 96100
1401/08/11, 90000, 94000
1401/08/10, 92850, 95750
1401/08/09, 86800, 93250
1401/08/08, 86100, 90900
1401/08/07, 85300, 88000
1401/08/04, 85500, 89950
1401/08/03, 88500, 90450
1401/08/02, 88000, 91200
1401/08/01, 88450, 93050
1401/07/30, 92100, 93450
1401/07/27, 91050, 93300
1401/07/26, 91200, 93800
1401/07/25, 89800, 92300
1401/07/24, 90550, 94600
1401/07/23, 92300, 94900
1401/07/20, 91700, 95950
1401/07/19, 91800, 95600
1401/07/18, 89900, 93850
1401/07/17, 88850, 91650
1401/07/16, 88650, 91500
1401/07/12, 88800, 91400
