date, min_price, max_price
1402/03/03, 27740, 28850
1402/03/02, 27350, 28200
1402/03/01, 27650, 28480
1402/02/31, 27100, 28000
1402/02/30, 27210, 28490
1402/02/27, 27000, 28600
1402/02/25, 27120, 28880
1402/02/24, 26050, 28080
1402/02/23, 25690, 27490
1402/02/20, 27100, 29030
1402/02/19, 25560, 28500
1402/02/18, 27430, 28800
1402/02/17, 28750, 31000
1402/02/16, 30160, 31000
1402/02/13, 29980, 30940
1402/02/12, 30390, 30990
1402/02/11, 30150, 30940
1402/02/10, 30400, 31200
1402/02/09, 30470, 31230
1402/02/06, 30000, 31000
1402/02/05, 30500, 31690
1402/02/04, 30210, 32190
1402/01/30, 31190, 33190
1402/01/29, 30600, 31270
1402/01/28, 27840, 29770
1402/01/27, 27480, 28100
1402/01/26, 27100, 27950
1402/01/22, 26820, 27340
1402/01/21, 27000, 27880
1402/01/20, 27000, 28000
1402/01/19, 27350, 28000
1402/01/16, 27010, 27500
1402/01/15, 27330, 27980
1402/01/14, 26640, 28000
1402/01/09, 27700, 28070
1402/01/08, 27590, 29400
1402/01/07, 26870, 28300
1402/01/06, 26930, 28550
1402/01/05, 25780, 26810
1401/12/28, 24720, 26000
1401/12/27, 23590, 24480
1401/12/24, 22550, 23530
1401/12/23, 22310, 23000
1401/12/22, 22220, 22440
1401/12/21, 21900, 22430
1401/12/20, 22250, 22840
1401/12/16, 22500, 22990
1401/12/15, 21800, 22800
1401/12/14, 22430, 23200
1401/12/13, 22540, 23050
1401/12/10, 22300, 23230
1401/12/09, 22450, 23400
1401/12/08, 22000, 23450
1401/12/07, 22510, 23200
1401/12/06, 21090, 21840
1401/12/03, 19850, 21000
1401/12/02, 20120, 20950
1401/12/01, 18610, 20110
1401/11/30, 18400, 19200
1401/11/26, 18020, 18990
1401/11/25, 18500, 19000
1401/11/24, 18640, 19230
1401/11/23, 18480, 19080
1401/11/19, 18850, 19480
1401/11/18, 18020, 19390
1401/11/17, 17490, 18690
1401/11/16, 17500, 18320
1401/11/12, 18000, 18500
1401/11/11, 18250, 19000
1401/11/10, 17860, 18900
1401/11/09, 18260, 19500
1401/11/08, 19380, 19950
1401/11/05, 19240, 19980
1401/11/04, 19650, 20000
1401/11/03, 19820, 20180
1401/11/02, 19650, 20200
1401/11/01, 19620, 20250
1401/10/28, 19990, 20450
1401/10/27, 20150, 20530
1401/10/26, 20000, 20700
1401/10/24, 19810, 20180
1401/10/21, 19880, 20500
1401/10/20, 20000, 20470
1401/10/19, 19970, 20350
1401/10/18, 19830, 20500
1401/10/17, 19400, 20270
1401/10/14, 19230, 20100
1401/10/13, 19400, 20400
1401/10/12, 18770, 19990
1401/10/11, 18760, 20160
1401/10/10, 19670, 20970
1401/10/07, 19890, 21100
1401/10/05, 19820, 20250
1401/10/04, 19570, 20200
1401/10/03, 18110, 19170
1401/09/30, 17600, 18350
1401/09/29, 17570, 18190
1401/09/28, 17640, 18030
1401/09/27, 17150, 17860
1401/09/26, 17010, 17490
1401/09/23, 16940, 17500
1401/09/22, 16300, 17350
1401/09/21, 16250, 16580
1401/09/20, 16230, 16610
1401/09/19, 16320, 16620
1401/09/16, 16020, 16650
1401/09/15, 15740, 16240
1401/09/14, 15650, 15930
1401/09/13, 15590, 15900
1401/09/12, 15560, 15800
1401/09/09, 15560, 15860
1401/09/08, 15460, 15800
1401/09/07, 15520, 16000
1401/09/06, 15390, 15660
1401/09/05, 15320, 15830
1401/09/02, 15730, 15900
1401/09/01, 15710, 16000
1401/08/30, 15710, 16000
1401/08/29, 15780, 16190
1401/08/28, 15700, 15930
1401/08/25, 15700, 16200
1401/08/24, 15760, 16050
1401/08/23, 15550, 16080
1401/08/22, 15890, 16280
1401/08/21, 15960, 16260
1401/08/18, 15320, 16250
1401/08/17, 15450, 15850
1401/08/16, 14410, 15550
1401/08/15, 14400, 14790
1401/08/14, 14200, 14820
1401/08/11, 14140, 14600
1401/08/10, 14110, 14480
1401/08/09, 14000, 14680
1401/08/08, 13760, 14320
1401/08/07, 13760, 14480
1401/08/04, 14010, 14540
1401/08/03, 14300, 14680
1401/08/02, 14450, 14600
1401/08/01, 14320, 14630
1401/07/30, 14340, 15000
1401/07/27, 14640, 14800
1401/07/26, 14700, 14850
1401/07/25, 14500, 14890
1401/07/24, 14500, 15160
1401/07/23, 13980, 14650
1401/07/20, 14040, 14260
1401/07/19, 14000, 14360
1401/07/18, 13880, 14140
1401/07/17, 13730, 14000
1401/07/16, 13600, 14100
1401/07/12, 13420, 13890
1401/07/11, 13290, 13780
1401/07/10, 13400, 13600
1401/07/09, 13490, 13980
