date, min_price, max_price
1402/03/03, 6000, 6210
1402/03/02, 5860, 6000
1402/03/01, 5910, 6070
1402/02/31, 5850, 6050
1402/02/30, 5860, 6130
1402/02/27, 5910, 6130
1402/02/25, 5850, 6060
1402/02/24, 5750, 5810
1402/02/23, 5420, 5710
1402/02/20, 5570, 5940
1402/02/19, 5550, 5980
1402/02/18, 5710, 5880
1402/02/17, 5860, 6440
1402/02/16, 5930, 6270
1402/02/13, 5930, 6090
1402/02/12, 5960, 6150
1402/02/11, 5900, 6130
1402/02/10, 6000, 6160
1402/02/09, 5770, 6020
1402/02/06, 5650, 5840
1402/02/05, 5730, 5950
1402/02/04, 5650, 5920
1402/01/30, 5750, 5960
1402/01/29, 5800, 6070
1402/01/28, 5720, 5940
1402/01/27, 5670, 5930
1402/01/26, 5590, 5650
1402/01/22, 5178, 5488
1402/01/21, 5135, 5446
1402/01/20, 5081, 5299
1402/01/19, 4973, 5233
1402/01/16, 4881, 5050
1402/01/15, 4880, 5170
1402/01/14, 4777, 5116
1402/01/09, 4860, 5046
1402/01/08, 4820, 4960
1402/01/07, 4790, 4995
1402/01/06, 4550, 4825
1402/01/05, 4525, 4677
1401/12/28, 4525, 4709
1401/12/27, 4442, 4603
1401/12/24, 4250, 4427
1401/12/23, 4200, 4260
1401/12/22, 4194, 4278
1401/12/21, 4150, 4247
1401/12/20, 4250, 4395
1401/12/16, 4200, 4345
1401/12/15, 4148, 4251
1401/12/14, 4186, 4365
1401/12/13, 4234, 4380
1401/12/10, 4397, 4590
1401/12/09, 4450, 4700
1401/12/08, 4380, 4694
1401/12/07, 4450, 4588
1401/12/06, 4320, 4372
1401/12/03, 4100, 4240
1401/12/02, 4120, 4264
1401/12/01, 3946, 4077
1401/11/30, 3865, 3910
1401/11/26, 3813, 3866
1401/11/25, 3860, 3958
1401/11/24, 3930, 4001
1401/11/23, 3873, 4001
1401/11/19, 3920, 4030
1401/11/18, 3920, 4043
1401/11/17, 3816, 3938
1401/11/16, 3816, 3930
1401/11/12, 3931, 4022
1401/11/11, 3950, 4050
1401/11/10, 3813, 4045
1401/11/09, 3871, 4060
1401/11/08, 3979, 4137
1401/11/05, 4013, 4188
1401/11/04, 4190, 4310
1401/11/03, 4240, 4480
1401/11/02, 4255, 4418
1401/11/01, 4122, 4284
1401/10/28, 3971, 4230
1401/10/27, 3988, 4148
1401/10/26, 4038, 4112
1401/10/24, 3858, 4052
1401/10/21, 3950, 4129
1401/10/20, 4040, 4175
1401/10/19, 3908, 4023
1401/10/18, 3790, 3901
1401/10/17, 3667, 3785
1401/10/14, 3682, 3745
1401/10/13, 3734, 3922
1401/10/12, 3780, 3855
1401/10/11, 3580, 3808
1401/10/10, 3719, 3839
1401/10/07, 3851, 3917
1401/10/05, 3651, 3791
1401/10/04, 3681, 3779
1401/10/03, 3539, 3629
1401/09/30, 3420, 3500
1401/09/29, 3462, 3533
1401/09/28, 3519, 3613
1401/09/27, 3548, 3657
1401/09/26, 3518, 3589
1401/09/23, 3555, 3687
1401/09/22, 3510, 3650
1401/09/21, 3454, 3505
1401/09/20, 3302, 3449
1401/09/19, 3250, 3352
1401/09/16, 3354, 3440
1401/09/15, 3449, 3503
1401/09/14, 3490, 3550
1401/09/13, 3500, 3579
1401/09/12, 3521, 3594
1401/09/09, 3560, 3648
1401/09/08, 3508, 3605
1401/09/07, 3470, 3565
1401/09/06, 3463, 3557
1401/09/05, 3516, 3597
1401/09/02, 3588, 3660
1401/09/01, 3588, 3650
1401/08/30, 3604, 3710
1401/08/29, 3590, 3718
1401/08/28, 3561, 3680
1401/08/25, 3680, 3794
1401/08/24, 3683, 3790
1401/08/23, 3630, 3784
1401/08/22, 3676, 3860
1401/08/21, 3690, 3833
1401/08/18, 3522, 3682
1401/08/17, 3475, 3507
1401/08/16, 3171, 3366
1401/08/15, 3155, 3244
1401/08/14, 3153, 3210
1401/08/04, 4473, 4680
1401/08/03, 4616, 4785
1401/08/02, 4667, 4830
1401/08/01, 4760, 4847
1401/07/30, 4773, 4878
1401/07/27, 4628, 4680
1401/07/26, 4617, 4689
1401/07/25, 4522, 4647
1401/07/24, 4510, 4620
1401/07/23, 4560, 4640
1401/07/20, 4602, 4675
1401/07/19, 4593, 4700
1401/07/18, 4536, 4599
1401/07/12, 4414, 4493
1401/07/11, 4425, 4474
1401/07/10, 4410, 4490
1401/07/09, 4415, 4617
1401/07/06, 4475, 4672
1401/07/04, 4356, 4532
1401/07/02, 4375, 4552
1401/06/30, 4565, 4660
1401/06/29, 4657, 4710
1401/06/28, 4660, 4720
1401/06/27, 4660, 4750
1401/06/23, 4748, 4837
1401/06/22, 4741, 4825
1401/06/21, 4710, 4800
1401/06/20, 4692, 4800
1401/06/19, 4660, 4810
1401/06/16, 4780, 4850
1401/06/15, 4831, 4900
1401/06/14, 4880, 4940
1401/06/13, 4878, 4950
1401/06/12, 4850, 4990
1401/06/09, 4950, 5030
1401/06/08, 4990, 5070
1401/06/07, 4950, 5110
1401/06/06, 4990, 5100
1401/06/05, 5040, 5190
1401/06/02, 4982, 5120
1401/06/01, 4846, 4996
1401/05/31, 4825, 4940
1401/05/30, 4881, 4988
1401/05/29, 4881, 5020
1401/05/26, 4850, 5022
1401/05/25, 5001, 5135
1401/05/24, 5110, 5269
1401/05/23, 4961, 5264
1401/05/22, 4960, 5139
1401/05/19, 4900, 5080
1401/05/18, 4910, 5050
1401/05/15, 4930, 5060
1401/05/12, 5040, 5100
1401/05/11, 5030, 5110
1401/05/10, 5010, 5150
1401/05/09, 4910, 5120
1401/05/08, 5020, 5230
1401/05/05, 5140, 5230
1401/05/04, 5140, 5250
1401/05/03, 5080, 5280
1401/05/02, 5220, 5400
1401/04/26, 5320, 5410
1401/04/25, 5300, 5440
1401/04/22, 5310, 5460
1401/04/21, 5080, 5280
1401/04/20, 5110, 5370
1401/04/18, 5330, 5400
1401/04/15, 5340, 5450
1401/04/14, 5270, 5520
1401/04/13, 5270, 5340
1401/04/12, 5150, 5330
1401/04/11, 5170, 5300
1401/04/08, 5270, 5400
1401/04/07, 5320, 5480
1401/04/06, 5210, 5390
1401/04/05, 5190, 5350
1401/04/04, 5240, 5440
1401/04/01, 5380, 5540
1401/03/31, 5360, 5550
1401/03/30, 5470, 5570
1401/03/29, 5440, 5630
1401/03/28, 5470, 5760
1401/03/25, 5540, 5650
1401/03/24, 5610, 5780
1401/03/23, 5600, 5760
1401/03/22, 5190, 5540
1401/03/21, 5210, 5340
1401/03/18, 5210, 5310
1401/03/17, 5080, 5330
1401/03/16, 5080, 5370
1401/03/11, 5250, 5440
1401/03/10, 5340, 5540
1401/03/09, 5290, 5440
1401/03/08, 5270, 5420
1401/03/07, 5300, 5660
1401/03/04, 5370, 5620
1401/03/03, 5330, 5440
1401/03/02, 5320, 5620
1401/03/01, 5550, 5660
1401/02/31, 5430, 5730
1401/02/28, 5600, 5850
1401/02/27, 5740, 5990
1401/02/26, 5820, 5980
1401/02/25, 5800, 6050
1401/02/24, 5960, 6170
1401/02/21, 5850, 6070
1401/02/20, 5700, 5940
1401/02/19, 5750, 6030
1401/02/18, 5970, 6150
1401/02/17, 6000, 6110
1401/02/12, 5660, 5960
1401/02/11, 5650, 5780
1401/02/10, 5600, 5820
1401/02/07, 5580, 5790
1401/02/06, 5610, 5840
1401/02/05, 5500, 5700
1401/02/04, 5600, 5820
1401/01/31, 5730, 6040
1401/01/30, 5630, 6030
1401/01/29, 5620, 5830
1401/01/28, 5400, 5670
1401/01/27, 5500, 5680
1401/01/24, 5180, 5440
1401/01/23, 5170, 5400
1401/01/22, 5390, 5530
1401/01/21, 5340, 5530
1401/01/20, 5270, 5600
1401/01/17, 5460, 5770
1401/01/16, 5590, 5870
1401/01/15, 5540, 5770
1401/01/14, 5320, 5620
1401/01/10, 5190, 5490
1401/01/09, 5280, 5500
