date, min_price, max_price
1402/03/03, 9820, 10300
1402/03/02, 9320, 9900
1402/03/01, 9300, 9780
1402/02/31, 9270, 9600
1402/02/30, 9310, 9990
1402/02/27, 9370, 9820
1402/02/25, 9090, 9570
1402/02/24, 9020, 9500
1402/02/23, 9040, 9440
1402/02/20, 9440, 10240
1402/02/19, 9910, 10190
1402/02/18, 10430, 10430
1402/02/17, 10950, 11490
1402/02/16, 11060, 11950
1402/02/13, 10510, 11500
1402/02/12, 10600, 11250
1402/02/11, 10530, 11440
1402/02/10, 10550, 11130
1402/02/09, 10300, 10770
1402/02/06, 10090, 10450
1402/02/05, 10110, 10570
1402/02/04, 10150, 10520
1402/01/30, 10260, 10700
1402/01/29, 10590, 11200
1402/01/28, 10200, 10890
1402/01/27, 10230, 10800
1402/01/26, 10330, 10700
1402/01/22, 10040, 10490
1402/01/21, 10270, 10340
1402/01/20, 9600, 10300
1402/01/19, 9550, 9870
1402/01/16, 9020, 9700
1402/01/15, 9000, 9360
1402/01/14, 8670, 9060
1402/01/09, 8920, 9210
1402/01/08, 8880, 9280
1402/01/07, 8750, 9150
1402/01/06, 8600, 9170
1402/01/05, 8520, 9090
1401/12/28, 8600, 8880
1401/12/27, 8470, 8750
1401/12/24, 8020, 8440
1401/12/23, 8020, 8200
1401/12/22, 8110, 8370
1401/12/21, 8160, 8490
1401/12/20, 8350, 8780
1401/12/16, 8260, 8530
1401/12/15, 8140, 8520
1401/12/14, 8170, 8600
1401/12/13, 8180, 8600
1401/12/10, 8260, 8800
1401/12/09, 8360, 8700
1401/12/08, 8490, 8900
1401/12/07, 8600, 9230
1401/12/06, 8660, 8870
1401/12/03, 8300, 8690
1401/12/02, 8280, 8710
1401/12/01, 8000, 8360
1401/11/30, 7900, 8190
1401/11/26, 7800, 8130
1401/11/25, 7850, 7980
1401/11/24, 7800, 8100
1401/11/23, 7570, 7950
1401/11/19, 7680, 7950
1401/11/18, 7660, 7940
1401/11/17, 7480, 7920
1401/11/16, 7530, 7990
1401/11/12, 7520, 7890
1401/11/11, 7400, 7770
1401/11/10, 7160, 7870
1401/11/09, 7480, 7980
1401/11/08, 7780, 8150
1401/11/05, 8080, 8450
1401/11/04, 8090, 8550
1401/11/03, 8250, 8790
1401/11/02, 8450, 8870
1401/11/01, 8550, 8990
1401/10/28, 8650, 9080
1401/10/27, 8780, 9090
1401/10/26, 8330, 8750
1401/10/24, 8100, 8450
1401/10/21, 8280, 8780
1401/10/20, 8450, 8800
1401/10/19, 8240, 8700
1401/10/18, 7990, 8440
1401/10/17, 7990, 8230
1401/10/14, 7900, 8100
1401/10/13, 7980, 8240
1401/10/12, 7900, 8290
1401/10/11, 7980, 8240
1401/10/10, 8070, 8490
1401/10/07, 8250, 8560
1401/10/05, 8000, 8270
1401/10/04, 8070, 8300
1401/10/03, 8020, 8200
1401/09/30, 7860, 8030
1401/09/29, 7810, 8080
1401/09/28, 7800, 8060
1401/09/27, 7770, 8100
1401/09/26, 7630, 8140
1401/09/23, 7840, 8330
1401/09/22, 7600, 8040
1401/09/14, 8400, 8590
1401/09/13, 8360, 8590
1401/09/12, 8310, 8650
1401/09/09, 8250, 8520
1401/09/08, 8140, 8400
1401/09/07, 8170, 8450
1401/09/06, 8240, 8490
1401/09/05, 8250, 8400
1401/09/02, 8200, 8360
1401/09/01, 8200, 8410
1401/08/30, 8230, 8390
1401/08/29, 8120, 8490
1401/08/28, 8060, 8480
1401/08/25, 8160, 8540
1401/08/24, 7920, 8400
1401/08/23, 7900, 8160
1401/08/22, 7970, 8200
1401/08/21, 7960, 8200
1401/08/18, 8070, 8340
1401/08/17, 8100, 8690
1401/08/16, 8300, 8750
1401/08/15, 8200, 8490
1401/08/14, 7990, 8360
1401/08/11, 7670, 8190
1401/08/10, 7800, 8010
1401/08/09, 7460, 7820
1401/08/08, 7200, 7500
1401/08/07, 7250, 7450
1401/08/04, 7050, 7380
1401/08/03, 7290, 7500
1401/08/02, 7360, 7500
1401/08/01, 7280, 7480
1401/07/30, 7330, 7510
1401/07/27, 7310, 7490
1401/07/26, 7300, 7560
1401/07/25, 7290, 7700
1401/07/24, 7450, 7710
1401/07/23, 7550, 7730
1401/07/20, 7550, 7710
1401/07/19, 7610, 7870
1401/07/18, 7520, 7760
1401/07/17, 7560, 7800
1401/07/16, 7500, 7930
1401/07/12, 7500, 7740
1401/07/11, 7630, 7960
1401/07/10, 7520, 7960
1401/07/09, 7630, 8080
1401/07/06, 7640, 8070
1401/07/04, 7400, 7920
1401/07/02, 7510, 7910
1401/06/30, 7630, 8070
1401/06/29, 7980, 8140
1401/06/28, 7950, 8160
1401/06/27, 7850, 8150
1401/06/23, 7880, 8200
1401/06/22, 7850, 8370
1401/06/21, 7960, 8300
1401/06/20, 7950, 8440
1401/06/19, 7900, 8280
1401/06/16, 8220, 8440
1401/06/15, 8170, 8490
1401/06/14, 8230, 8600
1401/06/13, 8110, 8600
1401/06/12, 8110, 8490
1401/06/09, 8200, 8440
1401/06/08, 8230, 8440
1401/06/07, 8170, 8490
1401/06/06, 8150, 8510
1401/06/05, 8390, 8840
1401/06/02, 8290, 8740
1401/06/01, 8060, 8620
1401/05/31, 7920, 8380
1401/05/30, 7790, 8120
1401/05/29, 7800, 8220
1401/05/26, 7900, 8180
1401/05/25, 7950, 8410
1401/05/24, 8290, 8500
1401/05/23, 8310, 8600
1401/05/22, 8320, 8700
1401/05/19, 8210, 8750
1401/05/18, 8500, 8860
1401/05/15, 8500, 9000
1401/05/12, 8590, 8990
1401/05/11, 8410, 8800
1401/05/10, 8300, 8750
1401/05/09, 8620, 8990
1401/05/08, 8910, 9290
1401/05/05, 9010, 9490
1401/05/01, 9100, 9690
1401/04/29, 9000, 9450
1401/04/28, 8850, 9280
1401/04/26, 9090, 9730
1401/04/25, 9400, 9680
1401/04/22, 9370, 9550
1401/04/21, 9270, 9720
1401/04/20, 9230, 9870
1401/04/18, 9360, 9660
