date, min_price, max_price
1402/02/27, 66150, 70410
1402/02/25, 65470, 69710
1402/02/24, 63550, 67620
1402/02/23, 61590, 65500
1402/02/20, 64210, 70360
1402/02/19, 60350, 69310
1402/02/18, 64400, 66450
1402/02/17, 68050, 74000
1402/02/16, 69870, 75000
1402/02/13, 71250, 74690
1402/02/12, 73300, 77000
1402/02/11, 72110, 79000
1402/02/10, 75160, 77170
1402/02/09, 71000, 72130
1402/02/06, 64020, 67790
1402/02/05, 60990, 63490
1402/02/04, 58550, 60390
1402/01/30, 57700, 60980
1402/01/29, 59900, 60890
1402/01/28, 59110, 60960
1402/01/27, 60170, 61980
1402/01/16, 57530, 59050
1402/01/15, 57510, 60100
1402/01/14, 56360, 58810
1402/01/09, 58200, 59780
1402/01/08, 58300, 59800
1402/01/07, 57520, 59080
1402/01/06, 57400, 59900
1402/01/05, 56520, 60000
1401/12/28, 58020, 63000
1401/12/27, 57420, 60930
1401/12/24, 53520, 58700
1401/12/23, 53700, 57150
1401/12/16, 52930, 57690
1401/12/15, 51220, 54490
1401/12/14, 51870, 55250
1401/12/13, 51910, 55000
1401/12/10, 53000, 57700
1401/12/09, 50110, 54600
1401/12/08, 49100, 54000
1401/12/07, 48820, 51490
1401/12/06, 48130, 48130
1401/12/03, 43310, 46320
1401/12/02, 41990, 43300
1401/12/01, 38680, 40770
1401/11/30, 37030, 38700
1401/11/26, 36800, 38180
1401/11/25, 36000, 38830
1401/11/24, 38040, 39290
1401/11/23, 38050, 39030
1401/11/19, 37200, 38900
1401/11/18, 38030, 39930
1401/11/17, 37360, 38470
1401/11/16, 38050, 38800
1401/11/12, 37870, 38890
1401/11/11, 38020, 39450
1401/11/10, 37140, 38820
1401/11/09, 36990, 39960
1401/11/08, 38660, 39960
1401/11/05, 38000, 40190
1401/11/04, 39230, 40300
1401/11/03, 39540, 40540
1401/11/02, 39450, 41270
1401/11/01, 39500, 41800
1401/10/28, 40700, 41200
1401/10/27, 40410, 40990
1401/10/26, 39760, 40460
1401/10/24, 39010, 40300
1401/10/21, 39660, 41010
1401/10/20, 40110, 41300
1401/10/19, 40200, 41430
1401/10/18, 39220, 40320
1401/10/17, 38500, 39520
1401/10/14, 38360, 39560
1401/10/13, 38630, 40270
1401/10/12, 39560, 40470
1401/10/11, 38240, 40000
1401/10/10, 38500, 41540
1401/10/07, 38010, 40110
1401/10/05, 37390, 37780
1401/10/04, 37090, 38000
1401/10/03, 36780, 37740
1401/09/30, 36220, 36900
1401/09/29, 35900, 36860
1401/09/28, 36600, 37740
1401/09/27, 36190, 37970
1401/09/26, 35970, 37210
1401/09/23, 37000, 37700
1401/09/22, 36880, 37490
1401/09/21, 36190, 37240
1401/09/20, 36120, 37350
1401/09/19, 36360, 36840
1401/09/16, 36200, 37480
1401/09/15, 36530, 37360
1401/09/14, 37010, 37300
1401/09/13, 37120, 37900
1401/09/12, 37100, 38180
1401/09/09, 37000, 37660
1401/09/08, 37100, 37940
1401/09/07, 37010, 37900
1401/09/06, 36600, 38000
1401/09/05, 36510, 38600
1401/09/02, 37400, 38090
1401/09/01, 37300, 37800
1401/08/30, 37830, 38160
1401/08/29, 37000, 38460
1401/08/28, 36530, 37890
1401/08/25, 37010, 38490
1401/08/24, 36700, 38750
1401/08/23, 37810, 39950
1401/08/22, 35260, 38100
1401/08/21, 35700, 36390
1401/08/18, 35600, 36440
1401/08/17, 35830, 36980
1401/08/16, 35850, 36470
1401/08/15, 35460, 36600
1401/08/14, 34600, 36500
1401/08/11, 34520, 35000
1401/08/10, 34910, 35340
1401/08/09, 35070, 35300
1401/08/08, 35120, 35480
1401/08/07, 33510, 35750
1401/08/04, 33000, 35460
1401/08/03, 33620, 35890
1401/08/02, 33500, 35900
1401/08/01, 34100, 35700
1401/07/30, 35550, 35980
1401/07/27, 35600, 36360
1401/07/26, 35520, 36310
1401/07/25, 35500, 36500
1401/07/24, 36000, 37110
1401/07/23, 35800, 37470
1401/07/20, 36300, 37250
1401/07/19, 36000, 36800
1401/07/18, 34970, 36290
1401/07/17, 34900, 35200
1401/07/16, 34910, 35910
1401/07/12, 35000, 36050
1401/07/11, 35000, 35870
1401/07/10, 34490, 36780
1401/07/09, 34700, 37330
1401/07/06, 36210, 37490
1401/07/04, 35120, 37400
1401/07/02, 35500, 36780
1401/06/30, 36100, 37200
1401/06/29, 36500, 37490
1401/06/28, 36950, 37800
1401/06/27, 37040, 37860
1401/06/23, 37160, 37950
1401/06/22, 37080, 37980
1401/06/21, 37020, 37980
1401/06/20, 36900, 37790
1401/06/19, 36980, 37880
1401/06/16, 37160, 37980
1401/06/15, 37400, 38190
1401/06/14, 37150, 38160
1401/06/13, 37300, 38250
1401/06/12, 37000, 38200
1401/06/09, 37610, 38290
1401/06/08, 37600, 38250
1401/06/07, 37510, 38200
1401/06/06, 37410, 38310
1401/06/05, 37920, 38690
1401/06/02, 37610, 38470
1401/06/01, 37300, 38490
1401/05/31, 37660, 39290
1401/05/30, 37660, 38390
1401/05/29, 37600, 38500
1401/05/26, 37500, 38220
1401/05/25, 37930, 38200
1401/05/24, 37880, 38650
1401/05/23, 37800, 38640
1401/05/22, 37900, 38690
1401/05/19, 37600, 39180
1401/05/18, 37610, 39500
1401/05/15, 38770, 39550
1401/05/12, 38770, 39000
1401/05/11, 38400, 39650
1401/05/10, 38000, 39700
1401/05/09, 37500, 38960
1401/05/08, 38000, 39090
1401/05/05, 38000, 39130
1401/05/04, 38110, 39400
