date, min_price, max_price
1402/03/03, 17500, 18220
1402/03/02, 17310, 17800
1402/03/01, 17230, 17910
1402/02/31, 17230, 17890
1402/02/30, 17220, 18390
1402/02/27, 17220, 18260
1402/02/25, 16950, 18280
1402/02/24, 17610, 18000
1402/02/23, 18530, 18530
1402/02/16, 20750, 22400
1402/02/13, 21130, 22780
1402/02/12, 21240, 22240
1402/02/11, 20270, 21230
1402/02/10, 19960, 20920
1402/02/09, 19100, 20100
1402/02/06, 18940, 19550
1402/02/05, 18760, 19990
1402/02/04, 18670, 19870
1402/01/30, 18620, 19890
1402/01/29, 18360, 19490
1402/01/28, 17760, 19020
1402/01/27, 17900, 18590
1402/01/26, 18170, 18690
1402/01/22, 17630, 18400
1402/01/21, 17590, 18730
1402/01/20, 17440, 18280
1402/01/19, 17000, 17950
1402/01/16, 16700, 17500
1402/01/15, 16560, 17380
1402/01/14, 15610, 17050
1402/01/09, 15810, 16480
1402/01/08, 15460, 16100
1402/01/07, 15050, 16130
1402/01/06, 15310, 16400
1402/01/05, 15300, 15910
1401/12/24, 14530, 15200
1401/12/23, 14360, 14590
1401/12/22, 14000, 14760
1401/12/21, 14060, 14900
1401/12/20, 14650, 15540
1401/12/16, 14610, 15450
1401/12/15, 14860, 15850
1401/12/14, 15340, 16070
1401/12/13, 15240, 16520
1401/12/10, 15150, 16620
1401/12/09, 14840, 16280
1401/12/08, 15220, 16690
1401/12/07, 15420, 16110
1401/12/06, 15000, 15370
1401/12/03, 13810, 14880
1401/12/02, 13850, 14190
1401/12/01, 12960, 13730
1401/11/30, 12770, 13470
1401/11/26, 12600, 13090
1401/11/25, 12060, 12530
1401/11/24, 11250, 11980
1401/11/23, 11160, 11530
1401/11/19, 11420, 11720
1401/11/18, 11400, 11680
1401/11/17, 11000, 11630
1401/11/16, 10960, 11700
1401/11/12, 10910, 11700
1401/11/11, 11070, 11500
1401/11/10, 10830, 11800
1401/11/09, 11390, 11830
1401/11/08, 11800, 12260
1401/11/05, 12230, 12870
1401/11/04, 12750, 13050
1401/11/03, 12740, 13190
1401/11/02, 12600, 13190
1401/11/01, 12370, 13170
1401/10/28, 12480, 12830
1401/10/27, 12520, 12860
1401/10/26, 12460, 12790
1401/10/24, 11700, 12490
1401/10/21, 11860, 12780
1401/10/20, 12190, 12760
1401/10/19, 12580, 13540
1401/10/18, 12800, 13360
1401/10/17, 12520, 13110
1401/10/14, 12560, 12940
1401/10/13, 12570, 13450
1401/10/12, 12580, 13130
1401/10/11, 12130, 13060
1401/10/10, 12170, 12710
1401/10/05, 12100, 12850
1401/10/04, 12050, 12560
1401/10/03, 11490, 12260
1401/09/30, 11580, 11920
1401/09/29, 11500, 11940
1401/09/28, 11600, 12100
1401/09/27, 11700, 12260
1401/09/26, 11490, 11850
1401/09/23, 11800, 12250
1401/09/22, 11800, 12490
1401/09/21, 11510, 12070
1401/09/20, 11110, 11880
