date, min_price, max_price
1402/04/14, 1303, 1324
1402/04/13, 1305, 1337
1402/04/12, 1284, 1332
1402/04/11, 1269, 1305
1402/04/10, 1266, 1288
1402/04/07, 1273, 1300
1402/04/06, 1290, 1322
1402/04/05, 1315, 1347
1402/04/04, 1325, 1343
1402/04/03, 1290, 1336
1402/03/31, 1300, 1322
1402/03/30, 1270, 1325
1402/03/29, 1260, 1303
1402/03/28, 1254, 1290
1402/03/27, 1271, 1320
1402/03/24, 1284, 1316
1402/03/23, 1265, 1295
1402/03/22, 1259, 1318
1402/03/21, 1306, 1330
1402/03/20, 1314, 1367
1402/03/17, 1361, 1410
1402/03/16, 1349, 1378
1402/03/13, 1345, 1363
1402/03/10, 1344, 1362
1402/03/09, 1353, 1377
1402/03/08, 1354, 1386
1402/03/07, 1343, 1398
1402/03/06, 1386, 1422
1402/03/03, 1401, 1436
1402/03/02, 1393, 1437
1402/03/01, 1402, 1432
1402/02/31, 1370, 1414
1402/02/30, 1355, 1412
1402/02/27, 1361, 1417
1402/02/25, 1359, 1418
1402/02/24, 1345, 1388
1402/02/23, 1297, 1365
1402/02/20, 1335, 1440
1402/02/19, 1345, 1444
1402/02/18, 1405, 1428
1402/02/17, 1468, 1565
1402/02/16, 1528, 1571
1402/02/13, 1497, 1550
1402/02/12, 1531, 1569
1402/02/11, 1520, 1561
1402/02/10, 1538, 1579
1402/02/09, 1449, 1529
1402/02/06, 1432, 1490
1402/02/05, 1440, 1495
1402/02/04, 1421, 1453
1402/01/30, 1421, 1470
1402/01/29, 1414, 1475
1402/01/28, 1378, 1435
1402/01/27, 1397, 1438
1402/01/26, 1377, 1426
1402/01/22, 1338, 1376
1402/01/21, 1340, 1434
1402/01/20, 1389, 1436
1402/01/19, 1352, 1419
1402/01/16, 1301, 1372
1402/01/15, 1318, 1387
1402/01/14, 1300, 1371
1402/01/09, 1290, 1357
1402/01/08, 1275, 1328
1402/01/07, 1254, 1308
1402/01/06, 1268, 1332
1402/01/05, 1265, 1335
1401/12/28, 1255, 1323
1401/12/27, 1233, 1270
1401/12/24, 1187, 1214
1401/12/23, 1133, 1179
1401/12/22, 1123, 1159
1401/12/21, 1126, 1154
1401/12/20, 1155, 1228
1401/12/16, 1137, 1195
1401/12/15, 1115, 1165
1401/12/14, 1132, 1170
1401/12/13, 1126, 1154
1401/12/10, 1154, 1207
1401/12/09, 1158, 1242
1401/12/08, 1134, 1221
1401/12/07, 1136, 1165
1401/12/06, 1110, 1110
1401/12/03, 1021, 1087
1401/12/02, 1024, 1037
1401/12/01, 960, 990
1401/11/30, 930, 953
1401/11/26, 924, 939
1401/11/25, 932, 950
1401/11/24, 935, 964
1401/11/23, 935, 945
1401/11/19, 947, 960
1401/11/18, 941, 964
1401/11/17, 900, 945
1401/11/16, 914, 955
1401/11/12, 937, 954
1401/11/11, 942, 976
1401/11/10, 915, 969
1401/11/09, 934, 975
1401/11/08, 971, 1000
1401/11/05, 977, 1020
1401/11/04, 1013, 1038
1401/11/03, 1017, 1068
1401/11/02, 1018, 1068
1401/11/01, 1036, 1095
1401/10/28, 1064, 1102
1401/10/27, 1071, 1133
1401/10/26, 1076, 1101
1401/10/24, 1010, 1072
1401/10/21, 1045, 1090
1401/10/20, 1079, 1129
1401/10/19, 1058, 1106
1401/10/18, 1036, 1054
1401/10/17, 986, 1023
1401/10/14, 962, 989
1401/10/13, 979, 1027
1401/10/12, 965, 1004
1401/10/11, 943, 985
1401/10/10, 967, 998
1401/10/07, 985, 1018
1401/10/05, 952, 989
1401/10/04, 952, 972
1401/10/03, 935, 956
1401/09/30, 891, 919
1401/09/29, 896, 920
1401/09/28, 906, 949
1401/09/27, 893, 917
1401/09/26, 883, 899
1401/09/23, 891, 918
1401/09/22, 855, 890
1401/09/21, 833, 855
1401/09/20, 817, 836
1401/09/19, 819, 832
1401/09/16, 831, 839
1401/09/15, 834, 844
1401/09/14, 839, 849
1401/09/13, 842, 857
1401/09/12, 846, 861
1401/09/09, 851, 864
1401/09/08, 841, 863
1401/09/07, 839, 858
1401/09/06, 831, 844
1401/09/05, 834, 849
1401/09/02, 841, 848
1401/09/01, 837, 846
1401/08/30, 830, 848
1401/08/29, 813, 838
1401/08/28, 803, 833
1401/08/25, 825, 847
1401/08/24, 826, 839
1401/08/23, 815, 845
1401/08/22, 835, 865
1401/08/21, 849, 877
1401/08/18, 832, 873
1401/08/17, 843, 884
1401/08/16, 814, 852
1401/08/15, 800, 823
1401/08/14, 766, 807
1401/08/11, 761, 776
1401/08/10, 765, 788
1401/08/09, 753, 768
1401/07/25, 866, 879
1401/07/24, 870, 884
1401/07/23, 874, 885
1401/07/20, 866, 882
1401/07/19, 859, 871
1401/07/18, 856, 881
1401/07/17, 854, 880
1401/07/16, 879, 897
1401/07/12, 881, 898
1401/07/11, 883, 897
1401/07/10, 884, 896
1401/07/09, 885, 909
1401/07/06, 901, 923
1401/07/04, 889, 917
1401/07/02, 882, 909
1401/06/30, 910, 917
1401/06/29, 915, 922
1401/06/28, 915, 927
1401/06/27, 917, 930
1401/06/23, 927, 940
1401/06/22, 925, 940
1401/06/21, 923, 940
1401/06/20, 927, 933
1401/06/19, 928, 939
1401/06/16, 935, 954
1401/06/15, 950, 958
1401/06/14, 958, 966
1401/06/13, 955, 969
1401/06/12, 952, 975
1401/06/09, 970, 980
1401/06/08, 972, 983
1401/06/07, 972, 983
1401/06/06, 969, 982
1401/06/05, 971, 990
1401/06/02, 961, 987
1401/06/01, 952, 975
1401/05/31, 951, 962
1401/05/30, 950, 966
1401/05/29, 950, 962
1401/05/26, 961, 977
1401/05/25, 965, 988
1401/05/24, 956, 989
1401/05/23, 953, 985
1401/05/22, 939, 978
1401/05/19, 926, 945
1401/05/18, 938, 951
1401/05/15, 926, 965
1401/05/12, 919, 935
1401/05/11, 913, 936
1401/05/10, 915, 927
1401/05/09, 908, 923
1401/05/08, 919, 942
1401/05/05, 919, 933
1401/05/04, 917, 927
1401/05/03, 912, 935
1401/05/02, 933, 967
1401/05/01, 930, 971
1401/04/29, 916, 934
1401/04/28, 910, 922
1401/04/26, 910, 921
1401/04/25, 919, 947
1401/04/22, 917, 939
1401/04/21, 910, 927
1401/04/20, 918, 928
1401/04/18, 918, 933
1401/04/15, 925, 942
1401/04/14, 934, 949
1401/04/13, 933, 960
1401/04/12, 922, 942
1401/04/11, 926, 940
1401/04/08, 934, 952
1401/04/07, 932, 955
1401/04/06, 921, 940
1401/04/05, 919, 950
1401/04/04, 943, 963
1401/04/01, 942, 960
1401/03/31, 952, 973
1401/03/30, 953, 983
1401/03/29, 952, 974
1401/03/28, 950, 977
1401/03/25, 972, 992
1401/03/24, 988, 1007
1401/03/23, 990, 1030
1401/03/22, 953, 999
1401/03/21, 951, 971
1401/03/18, 950, 982
1401/03/17, 945, 965
1401/03/16, 942, 981
1401/03/11, 972, 990
1401/03/10, 982, 997
1401/03/09, 981, 1000
1401/03/08, 982, 1001
1401/03/07, 996, 1033
1401/03/04, 1007, 1040
1401/03/03, 1001, 1033
1401/03/02, 1002, 1044
1401/03/01, 1032, 1052
1401/02/31, 1035, 1052
1401/02/28, 1054, 1076
1401/02/27, 1065, 1103
1401/02/26, 1055, 1080
1401/02/25, 1040, 1085
1401/02/24, 1054, 1087
1401/02/21, 1039, 1083
1401/02/20, 1025, 1050
1401/02/19, 1030, 1069
1401/02/18, 1046, 1083
1401/02/17, 1021, 1045
1401/02/12, 1008, 1025
1401/02/11, 1010, 1037
1401/02/10, 1015, 1038
1401/02/07, 1027, 1051
1401/02/06, 1026, 1049
1401/02/05, 1007, 1033
1401/02/04, 1012, 1040
1401/01/31, 1012, 1035
1401/01/30, 1016, 1048
1401/01/29, 1004, 1036
1401/01/28, 961, 1010
1401/01/27, 976, 1009
1401/01/24, 950, 999
1401/01/23, 967, 1008
1401/01/22, 1002, 1037
1401/01/21, 1020, 1048
1401/01/16, 1006, 1035
1401/01/15, 1006, 1066
1401/01/14, 1027, 1060
1401/01/10, 1005, 1040
1401/01/09, 1005, 1042
1401/01/08, 949, 996
1401/01/07, 934, 963
1401/01/06, 934, 966
1400/12/28, 928, 958
1400/12/25, 887, 928
1400/12/24, 872, 894
1400/12/23, 875, 895
1400/12/22, 870, 896
1400/12/21, 885, 909
1400/12/18, 910, 935
1400/12/17, 909, 934
1400/12/16, 925, 969
