date, min_price, max_price
1402/02/25, 4730, 5290
1402/02/24, 4770, 5350
1402/02/23, 5110, 5270
1402/02/20, 5208, 5990
1402/02/19, 5566, 5848
1402/02/18, 5984, 5984
1402/02/17, 6258, 7100
1402/02/16, 6280, 6797
1402/02/12, 6000, 6399
1402/02/11, 5620, 6012
1402/02/10, 5619, 5619
1402/02/09, 5179, 5260
1402/02/06, 4498, 5174
1402/02/05, 4498, 5110
1402/02/04, 4776, 4776
1402/01/29, 4338, 4466
1402/01/28, 3992, 4243
1402/01/27, 3800, 3992
1402/01/26, 3611, 3774
1402/01/22, 3465, 3700
1402/01/21, 3548, 4080
1402/01/20, 3814, 3814
1402/01/19, 3530, 3566
1402/01/16, 3201, 3345
1402/01/14, 2863, 3248
1402/01/09, 2900, 3052
1402/01/08, 2791, 2857
1402/01/07, 2468, 2708
1402/01/06, 2370, 2614
1402/01/05, 2311, 2464
1401/12/28, 2236, 2390
1401/12/27, 2210, 2325
1401/12/24, 2037, 2175
1401/12/23, 2007, 2075
1401/12/22, 2008, 2100
1401/12/21, 2030, 2131
1401/12/20, 2051, 2215
1401/12/16, 2061, 2137
1401/12/15, 2028, 2137
1401/12/14, 2040, 2155
1401/12/13, 1965, 2098
1401/12/10, 1980, 2137
1401/12/09, 2041, 2150
1401/12/08, 2102, 2220
1401/12/07, 2130, 2356
1401/12/06, 2146, 2206
1401/12/03, 1983, 2167
1401/12/02, 2020, 2104
1401/12/01, 1900, 1996
1401/11/30, 1775, 1917
1401/11/26, 1756, 1830
1401/11/25, 1762, 1855
1401/11/24, 1756, 1863
1401/11/23, 1720, 1848
1401/11/19, 1805, 1929
1401/11/18, 1842, 1962
1401/11/17, 1803, 1900
1401/11/16, 1890, 2039
1401/11/12, 2007, 2147
1401/11/11, 2090, 2243
1401/11/10, 2030, 2224
1401/11/09, 2043, 2310
1401/11/08, 2012, 2251
1401/11/05, 2077, 2279
1401/11/04, 2189, 2378
1401/11/03, 2273, 2484
1401/11/02, 2310, 2575
1401/11/01, 2350, 2633
1401/10/28, 2260, 2536
1401/10/27, 2286, 2379
1401/10/26, 2160, 2225
1401/10/24, 1946, 2123
1401/10/21, 1874, 2031
1401/10/20, 1890, 2000
1401/10/19, 1890, 2022
1401/10/18, 1900, 1946
1401/10/17, 1797, 1856
1401/10/14, 1688, 1797
1401/10/13, 1682, 1775
1401/10/12, 1700, 1768
1401/10/11, 1690, 1824
1401/10/10, 1775, 1820
1401/10/07, 1840, 1924
1401/10/05, 1780, 1904
1401/10/04, 1753, 1850
1401/10/03, 1730, 1793
1401/09/30, 1675, 1720
1401/09/29, 1584, 1671
1401/09/28, 1604, 1676
1401/09/27, 1640, 1706
1401/09/26, 1564, 1628
1401/09/23, 1533, 1570
1401/09/22, 1501, 1546
1401/09/21, 1437, 1512
1401/09/20, 1422, 1489
1401/09/19, 1444, 1518
1401/09/16, 1501, 1540
1401/09/15, 1472, 1546
1401/09/14, 1476, 1535
1401/09/13, 1493, 1527
1401/09/12, 1500, 1547
1401/09/09, 1485, 1565
1401/09/08, 1475, 1520
1401/09/07, 1473, 1528
1401/09/06, 1464, 1517
1401/09/05, 1472, 1554
1401/09/02, 1520, 1570
1401/09/01, 1421, 1516
1401/08/30, 1424, 1467
1401/08/29, 1394, 1460
1401/08/28, 1400, 1465
1401/08/25, 1411, 1465
1401/08/24, 1410, 1453
1401/08/23, 1418, 1478
1401/08/22, 1450, 1495
1401/08/21, 1471, 1514
1401/08/18, 1456, 1536
1401/08/17, 1470, 1570
1401/08/16, 1441, 1504
1401/08/15, 1418, 1450
1401/08/14, 1375, 1458
1401/08/11, 1382, 1429
1401/08/10, 1385, 1412
1401/08/09, 1280, 1363
1401/08/08, 1264, 1324
1401/08/07, 1282, 1336
1401/08/04, 1306, 1397
1401/08/03, 1350, 1398
1401/08/02, 1348, 1400
1401/08/01, 1373, 1422
1401/07/30, 1398, 1447
1401/07/27, 1416, 1452
1401/07/26, 1406, 1444
1401/07/25, 1394, 1464
1401/07/24, 1400, 1441
1401/07/23, 1403, 1472
1401/07/20, 1422, 1468
1401/07/19, 1422, 1476
1401/07/18, 1400, 1440
1401/07/17, 1380, 1448
1401/07/16, 1406, 1450
1401/07/12, 1400, 1428
1401/07/11, 1400, 1460
1401/07/10, 1400, 1450
1401/07/09, 1435, 1521
1401/07/06, 1500, 1559
1401/07/04, 1404, 1525
