date, min_price, max_price
1402/03/03, 45850, 48150
1402/03/02, 44600, 47400
1402/03/01, 42700, 45550
1402/02/31, 42050, 45000
1402/02/30, 43700, 48400
1402/02/27, 45000, 47900
1402/02/25, 45000, 48300
1402/02/24, 44050, 45950
1402/02/23, 42550, 45100
1402/02/20, 44550, 50500
1402/02/19, 46700, 50400
1402/02/18, 50150, 51600
1402/02/17, 53750, 57000
1402/02/16, 56650, 61000
1402/02/13, 55500, 58250
1402/02/12, 52200, 54600
1402/02/11, 47650, 51700
1402/02/10, 47200, 49950
1402/02/09, 46550, 49200
1402/02/06, 47250, 49400
1402/02/05, 47700, 50250
1402/02/04, 47350, 50000
1402/01/30, 45600, 48400
1402/01/29, 46550, 47800
1402/01/28, 46250, 48000
1402/01/27, 45250, 48600
1402/01/26, 43200, 46400
1402/01/22, 41850, 44700
1402/01/21, 41500, 45600
1402/01/20, 41900, 44950
1402/01/19, 40000, 43150
1402/01/16, 39400, 41450
1402/01/15, 40200, 41700
1402/01/14, 39150, 42250
1402/01/09, 40800, 41950
1402/01/08, 40050, 41650
1402/01/07, 37450, 40700
1402/01/06, 37000, 38900
1402/01/05, 38000, 39850
1401/12/28, 38000, 39500
1401/12/27, 36000, 37700
1401/12/24, 32800, 35500
1401/12/23, 32500, 33950
1401/12/22, 32500, 34000
1401/12/21, 32800, 33500
1401/12/20, 33350, 34900
1401/12/16, 33250, 34100
1401/12/15, 33050, 34000
1401/12/14, 32800, 34350
1401/12/13, 32900, 34300
1401/12/10, 33600, 35100
1401/12/09, 33600, 35500
1401/12/08, 32850, 34850
1401/12/07, 34050, 36350
1401/12/06, 32750, 34500
1401/12/03, 31100, 33700
1401/12/02, 32000, 33350
1401/12/01, 30150, 31900
1401/11/30, 29950, 30900
1401/11/26, 29650, 30550
1401/11/25, 29500, 30350
1401/11/24, 29600, 30850
1401/11/23, 29700, 30600
1401/11/19, 30700, 31250
1401/11/18, 30400, 31800
1401/11/17, 30050, 31650
1401/11/16, 30000, 31550
1401/11/12, 30850, 31500
1401/11/11, 29100, 31600
1401/11/10, 28950, 31750
1401/11/09, 30050, 31450
1401/11/08, 31000, 33500
1401/11/05, 31800, 33850
1401/11/04, 33550, 34950
1401/11/03, 32900, 36000
1401/11/02, 33800, 35450
1401/11/01, 33950, 36350
1401/10/28, 34400, 35800
1401/10/27, 35350, 36900
1401/10/26, 35100, 36500
1401/10/24, 32000, 35500
1401/10/21, 32850, 34700
1401/10/20, 32900, 34900
1401/10/19, 33100, 34100
1401/10/18, 33600, 35850
1401/10/17, 31700, 34200
1401/10/14, 31250, 32850
1401/10/13, 31700, 32900
1401/10/12, 29500, 31900
1401/10/11, 29100, 32400
1401/10/10, 30550, 32500
1401/10/07, 31700, 33400
1401/10/05, 31300, 33000
1401/10/04, 31500, 32650
1401/10/03, 29150, 31500
1401/09/30, 29200, 29950
1401/09/29, 28650, 29500
1401/09/28, 29000, 30400
1401/09/27, 28500, 29850
1401/09/26, 28250, 28900
1401/09/23, 28200, 29450
1401/09/22, 27500, 28800
1401/09/21, 27000, 27850
1401/09/20, 26700, 27400
1401/09/19, 26550, 27300
1401/09/16, 26900, 27550
1401/09/15, 26700, 27550
1401/09/14, 26700, 27600
