date, min_price, max_price
1402/03/03, 2280, 2405
1402/03/02, 2178, 2275
1402/03/01, 2043, 2187
1402/02/31, 1978, 2100
1402/02/30, 2002, 2180
1402/02/27, 2000, 2180
1402/02/25, 2000, 2120
1402/02/24, 1950, 2056
1402/02/23, 1905, 2117
1402/02/20, 1974, 2262
1402/02/19, 2101, 2200
1402/02/18, 2259, 2259
1402/02/17, 2415, 2544
1402/02/16, 2549, 2780
1402/02/13, 2650, 2885
1402/02/12, 2723, 2859
1402/02/11, 2614, 2957
1402/02/10, 2740, 2793
1402/02/09, 2550, 2611
1402/02/06, 2270, 2480
1402/02/05, 2222, 2335
1402/02/04, 2091, 2250
1402/01/30, 2160, 2299
1402/01/29, 2215, 2332
1402/01/28, 2069, 2211
1402/01/27, 1940, 2098
1402/01/26, 1948, 1961
1402/01/19, 1756, 1836
1402/01/16, 1596, 1754
1402/01/15, 1570, 1700
1402/01/14, 1472, 1645
1402/01/09, 1489, 1547
1402/01/08, 1390, 1481
1402/01/07, 1313, 1409
1402/01/06, 1303, 1410
1402/01/05, 1302, 1360
1401/12/28, 1280, 1349
1401/12/27, 1266, 1333
1401/12/24, 1184, 1261
1401/12/23, 1161, 1200
1401/12/22, 1180, 1242
1401/12/21, 1185, 1248
1401/12/20, 1201, 1310
1401/12/16, 1220, 1289
1401/12/15, 1193, 1240
1401/12/14, 1209, 1281
1401/12/13, 1210, 1272
1401/12/10, 1241, 1320
1401/12/09, 1280, 1340
1401/12/08, 1284, 1386
1401/12/07, 1301, 1403
1401/12/06, 1251, 1315
1401/12/03, 1195, 1262
1401/12/02, 1220, 1291
1401/12/01, 1150, 1215
1401/11/30, 1112, 1158
1401/11/26, 1105, 1153
1401/11/25, 1090, 1146
1401/11/24, 1137, 1186
1401/11/23, 1145, 1219
1401/11/19, 1194, 1247
1401/11/18, 1157, 1242
1401/11/17, 1130, 1200
1401/11/16, 1153, 1269
1401/11/12, 1202, 1268
1401/11/11, 1204, 1277
1401/11/10, 1191, 1299
1401/11/09, 1236, 1388
1401/11/08, 1267, 1377
1401/11/05, 1252, 1369
1401/11/04, 1315, 1379
1401/11/03, 1320, 1426
1401/11/02, 1326, 1440
1401/11/01, 1381, 1480
1401/10/28, 1345, 1469
1401/10/27, 1333, 1439
1401/10/26, 1356, 1407
1401/10/24, 1238, 1360
1401/10/21, 1285, 1341
1401/10/20, 1287, 1350
1401/10/19, 1242, 1325
1401/10/18, 1240, 1302
1401/10/17, 1200, 1249
1401/10/14, 1171, 1209
1401/10/13, 1165, 1246
1401/10/12, 1195, 1245
1401/10/11, 1177, 1270
1401/10/10, 1257, 1313
1401/10/07, 1311, 1390
1401/10/05, 1271, 1329
1401/10/04, 1261, 1320
1401/10/03, 1270, 1319
1401/09/30, 1234, 1315
1401/09/29, 1207, 1280
