date, min_price, max_price
1402/02/31, 8330, 8650
1402/02/30, 8120, 8590
1402/02/27, 8250, 8590
1402/02/25, 8050, 8650
1402/02/24, 7690, 8230
1402/02/23, 7630, 8090
1402/02/20, 8060, 9160
1402/02/19, 8440, 9090
1402/02/18, 8880, 8880
1402/02/17, 9470, 10010
1402/02/16, 10000, 10500
1402/02/13, 9940, 10480
1402/02/12, 9450, 9940
1402/02/11, 9340, 9800
1402/02/10, 9510, 9830
1402/02/09, 9450, 9810
1402/02/06, 9000, 9570
1402/02/05, 8780, 9320
1402/02/04, 8600, 8880
1402/01/30, 8550, 8790
1402/01/29, 8500, 8820
1402/01/28, 8310, 8830
1402/01/27, 8490, 9000
1402/01/26, 8350, 8680
1402/01/22, 7960, 8350
1402/01/21, 7960, 8750
1402/01/20, 8350, 8890
1402/01/19, 8470, 8990
1402/01/16, 8070, 8530
1402/01/15, 7690, 8000
1402/01/14, 7100, 7700
1402/01/09, 7270, 7480
1402/01/08, 7220, 7500
1402/01/07, 7070, 7330
1402/01/06, 7000, 7650
1402/01/05, 7250, 7690
1401/12/28, 7250, 7700
1401/12/27, 7100, 7470
1401/12/24, 6870, 7100
1401/12/23, 6720, 6900
1401/12/22, 6690, 6970
1401/12/21, 6610, 6880
1401/12/20, 6760, 7230
1401/12/16, 6780, 7240
1401/12/15, 6510, 6970
1401/12/14, 6600, 7080
1401/12/13, 6860, 7240
1401/12/10, 6970, 7710
1401/12/09, 6730, 7340
1401/12/08, 6600, 7210
1401/12/07, 6770, 7160
1401/12/06, 6570, 6710
1401/12/03, 5850, 6440
1401/12/02, 5770, 6080
1401/12/01, 5500, 5770
1401/11/30, 5210, 5500
1401/11/26, 5070, 5180
1401/11/25, 5100, 5270
1401/11/24, 5180, 5310
1401/11/23, 5210, 5420
1401/11/19, 5330, 5560
1401/11/18, 5320, 5560
1401/11/17, 5310, 5450
1401/11/16, 5230, 5580
1401/11/12, 5210, 5390
1401/11/10, 5030, 5310
1401/11/09, 5190, 5570
1401/11/08, 5480, 5760
1401/11/05, 5510, 5800
1401/11/04, 5740, 5930
1401/11/03, 5790, 6140
1401/11/02, 5830, 6100
1401/11/01, 5870, 6200
1401/10/28, 6090, 6230
1401/10/27, 6080, 6320
1401/10/26, 6000, 6230
1401/10/24, 5730, 6010
1401/10/21, 5910, 6180
1401/10/20, 6070, 6330
1401/10/19, 6090, 6290
1401/10/18, 5940, 6100
1401/10/17, 5800, 5940
1401/10/14, 5700, 5910
1401/10/13, 5820, 6050
1401/10/12, 5930, 6080
1401/10/11, 5780, 6130
1401/10/10, 6020, 6270
1401/10/07, 6370, 6590
1401/10/05, 6180, 6380
1401/10/04, 5890, 6060
1401/09/29, 5560, 5770
1401/09/28, 5600, 5770
1401/09/27, 5700, 5840
1401/09/26, 5620, 5800
1401/09/23, 5600, 5930
1401/09/22, 5500, 5690
1401/09/21, 5400, 5520
1401/09/20, 5180, 5550
1401/09/19, 5250, 5470
1401/09/16, 5420, 5680
1401/09/15, 5590, 5680
1401/09/14, 5650, 5780
1401/09/13, 5700, 5860
1401/09/12, 5810, 6000
1401/09/09, 5900, 5990
1401/09/08, 5910, 6050
1401/09/07, 5860, 6150
1401/09/06, 5810, 5980
1401/09/05, 5800, 5980
1401/09/02, 5920, 6100
1401/09/01, 5830, 6040
1401/08/30, 5920, 6150
1401/08/29, 5930, 6200
1401/08/28, 5810, 6150
1401/08/25, 6050, 6250
1401/08/24, 6010, 6390
1401/08/23, 6170, 6490
1401/08/22, 5660, 6200
1401/08/21, 5730, 5940
1401/08/18, 5700, 5990
1401/08/17, 5720, 6170
