date, min_price, max_price
1402/03/03, 8930, 9400
1402/03/02, 8950, 9690
1402/03/01, 9030, 9280
1402/02/31, 8620, 8850
1402/02/30, 8120, 8490
1402/02/27, 7700, 8110
1402/02/25, 7690, 8240
1402/02/24, 7760, 8260
1402/02/23, 7850, 8210
1402/02/20, 8090, 8840
1402/02/19, 8470, 8850
1402/02/18, 8910, 8910
1402/02/17, 9290, 9900
1402/02/16, 9500, 9810
1402/02/13, 9120, 9360
1402/02/12, 8500, 9080
1402/02/11, 8440, 8890
1402/02/10, 8720, 9340
1402/02/09, 8890, 9650
1402/02/06, 8650, 9270
1402/02/05, 8450, 9200
1402/02/04, 8430, 9240
1402/01/30, 8870, 8870
1402/01/29, 8450, 8450
1402/01/28, 7800, 8420
1402/01/14, 8670, 8670
1402/01/09, 8260, 8260
1402/01/08, 7870, 7870
1402/01/07, 7500, 7500
1402/01/06, 7150, 7150
1402/01/05, 6810, 6810
1401/12/28, 6490, 6490
1401/12/27, 5730, 9010
