date, min_price, max_price
1402/02/30, 9680, 10290
1402/02/27, 9710, 10270
1402/02/25, 9720, 10390
1402/02/24, 9410, 9990
1402/02/23, 9290, 10500
1402/02/20, 9610, 11040
1402/02/19, 9970, 10990
1402/02/18, 10490, 10520
1402/02/17, 11200, 12290
1402/02/16, 11430, 12730
1402/02/13, 11510, 12190
1402/02/12, 11360, 11970
1402/02/11, 11470, 12400
1402/02/10, 11830, 12120
1402/02/09, 10630, 11370
1402/02/06, 9990, 11090
1402/02/05, 9870, 10440
1402/02/04, 9410, 10000
1402/01/30, 9380, 9730
1402/01/29, 9440, 9750
1402/01/28, 9330, 9680
1402/01/27, 9410, 9880
1402/01/26, 9360, 9910
1402/01/22, 9310, 9900
1402/01/21, 9120, 10040
1402/01/20, 9260, 9900
1402/01/19, 9040, 9640
1402/01/16, 8500, 9040
1402/01/15, 8200, 8490
1402/01/14, 7740, 8160
1402/01/09, 7780, 8000
1402/01/08, 7630, 8090
1402/01/07, 7530, 7950
1402/01/06, 7360, 7910
1402/01/05, 7390, 7730
1401/12/28, 7220, 7550
1401/12/27, 6760, 7080
1401/12/24, 6560, 6800
1401/12/23, 6400, 6780
1401/12/22, 6410, 6570
1401/12/21, 6400, 6620
1401/12/20, 6630, 6800
1401/12/16, 6680, 6910
1401/12/15, 6550, 6860
1401/12/14, 6540, 6840
1401/12/13, 6510, 6760
1401/12/10, 6500, 6920
1401/12/09, 6670, 6920
1401/12/08, 6490, 6940
1401/12/07, 6490, 7050
1401/12/06, 6400, 6690
1401/12/03, 6080, 6500
1401/12/02, 6290, 6480
1401/12/01, 5920, 6310
1401/11/30, 5750, 6200
1401/11/26, 5810, 5930
1401/11/25, 5760, 6190
1401/11/24, 6060, 6210
1401/11/23, 6000, 6160
1401/11/19, 6040, 6400
1401/11/18, 6130, 6400
1401/11/05, 7300, 7990
1401/11/04, 7700, 7970
1401/11/03, 7660, 8040
1401/11/02, 7570, 8020
1401/11/01, 7740, 8510
1401/10/28, 8150, 8470
1401/10/27, 8100, 8390
1401/10/26, 7910, 8150
1401/10/24, 7410, 7960
1401/10/21, 7590, 7890
1401/10/20, 7630, 7960
1401/10/19, 7520, 7850
1401/10/18, 7560, 7930
1401/10/17, 7550, 7790
1401/10/14, 7310, 7600
1401/10/13, 7410, 7830
1401/10/12, 7590, 7760
1401/10/11, 7340, 7780
1401/10/10, 7420, 7890
1401/10/07, 7790, 8180
1401/10/05, 7710, 7890
1401/10/04, 7510, 7760
1401/10/03, 7490, 7720
1401/09/30, 7320, 7560
1401/09/29, 7120, 7310
1401/09/28, 7100, 7330
1401/09/27, 7010, 7270
1401/09/26, 6960, 7110
1401/09/23, 7030, 7200
1401/09/22, 7010, 7250
1401/09/21, 6900, 7090
1401/09/20, 6800, 7130
1401/09/19, 6770, 7040
1401/09/16, 6970, 7160
1401/09/15, 6890, 7080
1401/09/14, 6900, 7060
1401/09/13, 6950, 7110
1401/09/12, 6990, 7260
1401/09/09, 7130, 7290
1401/09/08, 7120, 7370
1401/09/07, 7140, 7490
1401/09/06, 7210, 7710
1401/09/05, 6910, 7490
1401/09/02, 6750, 7140
1401/09/01, 6590, 6880
1401/08/30, 6700, 6970
1401/08/29, 6500, 6970
1401/08/28, 6430, 6710
1401/08/25, 6630, 6860
1401/08/24, 6710, 6830
1401/08/23, 6700, 6890
1401/08/22, 6730, 6930
1401/08/21, 6750, 7090
1401/08/18, 6940, 7150
1401/08/17, 6900, 7240
1401/08/16, 6930, 7150
1401/08/15, 6920, 7100
1401/08/14, 6550, 7070
1401/08/11, 6770, 6980
1401/08/10, 6760, 7080
1401/08/09, 6450, 7050
1401/08/08, 6700, 6970
1401/08/07, 6700, 7000
1401/08/04, 6420, 6940
1401/08/03, 6750, 6910
1401/08/02, 6780, 6940
1401/08/01, 6780, 6970
1401/07/30, 6780, 7020
1401/07/27, 6780, 7010
