date, min_price, max_price
1402/03/03, 25200, 27210
1402/03/02, 24930, 25940
1402/03/01, 24820, 25980
1402/02/31, 24500, 25700
1402/02/30, 24500, 25850
1402/02/27, 23240, 25190
1402/02/25, 23170, 25300
1402/02/24, 23110, 24640
1402/02/23, 23110, 24100
1402/02/20, 24290, 27290
1402/02/19, 25760, 26990
1402/02/18, 27140, 27140
1402/02/17, 29030, 31500
1402/02/16, 30810, 32190
1402/02/13, 31500, 33400
1402/02/12, 30510, 33300
1402/02/11, 30600, 32300
1402/02/10, 28120, 30480
1402/02/09, 28110, 29170
1402/02/06, 27600, 29180
1402/01/29, 27030, 29300
1402/01/28, 27780, 28990
1402/01/27, 25550, 28590
1402/01/26, 25660, 27370
1402/01/22, 24510, 26470
1402/01/21, 24510, 26570
1402/01/20, 25610, 26640
1402/01/19, 23000, 25030
1402/01/16, 21810, 23710
1402/01/15, 20990, 22950
1402/01/14, 21600, 23290
1402/01/09, 21520, 22730
1402/01/08, 20230, 21470
1402/01/07, 19760, 20680
1402/01/06, 19850, 21490
1402/01/05, 20000, 20450
1401/12/28, 19900, 21190
1401/12/27, 19650, 20230
1401/12/24, 18600, 19180
1401/12/23, 17800, 19190
1401/12/22, 18530, 19100
1401/12/21, 18560, 19140
1401/12/20, 18690, 20190
1401/12/16, 19400, 20180
1401/12/15, 19360, 20000
1401/12/14, 19360, 20300
1401/12/13, 19090, 20340
1401/12/10, 19610, 20720
1401/12/09, 19530, 20730
1401/12/08, 19500, 21500
1401/12/07, 19200, 20370
1401/12/06, 17840, 19070
1401/12/03, 17300, 18240
1401/12/02, 17380, 18450
1401/12/01, 16200, 17330
1401/11/30, 15720, 16830
1401/11/26, 15650, 16210
1401/11/25, 15930, 16480
1401/11/24, 15900, 16600
1401/11/23, 15880, 17000
1401/11/19, 16390, 17190
1401/11/18, 16150, 17490
1401/11/17, 16100, 17500
1401/11/16, 16010, 17600
1401/11/12, 16910, 17200
1401/11/11, 16910, 17490
1401/11/10, 15540, 17290
1401/11/09, 16620, 18150
1401/11/08, 17790, 18300
1401/11/05, 19000, 20590
1401/11/04, 18810, 20590
1401/11/03, 18490, 19510
1401/11/02, 18000, 19030
1401/11/01, 18500, 19370
1401/10/28, 18850, 19900
1401/10/27, 18500, 20050
1401/10/26, 18720, 19840
1401/10/24, 17480, 19110
1401/10/21, 18000, 19260
1401/10/20, 18010, 18850
1401/10/19, 17150, 17660
1401/10/18, 15580, 16590
1401/10/17, 15300, 15710
1401/10/14, 15050, 15550
1401/10/13, 14800, 15750
1401/10/12, 14700, 15580
1401/10/11, 14410, 15480
1401/10/10, 14990, 15730
1401/10/07, 15110, 16590
1401/10/05, 14860, 15720
1401/10/04, 14800, 15670
1401/10/03, 14640, 15400
1401/09/30, 14230, 14650
1401/09/29, 14040, 14700
1401/09/28, 13920, 15480
1401/09/27, 14420, 15040
1401/09/26, 13920, 14330
1401/09/23, 14010, 14600
1401/09/22, 13600, 14110
1401/09/21, 13230, 13660
1401/09/20, 13090, 13500
1401/09/19, 13180, 13780
1401/09/16, 13300, 14100
1401/09/15, 13830, 14190
1401/09/14, 14050, 14200
1401/09/13, 14150, 14590
1401/09/12, 13780, 14500
1401/09/09, 13970, 14190
1401/09/08, 13900, 14190
1401/09/07, 13760, 14140
1401/09/06, 13710, 14040
1401/09/05, 13800, 14060
1401/09/02, 13720, 14020
1401/09/01, 13760, 14250
1401/08/30, 12930, 14070
1401/08/29, 12900, 13550
1401/08/28, 12780, 13550
1401/08/25, 13040, 13630
1401/08/24, 13010, 13700
1401/08/23, 13260, 13990
1401/08/22, 12520, 13520
1401/08/21, 12280, 12900
1401/08/18, 12070, 12800
1401/08/17, 12350, 13270
1401/08/16, 12010, 12750
1401/08/15, 11500, 12390
1401/08/14, 11300, 12220
1401/08/11, 11100, 11650
1401/08/10, 11500, 11880
1401/08/09, 11450, 11890
1401/08/08, 11030, 11900
1401/08/07, 10810, 11880
1401/08/04, 11110, 11780
1401/08/03, 11650, 12420
1401/08/02, 12060, 12780
1401/08/01, 12360, 13120
1401/07/30, 12980, 13340
1401/07/27, 13000, 13430
1401/07/26, 12950, 13690
1401/07/25, 12800, 13700
1401/07/24, 12780, 13390
1401/07/23, 13140, 14000
1401/07/20, 12650, 13380
1401/07/19, 12400, 12980
1401/07/18, 12180, 12780
1401/07/17, 12160, 12480
1401/07/16, 12450, 12970
1401/07/12, 12400, 12890
1401/07/11, 12550, 12880
1401/07/10, 12520, 12800
1401/07/09, 12710, 13390
1401/07/06, 12850, 13380
1401/07/04, 12670, 13300
1401/07/02, 12500, 13000
1401/06/30, 12780, 13100
1401/06/29, 13000, 13360
1401/06/28, 13200, 13550
1401/06/27, 13170, 13900
1401/06/23, 13550, 13920
1401/06/22, 13540, 13930
1401/06/21, 13510, 14200
1401/06/20, 13650, 14430
1401/06/19, 13910, 15400
1401/06/16, 14390, 15580
1401/06/15, 15120, 15840
1401/06/14, 15160, 16400
1401/06/13, 14460, 15960
1401/06/12, 14500, 15320
1401/06/09, 14660, 15380
1401/06/08, 14800, 15450
1401/06/07, 14810, 15500
1401/06/06, 14790, 15260
1401/06/05, 14710, 15950
1401/06/02, 14500, 15250
1401/06/01, 13670, 14490
1401/05/31, 13460, 13930
1401/05/30, 13300, 13740
1401/05/29, 13240, 13770
1401/05/26, 13300, 13860
1401/05/25, 13540, 13990
1401/05/24, 13490, 14000
1401/05/23, 13580, 13990
1401/05/22, 13250, 13900
1401/05/19, 13000, 13300
1401/05/18, 12940, 13380
1401/05/15, 12520, 13170
1401/05/12, 12260, 12850
1401/05/11, 12250, 12780
1401/05/10, 12400, 12900
1401/05/09, 12630, 13500
1401/05/08, 13110, 14140
1401/05/05, 13250, 13740
1401/05/04, 13310, 14380
1401/05/03, 13930, 14880
1401/05/02, 14450, 15290
1401/05/01, 14820, 15500
1401/04/29, 14400, 15600
1401/04/28, 14130, 15060
1401/04/26, 14820, 15200
1401/04/25, 14800, 15490
1401/04/22, 14930, 15530
1401/04/21, 15000, 15830
1401/04/20, 15320, 15970
1401/04/18, 15830, 16250
1401/04/15, 15910, 16400
1401/04/14, 16210, 16710
1401/04/13, 16450, 17090
1401/04/12, 16480, 16900
1401/04/11, 16470, 17000
1401/04/08, 16450, 17000
1401/04/07, 16270, 17000
1401/04/06, 16000, 16590
1401/04/05, 16200, 17000
1401/04/04, 16650, 17880
1401/04/01, 17110, 17600
1401/03/31, 17390, 18190
1401/03/30, 17450, 18980
1401/03/29, 18200, 19100
1401/03/28, 17450, 19160
1401/03/25, 18370, 19410
1401/03/24, 18720, 19600
1401/03/23, 19010, 19910
1401/03/22, 18700, 19890
1401/03/21, 18200, 19380
1401/03/18, 18000, 18930
1401/03/17, 18150, 19430
1401/03/16, 18800, 20310
1401/03/11, 19510, 20300
1401/03/10, 19470, 20600
1401/03/09, 19200, 20450
1401/03/08, 19850, 20710
1401/03/07, 20800, 22400
1401/03/04, 21780, 22770
1401/03/03, 22310, 23990
1401/03/02, 21220, 23440
1401/03/01, 20740, 23240
1401/02/31, 21620, 23100
1401/02/28, 21040, 23240
1401/02/27, 21400, 22730
1401/02/26, 20860, 22700
1401/02/25, 21730, 22650
1401/02/24, 22730, 24480
1401/02/19, 23600, 24290
1401/02/18, 22600, 23020
1401/02/17, 21000, 22000
1401/02/12, 20090, 21260
1401/02/11, 19200, 20150
1401/02/10, 18580, 19030
