date, min_price, max_price
1402/03/01, 3750, 3980
1402/02/31, 3817, 4045
1402/02/30, 3866, 4060
1402/02/27, 3750, 3965
1402/02/25, 3620, 3990
1402/02/24, 3660, 3906
1402/02/23, 3619, 3880
1402/02/20, 3624, 4082
1402/02/19, 3770, 3816
1402/02/18, 3556, 3795
1402/02/17, 3819, 3990
1402/02/16, 3910, 4270
1402/02/13, 3803, 4099
1402/02/12, 3680, 3949
1402/02/11, 3630, 3847
1402/02/10, 3510, 3599
1402/02/09, 3220, 3392
1402/02/06, 3043, 3344
1402/02/05, 3111, 3465
1402/02/04, 3060, 3300
1402/01/30, 2900, 3154
1402/01/27, 2790, 2894
1402/01/26, 2742, 2742
1402/01/16, 2315, 2611
1402/01/15, 2346, 2530
1402/01/14, 2300, 2509
1402/01/09, 2385, 2518
1402/01/08, 2231, 2376
1402/01/07, 2142, 2267
1402/01/06, 2101, 2305
1402/01/05, 2100, 2196
1401/12/28, 2043, 2130
1401/12/27, 2034, 2100
1401/12/24, 1907, 2020
1401/12/23, 1892, 1944
1401/12/22, 1890, 1972
1401/12/21, 1891, 1936
1401/12/20, 1909, 1979
1401/12/16, 1913, 1985
1401/12/15, 1901, 1978
1401/12/14, 1912, 2029
1401/12/13, 1915, 1990
1401/12/10, 1971, 2099
1401/12/09, 2031, 2147
1401/12/08, 1960, 2151
1401/12/07, 2001, 2171
1401/12/06, 1972, 2033
1401/12/03, 1840, 1970
1401/12/02, 1888, 2017
1401/12/01, 1779, 1922
1401/11/30, 1753, 1818
1401/11/26, 1716, 1800
1401/11/25, 1752, 1840
1401/11/24, 1756, 1889
1401/11/23, 1811, 1900
1401/11/19, 1844, 1949
1401/11/18, 1857, 1990
1401/11/17, 1850, 1945
1401/11/16, 1897, 2070
1401/11/12, 2000, 2105
1401/11/11, 2000, 2119
1401/11/10, 1911, 2099
1401/11/09, 2011, 2106
1401/11/08, 2127, 2329
1401/11/05, 2186, 2390
1401/11/04, 2186, 2337
1401/11/03, 2100, 2233
1401/11/02, 2001, 2178
1401/11/01, 2051, 2240
1401/10/28, 2140, 2275
1401/10/27, 2153, 2350
1401/10/26, 2172, 2276
1401/10/24, 2030, 2161
1401/10/21, 2020, 2020
1401/09/30, 1870, 1924
1401/09/29, 1861, 1900
1401/09/28, 1850, 1964
1401/09/27, 1823, 1963
1401/09/26, 1811, 1865
1401/09/23, 1805, 1888
1401/09/22, 1773, 1870
1401/09/21, 1741, 1850
1401/09/20, 1761, 1848
1401/09/19, 1725, 1835
1401/09/16, 1741, 1790
