date, min_price, max_price
1402/03/03, 177000, 188220
1402/03/02, 174460, 179000
1402/03/01, 175920, 178200
1402/02/31, 175020, 179000
1402/02/30, 176130, 182000
1402/02/27, 179500, 183450
1402/02/25, 179000, 186990
1402/02/24, 178660, 188800
1402/02/23, 175000, 185890
1402/02/20, 176490, 195000
1402/02/19, 169900, 189000
1402/02/18, 179140, 186040
1402/02/17, 184710, 204700
1402/02/16, 196000, 203730
1402/02/13, 198250, 204900
1402/02/12, 203440, 207990
1402/02/11, 202960, 213500
1402/02/10, 210770, 220000
1402/02/09, 208560, 211860
1402/02/06, 192100, 200000
1402/02/05, 189010, 201090
1402/02/04, 186060, 189500
1402/01/30, 184000, 191730
1402/01/29, 184000, 188250
1402/01/28, 182600, 185180
1402/01/27, 183000, 189230
1402/01/26, 181560, 187300
1402/01/22, 177750, 182300
1402/01/21, 177170, 188000
1402/01/20, 184650, 190190
1402/01/19, 185000, 191490
1402/01/16, 181340, 188970
1402/01/15, 180050, 191740
1402/01/14, 169760, 185500
1402/01/09, 178010, 188420
1402/01/08, 177880, 180900
1402/01/07, 173020, 180880
1402/01/06, 174700, 182000
1402/01/05, 170060, 178290
1401/12/28, 167910, 172180
1401/12/27, 165280, 169000
1401/12/24, 154510, 164600
1401/12/23, 152840, 155700
1401/12/22, 154350, 159400
1401/12/21, 154200, 158890
1401/12/20, 158800, 162490
1401/12/16, 159940, 162470
1401/12/15, 157800, 162300
1401/12/14, 160820, 168980
1401/12/13, 159900, 166350
1401/12/10, 165520, 173900
1401/12/08, 168820, 175200
1401/12/07, 169130, 178330
1401/12/06, 166510, 166670
1401/12/03, 152520, 158000
1401/12/02, 153010, 159250
1401/12/01, 140010, 150230
1401/11/30, 139000, 142520
1401/11/26, 139700, 142950
1401/11/25, 140640, 144950
1401/11/24, 142850, 144500
1401/11/23, 141950, 148990
1401/11/19, 148400, 151100
1401/11/18, 150000, 152370
1401/11/17, 149670, 152890
1401/11/16, 150150, 157680
1401/11/12, 147840, 158890
1401/11/11, 149410, 153220
1401/11/10, 144860, 150580
1401/11/09, 144300, 152500
1401/11/05, 150720, 157000
1401/11/04, 155780, 158300
1401/11/03, 156700, 160850
1401/11/02, 157130, 161040
1401/11/01, 156810, 162000
1401/10/28, 155700, 157050
1401/10/27, 156000, 159340
1401/10/26, 155600, 159470
1401/10/24, 149100, 158900
1401/10/21, 156080, 162970
1401/10/20, 160740, 166500
1401/10/19, 165010, 172100
1401/10/18, 170000, 174750
1401/10/11, 196110, 202600
1401/10/10, 198570, 205000
1401/10/07, 208000, 213760
1401/10/05, 199000, 202000
1401/10/04, 196900, 202700
1401/10/03, 191670, 196870
1401/09/30, 190880, 193730
1401/09/29, 190560, 192500
1401/09/28, 189900, 192000
1401/09/27, 190000, 192490
1401/09/26, 188020, 192030
1401/09/23, 188490, 195000
1401/09/22, 189000, 193790
1401/09/21, 184800, 189000
1401/09/20, 181300, 188480
