date, min_price, max_price
1402/03/03, 9790, 10190
1402/03/02, 9460, 9650
1402/03/01, 9520, 9780
1402/02/31, 9440, 9720
1402/02/30, 9350, 9850
1402/02/27, 9310, 9720
1402/02/25, 9370, 9760
1402/02/24, 9220, 9590
1402/02/23, 8730, 9220
1402/02/20, 8930, 9640
1402/02/19, 8550, 9490
1402/02/18, 8800, 9270
1402/02/17, 9130, 10400
1402/02/16, 9360, 10210
1402/02/13, 9420, 9790
1402/02/12, 9560, 9980
1402/02/11, 9290, 9580
1402/02/10, 9350, 9580
1402/02/09, 9050, 9400
1402/02/06, 8910, 9090
1402/02/05, 9010, 9380
1402/02/04, 9010, 9220
1402/01/30, 9180, 9450
1402/01/29, 9200, 9610
1402/01/28, 9040, 9340
1402/01/27, 9020, 9390
1402/01/26, 8960, 9230
1402/01/22, 8630, 8930
1402/01/21, 8670, 9290
1402/01/20, 8820, 9070
1402/01/19, 8710, 9220
1402/01/16, 8700, 8990
1402/01/15, 8730, 9130
1402/01/14, 8700, 9070
1402/01/09, 8880, 9120
1402/01/08, 8690, 9170
1402/01/07, 8680, 9110
1402/01/06, 8120, 8790
1402/01/05, 8020, 8380
1401/12/28, 8100, 8400
1401/12/27, 8000, 8200
1401/12/16, 8410, 8820
1401/12/15, 8300, 8520
1401/12/14, 8430, 8850
1401/12/13, 8400, 8840
1401/12/10, 8750, 9160
1401/12/09, 8710, 9250
1401/12/08, 8340, 9000
1401/12/07, 8330, 8590
1401/12/06, 7800, 8040
1401/12/03, 7450, 7640
1401/12/02, 7410, 7700
1401/12/01, 6880, 7240
1401/11/30, 6720, 6890
1401/11/26, 6690, 6830
1401/11/25, 6730, 6920
1401/11/24, 6810, 7000
1401/11/23, 6800, 6940
1401/11/19, 6870, 7090
1401/11/18, 6970, 7120
1401/11/17, 6860, 7030
1401/11/16, 6800, 7050
1401/11/12, 6970, 7190
1401/11/11, 6990, 7240
1401/11/10, 6800, 7150
1401/11/09, 6810, 7270
1401/11/08, 7170, 7420
1401/11/05, 7110, 7500
1401/11/04, 7480, 7680
1401/11/03, 7510, 7880
1401/11/02, 7600, 7980
1401/11/01, 7480, 7980
1401/10/28, 7630, 8080
1401/10/27, 7610, 7920
1401/10/26, 7710, 7860
1401/10/24, 7410, 7790
1401/10/21, 7620, 7810
1401/10/20, 7780, 8060
1401/10/19, 7650, 7910
1401/10/18, 7670, 7950
1401/10/17, 7400, 7640
1401/10/14, 7450, 7600
1401/10/13, 7540, 7870
1401/10/12, 7630, 7840
1401/10/11, 7270, 7780
1401/10/10, 7580, 7810
1401/10/07, 7760, 8200
1401/10/05, 7500, 7760
1401/10/04, 7580, 7790
1401/10/03, 7310, 7680
1401/09/30, 7150, 7280
1401/09/29, 7170, 7300
1401/09/28, 7210, 7420
1401/09/27, 7280, 7530
1401/09/26, 7170, 7330
1401/09/23, 7300, 7580
1401/09/22, 7090, 7440
1401/09/21, 6930, 7170
1401/09/20, 6740, 7120
1401/09/19, 6670, 6850
1401/09/16, 6820, 6980
1401/09/15, 6950, 7030
1401/09/14, 7000, 7110
1401/09/13, 7010, 7120
1401/09/12, 7050, 7150
1401/09/09, 7100, 7250
1401/09/08, 7040, 7180
1401/09/07, 6890, 7110
1401/09/06, 6870, 7030
1401/09/05, 6950, 7070
1401/09/02, 7040, 7150
1401/09/01, 7000, 7140
1401/08/30, 7070, 7230
1401/08/29, 6960, 7190
1401/08/28, 6760, 7060
1401/08/25, 7100, 7240
1401/08/24, 7100, 7310
1401/08/23, 7090, 7340
1401/08/22, 7200, 7500
1401/08/17, 7010, 7470
1401/08/16, 6560, 7150
1401/08/15, 6610, 6800
1401/08/14, 6300, 6670
1401/08/11, 6190, 6280
1401/08/10, 6190, 6320
1401/08/09, 6120, 6290
1401/08/08, 5990, 6200
1401/08/07, 5940, 6120
1401/08/04, 5820, 6030
1401/08/03, 5940, 6170
1401/08/02, 6000, 6230
1401/08/01, 6160, 6300
1401/07/30, 6180, 6400
1401/07/27, 6090, 6190
1401/07/26, 6140, 6270
1401/07/25, 5850, 6140
1401/07/24, 5870, 5980
1401/07/23, 5900, 6040
1401/07/20, 5930, 6060
1401/07/19, 5890, 6080
1401/07/18, 5700, 5900
1401/07/17, 5530, 5750
1401/07/16, 5610, 5770
1401/07/12, 5360, 5500
1401/07/11, 5370, 5470
1401/07/10, 5300, 5450
1401/07/09, 5330, 5610
1401/07/06, 5350, 5690
1401/07/04, 5170, 5400
1401/07/02, 5150, 5440
1401/06/30, 5430, 5540
1401/06/29, 5550, 5650
1401/06/28, 5600, 5710
1401/06/27, 5610, 5750
1401/06/23, 5770, 5900
1401/06/22, 5800, 5890
1401/06/21, 5750, 5870
1401/06/20, 5750, 5900
1401/06/19, 5700, 5870
1401/06/16, 5810, 5860
1401/06/15, 5850, 5900
1401/06/14, 5890, 5990
1401/06/13, 5920, 6000
1401/06/12, 5890, 6080
1401/06/09, 6060, 6140
1401/06/08, 6070, 6160
1401/06/07, 6080, 6170
1401/06/06, 6060, 6180
1401/06/05, 6120, 6320
1401/06/02, 6010, 6200
1401/06/01, 5840, 5980
1401/05/31, 5800, 5970
1401/05/30, 5860, 6110
1401/05/29, 5830, 6090
1401/05/26, 5830, 6060
1401/05/25, 6050, 6230
1401/05/24, 6220, 6370
1401/05/23, 6180, 6460
1401/05/22, 6210, 6410
1401/05/19, 6180, 6350
1401/05/18, 6270, 6380
1401/05/15, 6300, 6430
1401/05/12, 6410, 6500
1401/05/11, 6430, 6500
1401/05/10, 6390, 6540
1401/05/09, 6250, 6510
1401/05/08, 6410, 6660
1401/05/05, 6540, 6640
1401/05/04, 6470, 6620
1401/05/03, 6360, 6570
1401/05/02, 6510, 6740
1401/04/26, 7000, 7100
1401/04/25, 7000, 7160
1401/04/22, 7000, 7180
1401/04/21, 6700, 6930
1401/04/20, 6670, 6930
1401/04/18, 6900, 7000
1401/04/15, 6900, 7000
1401/04/14, 6850, 7170
1401/04/13, 6840, 6940
1401/04/12, 6710, 6970
1401/04/11, 6760, 6900
1401/04/08, 6750, 7080
1401/04/07, 6970, 7180
1401/04/06, 6720, 6950
1401/04/05, 6590, 6830
1401/04/04, 6600, 6870
1401/04/01, 6810, 6940
1401/03/31, 6820, 6980
1401/03/30, 6920, 7100
1401/03/29, 6820, 7100
1401/03/28, 6930, 7200
1401/03/25, 7030, 7200
1401/03/24, 7150, 7360
1401/03/23, 7190, 7480
1401/03/22, 6700, 7170
1401/03/21, 6690, 6870
1401/03/18, 6720, 6850
1401/03/17, 6560, 6880
1401/03/16, 6550, 6910
1401/03/11, 6900, 7040
1401/03/10, 6860, 7180
1401/03/09, 6730, 6970
1401/03/08, 6650, 6920
1401/03/07, 6750, 7060
1401/03/04, 6480, 6850
1401/03/03, 6390, 6550
1401/03/02, 6320, 6640
1401/03/01, 6470, 6680
1401/02/31, 6300, 6780
1401/02/28, 6480, 6820
1401/02/27, 6590, 7150
1401/02/26, 6900, 7160
1401/02/25, 6900, 7330
1401/02/24, 7250, 7580
1401/02/21, 7100, 7340
1401/02/20, 6810, 7170
1401/02/19, 6920, 7250
1401/02/18, 7050, 7390
1401/02/17, 7110, 7210
1401/02/12, 6520, 6900
1401/02/11, 6430, 6640
1401/02/10, 6210, 6590
1401/02/07, 6190, 6410
1401/02/06, 5980, 6290
1401/02/05, 5790, 6050
1401/02/04, 5840, 6080
1401/01/31, 5930, 6180
1401/01/30, 5900, 6060
1401/01/22, 7400, 7560
