date, min_price, max_price
1402/03/03, 11170, 11600
1402/03/02, 11200, 11450
1402/03/01, 11110, 11350
1402/02/31, 11190, 11530
1402/02/30, 11700, 12150
1402/02/27, 11810, 12650
1402/02/25, 11830, 12280
1402/02/24, 11700, 12040
1402/02/23, 11400, 11900
1402/02/20, 11570, 12760
1402/02/19, 11980, 12600
1402/02/18, 12610, 12820
1402/02/17, 13240, 13990
1402/02/16, 13690, 14390
1402/02/13, 13800, 14330
1402/02/12, 13260, 13660
1402/02/11, 12760, 13150
1402/02/10, 12810, 13300
1402/02/09, 12500, 13050
1402/02/06, 11950, 12780
1402/02/05, 12250, 12970
1402/02/04, 12440, 13090
1402/01/30, 12730, 13160
1402/01/29, 12190, 12540
1402/01/28, 11640, 12060
1402/01/27, 11080, 11630
1402/01/26, 10760, 11290
1402/01/22, 10570, 10980
1402/01/21, 10700, 11430
1402/01/20, 10770, 11420
1402/01/19, 10550, 10890
1402/01/16, 9870, 10500
1402/01/15, 9850, 10280
1402/01/14, 9510, 10190
1402/01/09, 9500, 10150
1402/01/08, 9620, 10090
1402/01/07, 9300, 9970
1402/01/06, 9490, 10080
1402/01/05, 9810, 10140
1401/12/28, 9410, 10000
1401/12/27, 9700, 9920
1401/12/24, 9200, 9450
1401/12/23, 8560, 9150
1401/12/22, 8320, 8770
1401/12/21, 8170, 8530
1401/12/20, 8360, 9090
1401/12/16, 8030, 8430
1401/12/15, 7760, 8150
1401/12/14, 7750, 8090
1401/12/13, 7870, 8070
1401/12/10, 7840, 8280
1401/12/09, 7900, 8100
1401/12/08, 7850, 8240
1401/12/07, 7910, 8250
1401/12/06, 7770, 7860
1401/12/03, 7350, 7850
1401/12/02, 7530, 7730
1401/12/01, 7200, 7390
1401/11/30, 6800, 7150
1401/11/26, 6750, 6990
1401/11/25, 6800, 7090
1401/11/24, 6810, 7230
1401/11/23, 6860, 7000
1401/11/19, 6840, 7110
1401/11/18, 6850, 7100
1401/11/17, 6550, 7090
1401/11/16, 6730, 7080
1401/11/12, 7000, 7310
1401/11/11, 7100, 7350
1401/11/10, 6950, 7260
1401/11/09, 7190, 7440
1401/11/08, 7500, 7990
1401/11/05, 7890, 7890
1401/11/04, 8160, 8650
1401/11/03, 8330, 8740
1401/11/02, 8040, 8380
1401/11/01, 7960, 8490
1401/10/28, 8210, 8600
1401/10/27, 8350, 8760
1401/10/26, 8250, 8350
1401/10/24, 7510, 8150
1401/10/21, 7360, 8030
