date, min_price, max_price
1402/02/23, 738300, 755550
1402/02/20, 738500, 740000
1402/02/19, 735700, 743200
1402/02/18, 740000, 750000
1402/02/17, 740000, 751600
1402/02/16, 720450, 758400
1402/02/13, 732400, 770900
1402/02/12, 765900, 773150
1402/02/11, 764500, 779000
1402/02/10, 730000, 769000
1402/02/09, 734350, 734350
1402/02/06, 773000, 773000
1402/02/04, 731500, 760850
1402/01/30, 720000, 730000
1402/01/29, 696100, 696100
1402/01/28, 683800, 683800
1402/01/27, 667000, 680000
1402/01/22, 650700, 680000
1402/01/21, 652100, 720700
1402/01/19, 686350, 686400
1402/01/16, 653750, 653750
1402/01/15, 565000, 623600
1402/01/08, 593950, 593950
1402/01/07, 565400, 565800
1402/01/06, 538900, 538900
1401/12/28, 510000, 514700
1401/12/24, 473400, 492450
1401/12/22, 460000, 471800
1401/12/21, 453650, 481500
1401/12/20, 460000, 489700
1401/12/16, 468000, 468600
1401/12/15, 436800, 446800
1401/12/14, 421300, 460500
1401/12/13, 442900, 450000
1401/12/09, 460000, 484400
1401/12/08, 450000, 478800
1401/12/07, 440000, 469400
1401/12/06, 431000, 462700
1401/12/03, 422000, 455000
1401/12/02, 408750, 451750
1401/12/01, 422100, 447000
1401/11/30, 428800, 452000
1401/11/26, 437800, 483800
1401/11/25, 443950, 475850
1401/11/24, 433200, 453700
1401/11/23, 411600, 452900
1401/11/19, 423700, 449750
1401/11/18, 413150, 456550
1401/11/17, 434450, 434900
1401/11/16, 395500, 414900
1401/11/12, 395100, 395150
1401/11/11, 363000, 381350
1401/11/10, 359000, 363500
1401/11/09, 345100, 369000
1401/11/08, 363100, 372000
1401/11/05, 381000, 421100
1401/11/04, 400000, 402550
1401/11/03, 383350, 383450
1401/11/02, 365000, 365220
1401/11/01, 339713, 348581
1401/10/28, 331980, 331982
1401/10/27, 291987, 322721
1401/10/26, 281735, 311391
1401/10/24, 291000, 297223
1401/10/21, 275000, 283477
1401/10/20, 260501, 270042
1401/04/18, 268488, 268488
1401/02/27, 268488, 268488
1400/10/14, 268488, 268488
1400/09/16, 268488, 268488
1399/10/06, 270100, 270100
1399/10/01, 264700, 264700
1399/09/29, 259600, 259600
1399/09/25, 248700, 248700
1399/09/22, 238100, 238100
1399/07/12, 238000, 238000
1399/06/16, 240000, 240000
1399/06/11, 277000, 277000
1399/05/22, 277376, 277376
1399/05/14, 281600, 281600
1399/05/04, 277500, 277500
1399/04/30, 272520, 272520
1399/04/25, 265100, 265100
1399/04/24, 259200, 259200
1399/04/22, 253100, 253100
1399/04/16, 246000, 246000
1399/04/14, 240000, 240000
1399/04/10, 235450, 235450
1399/04/07, 230608, 230608
1399/04/04, 230608, 230608
1399/04/03, 230608, 230608
1399/04/01, 227200, 227200
1399/03/26, 223400, 223400
1399/03/24, 219500, 219500
1399/03/19, 215400, 215400
1399/03/13, 211200, 211200
1399/02/22, 208110, 208110
1399/02/14, 198200, 198200
1399/02/10, 188800, 188800
1399/02/08, 179900, 179900
1399/02/01, 168900, 168900
1399/01/31, 161800, 161800
1399/01/30, 157000, 157000
1399/01/27, 145400, 145400
1399/01/26, 139900, 139900
1399/01/25, 135870, 135870
1399/01/24, 128302, 128302
1399/01/19, 121000, 121000
1399/01/18, 118600, 118600
1399/01/17, 116800, 116800
1398/12/28, 114500, 114500
1398/12/21, 111800, 111800
1398/12/17, 108737, 109280
1398/12/14, 106605, 106605
1398/11/29, 99900, 103500
1398/11/27, 99900, 99900
1398/11/19, 99900, 99900
1398/11/14, 99200, 99200
1398/11/06, 97802, 97802
1398/11/01, 97802, 97802
1398/10/30, 95900, 95900
1398/10/22, 94100, 94100
1398/10/21, 94100, 94100
1398/10/11, 94100, 94100
1398/09/12, 91250, 91250
1398/09/09, 91300, 91300
1398/08/20, 90939, 90939
1398/08/19, 90487, 90487
1398/08/18, 90038, 90038
1398/08/04, 89590, 89590
1397/08/15, 89590, 89590
1397/08/14, 86610, 86610
1397/08/12, 83280, 83280
1397/08/06, 83000, 83000
1397/07/14, 83000, 83000
1397/07/10, 83000, 83000
1397/07/08, 83000, 83000
1397/07/03, 83001, 83001
1397/06/31, 81974, 81974
1397/06/27, 78000, 78000
1397/06/18, 78900, 78900
1397/06/13, 78936, 78936
1397/06/04, 78012, 78012
1397/06/03, 72965, 72965
1397/05/30, 70863, 70863
1397/05/29, 69056, 69056
1397/05/07, 66407, 66407
1397/04/11, 66514, 66514
1396/12/02, 65370, 65370
1396/11/28, 65370, 65370
1396/11/23, 65368, 65567
1396/06/25, 65567, 65567
1396/06/13, 65354, 65354
1396/05/25, 64800, 65003
1396/05/17, 65348, 65348
1396/05/10, 65128, 65128
1396/05/09, 63987, 63987
1396/04/21, 63567, 63567
1396/04/14, 62738, 62738
1396/04/10, 62439, 62439
1396/04/04, 62439, 62439
1396/03/28, 62263, 62263
1396/03/21, 62074, 62074
1396/03/10, 62109, 62109
1396/03/07, 61783, 61783
1396/03/03, 61979, 61979
1396/03/01, 62177, 62177
1396/02/26, 63455, 63455
1396/02/23, 62896, 63215
1396/02/18, 62095, 62095
1396/02/16, 61587, 61587
1396/02/12, 60987, 60987
1396/02/09, 60657, 60657
1396/02/03, 60357, 60357
1396/01/29, 59516, 59516
1396/01/26, 60124, 60124
1396/01/23, 59476, 59476
1396/01/21, 58697, 58697
1396/01/16, 59090, 59100
1396/01/14, 58589, 58589
1396/01/08, 58497, 58497
1395/12/23, 58347, 58347
1395/12/21, 58260, 58875
1395/12/18, 58241, 58270
1395/12/16, 58314, 58314
1395/12/14, 58223, 58223
1395/12/11, 58113, 58113
1395/12/10, 58149, 58149
1395/12/09, 58149, 58149
1395/12/07, 57986, 57987
1395/12/04, 57679, 57679
1395/12/03, 56979, 56979
1395/12/02, 56179, 56179
1395/12/01, 56135, 56135
1395/11/27, 55959, 55959
1395/11/25, 55937, 55937
1395/11/24, 55583, 55583
1395/11/23, 55691, 55691
1395/11/20, 55651, 55651
1395/11/19, 54879, 54879
1395/11/18, 53789, 53789
1395/11/17, 53495, 53574
1395/11/16, 52874, 53234
1395/11/13, 52773, 52773
1395/11/12, 52253, 52253
1395/11/11, 51040, 51042
1395/11/10, 49983, 51953
1395/11/06, 46415, 48714
1395/11/05, 46183, 46183
1395/11/04, 45717, 45717
1395/11/03, 45081, 45081
1395/11/02, 44815, 44815
1395/10/29, 41955, 45000
1395/10/28, 38237, 38998
1395/10/27, 36382, 37800
1395/10/26, 34280, 34280
1395/10/25, 31750, 32500
1395/10/22, 30350, 31100
1395/10/20, 30350, 30350
1395/10/19, 30250, 30250
1395/10/18, 30250, 30250
1395/10/15, 30200, 30200
1395/10/14, 30170, 30170
1395/10/13, 30156, 30156
1395/10/11, 30150, 30150
1395/10/06, 30000, 30000
