date, min_price, max_price
1402/03/03, 8380, 8890
1402/03/02, 7850, 8510
1402/03/01, 7860, 8180
1402/02/31, 7720, 8170
1402/02/30, 7890, 8360
1402/02/27, 7640, 8300
1402/02/25, 7580, 8380
1402/02/24, 7350, 8000
1402/02/23, 7430, 8100
1402/02/20, 7520, 8160
1402/02/19, 7430, 8000
1402/02/18, 7980, 8000
1402/02/17, 8500, 9390
1402/02/16, 8500, 9290
1402/02/13, 8500, 8930
1402/02/12, 8500, 9080
1402/02/11, 8650, 9120
1402/02/10, 8770, 9260
1402/02/09, 8220, 8730
1402/02/06, 7840, 8370
1402/02/05, 8010, 8470
1402/02/04, 7980, 8440
1402/01/30, 7960, 8330
1402/01/29, 8100, 8950
1402/01/28, 8060, 8500
1402/01/27, 7570, 8090
1402/01/26, 7230, 7730
1402/01/22, 7230, 7230
1402/01/16, 6340, 6880
1402/01/15, 6250, 6620
1402/01/14, 6260, 6700
1402/01/09, 6470, 6470
1402/01/08, 6050, 6050
1402/01/07, 5660, 5660
1401/12/22, 5650, 6000
1401/12/21, 5660, 6030
1401/12/20, 5950, 6270
1401/12/16, 6070, 6270
1401/12/15, 5730, 6210
1401/12/14, 5720, 6190
1401/12/13, 5860, 6000
1401/12/10, 5950, 6260
1401/12/09, 6160, 6390
1401/12/08, 5990, 6310
1401/12/07, 5990, 6550
1401/12/06, 5910, 6240
1401/12/03, 5660, 5970
1401/12/02, 5690, 6180
1401/12/01, 5670, 6000
1401/11/30, 5540, 5790
1401/11/26, 5470, 5690
1401/11/25, 5470, 5710
1401/11/24, 5520, 5840
1401/11/23, 5510, 5900
1401/11/19, 5740, 5840
1401/11/18, 5390, 5710
1401/11/17, 5300, 5560
1401/11/16, 5220, 5800
1401/11/12, 5450, 5690
1401/11/11, 5440, 6000
1401/11/10, 5290, 6060
1401/11/09, 5680, 6000
1401/11/08, 6070, 6570
1401/11/05, 6250, 6750
1401/11/04, 6190, 6390
1401/11/03, 5650, 5980
1401/11/02, 5440, 5850
1401/11/01, 5570, 5990
1401/10/28, 5800, 5920
1401/10/27, 5630, 5630
1401/10/26, 5520, 5520
1401/09/30, 5020, 5230
1401/09/29, 5070, 5200
1401/09/28, 5100, 5300
1401/09/27, 5050, 5300
1401/09/26, 5030, 5250
1401/09/23, 5140, 5410
1401/09/22, 4900, 5243
1401/09/21, 4670, 4928
1401/09/20, 4423, 4645
1401/09/19, 4505, 4641
1401/09/16, 4578, 4826
1401/09/15, 4530, 4744
1401/09/14, 4608, 4805
1401/09/13, 4650, 4818
1401/09/12, 4651, 4780
1401/09/09, 4617, 4778
1401/09/08, 4520, 4640
1401/09/07, 4491, 4606
1401/09/06, 4500, 4601
1401/09/05, 4400, 4598
1401/09/02, 4490, 4650
1401/09/01, 4454, 4670
1401/08/30, 4460, 4688
1401/08/29, 4356, 4528
1401/08/28, 4351, 4640
1401/08/25, 4376, 4642
1401/08/24, 4374, 4574
1401/08/23, 4353, 4534
1401/08/22, 4383, 4537
1401/08/21, 4405, 4644
1401/08/18, 4480, 4669
1401/08/17, 4390, 4635
1401/08/16, 4101, 4369
1401/08/15, 4050, 4147
1401/08/14, 3950, 4236
1401/08/11, 3910, 4120
1401/08/10, 4071, 4169
1401/08/09, 3948, 4193
1401/08/08, 3901, 4099
1401/08/07, 3961, 4220
1401/08/04, 3971, 4186
1401/08/03, 4060, 4150
1401/08/02, 4110, 4250
1401/08/01, 4130, 4272
1401/07/30, 4251, 4417
1401/07/27, 4257, 4520
1401/07/26, 4320, 4557
1401/07/25, 4201, 4600
1401/07/24, 4271, 4530
1401/07/23, 4433, 4796
1401/07/20, 4260, 4714
1401/07/19, 4267, 4395
1401/07/18, 4151, 4390
1401/07/17, 4240, 4370
1401/07/16, 4251, 4439
1401/07/12, 4260, 4437
1401/07/11, 4313, 4474
1401/07/10, 4284, 4510
1401/07/09, 4341, 4589
1401/07/06, 4451, 4600
1401/07/04, 4300, 4590
1401/07/02, 4369, 4500
1401/06/30, 4455, 4629
1401/06/29, 4520, 4640
1401/06/28, 4402, 4697
1401/06/27, 4500, 4692
1401/06/23, 4521, 4889
1401/06/22, 4460, 4685
1401/06/21, 4532, 4675
1401/06/20, 4447, 4680
1401/06/19, 4625, 4846
1401/06/16, 4863, 5090
1401/06/15, 4669, 4846
1401/06/14, 4420, 4700
1401/06/13, 4365, 4569
1401/06/12, 4361, 4600
1401/06/09, 4380, 4538
1401/06/08, 4363, 4560
1401/06/07, 4300, 4657
1401/06/06, 4369, 4570
1401/06/05, 4400, 4689
1401/06/02, 4301, 4527
1401/06/01, 4160, 4410
1401/05/31, 4082, 4240
1401/05/30, 4112, 4270
1401/05/29, 4110, 4284
1401/05/26, 4251, 4380
1401/05/25, 4250, 4389
1401/05/24, 4250, 4480
1401/05/23, 4261, 4517
1401/05/22, 4212, 4450
1401/05/19, 4224, 4427
1401/05/18, 4288, 4458
1401/05/15, 4307, 4527
1401/05/12, 4407, 4547
1401/05/11, 4211, 4588
1401/05/10, 4271, 4481
1401/05/09, 4240, 4539
1401/05/08, 4303, 4690
1401/05/05, 4313, 4495
1401/05/04, 4300, 4670
1401/05/03, 4325, 4504
1401/05/02, 4500, 4557
1401/05/01, 4500, 4771
1401/04/29, 4501, 4689
1401/04/28, 4515, 4850
1401/04/26, 4634, 4780
1401/04/25, 4711, 4900
1401/04/22, 4710, 4960
1401/04/21, 4690, 4871
1401/04/20, 4690, 5100
1401/04/18, 4811, 5090
1401/04/15, 4920, 5090
