date, min_price, max_price
1402/02/31, 18600, 19190
1402/02/30, 18760, 20000
1402/02/27, 18560, 19480
1402/02/25, 17870, 18620
1402/02/24, 17420, 17750
1402/02/23, 16770, 17420
1402/02/20, 17000, 18690
1402/02/19, 17050, 18630
1402/02/18, 17800, 18130
1402/02/17, 18690, 19830
1402/02/16, 19350, 19980
1402/02/13, 19400, 20100
1402/02/12, 19100, 19920
1402/02/11, 19170, 20200
1402/02/10, 19700, 20490
1402/02/09, 20050, 20350
1402/02/06, 18550, 19590
1402/02/05, 18300, 18670
1402/02/04, 17230, 18250
1402/01/30, 17540, 18200
1402/01/29, 17710, 18520
1402/01/28, 17430, 18350
1402/01/27, 17760, 18840
1402/01/26, 17650, 18150
1402/01/22, 16600, 17630
1402/01/21, 16720, 17600
1402/01/20, 17060, 17680
1402/01/19, 16840, 16840
1402/01/16, 15700, 16100
1402/01/15, 15300, 15340
1402/01/14, 13620, 14960
1402/01/09, 14010, 14550
1402/01/08, 13970, 14400
1402/01/07, 13550, 14090
1402/01/06, 13840, 14550
1402/01/05, 14070, 14860
1401/12/28, 14390, 14960
1401/12/27, 13700, 14260
1401/12/24, 12870, 13610
1401/12/23, 12910, 13100
1401/12/22, 12840, 13370
1401/12/21, 12920, 13110
1401/12/20, 13350, 14000
1401/12/16, 13330, 13990
1401/12/15, 12940, 13600
1401/12/14, 13310, 13700
1401/12/13, 13100, 13500
1401/12/10, 13150, 14140
1401/12/09, 13050, 13780
1401/12/08, 12620, 13580
1401/12/07, 12850, 13310
1401/12/06, 12680, 12680
1401/12/03, 11800, 12180
1401/12/02, 11600, 11600
1401/12/01, 10600, 11080
1401/11/30, 10160, 10740
1401/11/26, 10210, 10620
1401/11/25, 10590, 10680
1401/11/24, 10580, 10800
1401/11/23, 10560, 10890
1401/11/19, 10810, 11090
1401/11/18, 10760, 11050
1401/11/17, 10610, 10950
1401/11/16, 10760, 11300
1401/11/12, 10940, 11390
1401/11/11, 11030, 11400
1401/11/10, 10680, 11370
1401/11/09, 11040, 11530
1401/11/08, 11530, 11780
1401/11/05, 11550, 12000
1401/11/04, 11840, 12090
1401/11/03, 11860, 12480
1401/11/02, 11840, 12220
1401/11/01, 12030, 12390
1401/10/28, 12400, 12810
1401/10/27, 12350, 12880
1401/10/26, 12120, 12640
1401/10/24, 11530, 12250
1401/10/21, 11830, 12350
1401/10/20, 11990, 12650
1401/10/19, 11730, 12300
1401/10/18, 11320, 11730
1401/10/17, 10890, 11310
1401/10/14, 10820, 11160
1401/10/13, 10920, 11190
1401/10/12, 10860, 11190
1401/10/11, 10450, 11260
1401/10/10, 10880, 11240
1401/10/07, 11080, 11470
1401/10/05, 10740, 11100
1401/10/04, 10760, 11170
1401/10/03, 10400, 10850
1401/09/30, 10290, 10400
1401/09/29, 10160, 10610
1401/09/28, 10300, 10600
1401/09/27, 10200, 10650
1401/09/26, 10120, 10340
1401/09/23, 10110, 10490
1401/09/22, 9630, 10060
1401/09/21, 9440, 9780
1401/09/20, 9350, 9470
1401/09/19, 9150, 9430
1401/09/16, 9260, 9490
1401/09/15, 9440, 9520
1401/09/14, 9400, 9550
1401/09/13, 9380, 9470
1401/09/12, 9370, 9560
1401/09/09, 9350, 9590
1401/09/08, 9360, 9600
1401/09/07, 9360, 9550
1401/09/06, 9300, 9520
1401/09/05, 9330, 9560
1401/09/02, 9430, 9580
1401/09/01, 9400, 9520
1401/08/30, 9500, 9700
1401/08/29, 9320, 9780
1401/08/28, 9300, 9600
1401/08/25, 9580, 9780
1401/08/24, 9380, 9800
1401/08/23, 9220, 9620
1401/08/22, 9450, 9720
1401/08/21, 9520, 9870
1401/08/18, 9250, 9860
1401/08/17, 9300, 9890
1401/08/16, 9160, 9490
1401/08/15, 8800, 9070
1401/08/14, 8480, 8730
1401/08/11, 8270, 8540
1401/08/10, 8110, 8450
1401/08/09, 8070, 8260
1401/08/08, 7820, 8210
1401/08/07, 7690, 8230
1401/08/04, 7920, 8260
1401/08/03, 8150, 8450
1401/08/02, 8290, 8580
1401/08/01, 8450, 8610
1401/07/30, 8580, 8840
1401/07/27, 8600, 8730
1401/07/26, 8600, 8750
1401/07/25, 8500, 8700
1401/07/24, 8490, 8880
1401/07/23, 8730, 8960
1401/07/20, 8720, 8960
1401/07/19, 8490, 8900
1401/07/18, 8420, 8590
1401/07/17, 8360, 8620
1401/07/16, 8400, 8650
1401/07/12, 8400, 8560
1401/07/11, 8420, 8600
1401/07/10, 8380, 8610
1401/07/09, 8400, 8990
1401/07/06, 8720, 9060
1401/07/04, 8360, 8900
1401/07/02, 8470, 8920
1401/06/30, 8800, 8950
1401/06/29, 8820, 9060
1401/06/28, 8910, 9160
1401/06/27, 8950, 9240
1401/06/23, 9200, 9360
1401/06/22, 9260, 9450
1401/06/21, 9210, 9470
1401/06/20, 9260, 9500
1401/06/19, 9250, 9570
1401/06/16, 9420, 9570
1401/06/15, 9500, 9760
1401/06/14, 9600, 9780
1401/06/13, 9530, 9830
1401/06/12, 9540, 9790
1401/06/09, 9670, 9840
1401/06/08, 9700, 9880
1401/06/07, 9690, 9920
1401/06/06, 9700, 9980
1401/06/05, 9750, 10040
1401/06/02, 9620, 9990
1401/06/01, 9490, 9690
1401/05/31, 9440, 9600
1401/05/30, 9460, 9650
1401/05/29, 9500, 9700
1401/05/26, 9520, 9770
1401/05/25, 9550, 9830
1401/05/24, 9700, 9870
1401/05/23, 9660, 10040
1401/05/22, 9500, 10080
