date, min_price, max_price
1402/03/03, 12174, 12198
1402/03/02, 12167, 12179
1402/03/01, 12161, 12246
1402/02/31, 12152, 12320
1402/02/30, 12140, 12220
1402/02/27, 12000, 12200
1402/02/25, 11804, 12124
1402/02/24, 12100, 12498
1402/02/23, 12040, 12220
1402/02/20, 11501, 13097
1402/02/19, 11405, 12080
1402/02/18, 11381, 12100
1402/02/17, 11135, 12200
1402/02/16, 10800, 11199
1402/02/13, 10800, 10865
1402/02/12, 10781, 10872
1402/02/11, 10723, 10840
1402/02/10, 10810, 10900
1402/02/09, 10795, 10805
1402/02/06, 10652, 10780
1402/02/05, 10713, 10760
1402/02/04, 10738, 10769
1402/01/30, 10726, 10790
1402/01/29, 10700, 10810
1402/01/28, 10700, 10720
1402/01/27, 10643, 10700
1402/01/26, 10562, 10694
1402/01/22, 10557, 10599
1402/01/21, 10571, 10600
1402/01/20, 10560, 10600
1402/01/19, 10582, 10624
1402/01/16, 10600, 10649
1402/01/15, 10500, 10629
1402/01/14, 10507, 10596
1402/01/09, 10451, 10529
1402/01/08, 10450, 10499
1402/01/07, 10451, 10478
1402/01/05, 10403, 10501
1401/12/28, 10342, 10454
1401/12/27, 10383, 10417
1401/12/24, 10428, 10500
1401/12/23, 10425, 10475
1401/12/22, 10462, 10472
1401/12/21, 10312, 10472
1401/12/20, 10252, 10402
1401/12/16, 10200, 10710
1401/12/15, 10419, 10429
1401/12/14, 10412, 10415
1401/12/13, 10400, 10415
1401/12/10, 10100, 10390
1401/12/09, 10370, 10399
1401/12/08, 10351, 10399
1401/12/07, 10350, 10423
1401/12/06, 10373, 10450
1401/12/03, 10354, 10810
1401/12/02, 10301, 11300
1401/12/01, 10250, 11300
1401/11/30, 10210, 10320
1401/11/26, 10254, 10290
1401/11/25, 10200, 10278
1401/11/24, 10145, 10280
1401/11/23, 10053, 10209
1401/11/19, 10050, 10170
1401/11/18, 10040, 10161
1401/11/17, 10130, 10192
1401/11/16, 10101, 10196
1401/11/12, 10060, 10204
1401/11/11, 10144, 10176
1401/11/10, 10146, 10200
1401/11/09, 10159, 11155
1401/11/08, 10151, 10170
1401/11/05, 10122, 10155
1401/11/04, 10096, 10145
1401/11/03, 10106, 10146
1401/11/02, 10099, 10126
1401/11/01, 10092, 10133
1401/10/28, 10063, 10112
1401/10/27, 10029, 10109
1401/10/26, 10020, 10079
1401/10/24, 10014, 10058
1401/10/21, 10011, 10045
1401/10/20, 10020, 10060
1401/10/19, 10039, 10074
1401/10/18, 10020, 10100
1401/10/17, 10004, 10040
1401/10/14, 9993, 10020
1401/10/13, 10000, 10030
1401/10/12, 9985, 10013
1401/10/11, 9999, 10006
1401/10/10, 10140, 10168
1401/10/07, 10128, 10177
1401/10/05, 10100, 10160
1401/10/04, 10100, 10131
1401/10/03, 10101, 10125
1401/09/30, 10094, 10105
1401/09/29, 10082, 10098
1401/09/28, 10074, 10085
1401/09/27, 10010, 10097
1401/09/26, 10056, 10094
1401/09/23, 10047, 10095
1401/09/22, 10025, 10054
1401/09/21, 10010, 10031
1401/09/20, 10007, 10030
1401/09/19, 9997, 10037
1401/09/16, 9995, 10005
1401/09/15, 9989, 10000
1401/09/14, 9985, 10000
1401/09/13, 9982, 10037
1401/09/12, 9992, 10005
1401/09/09, 10158, 10187
1401/09/08, 10150, 10179
1401/09/07, 10134, 10172
1401/09/06, 10110, 10167
1401/09/05, 10120, 10153
1401/09/02, 10098, 10124
1401/09/01, 10108, 10126
1401/08/30, 10093, 10110
1401/08/29, 10096, 10120
1401/08/28, 10084, 10132
1401/08/25, 10082, 10128
1401/08/24, 10080, 10110
1401/08/23, 10080, 10100
1401/08/22, 10066, 10129
1401/08/21, 10048, 10070
1401/08/18, 10044, 10088
1401/08/17, 10041, 10069
1401/08/16, 10031, 10058
1401/08/15, 10022, 10033
1401/08/14, 10020, 10049
1401/08/11, 9991, 10035
1401/08/10, 10102, 10187
1401/08/09, 10030, 10107
1401/08/08, 10019, 10090
1401/08/07, 10017, 10109
1401/08/04, 10033, 10105
1401/08/03, 10079, 10150
1401/08/02, 10100, 10122
1401/08/01, 10090, 10127
1401/07/30, 10100, 10126
1401/07/27, 10088, 10100
1401/07/26, 10071, 10101
1401/07/25, 10086, 10088
1401/07/24, 10073, 10089
1401/07/23, 10067, 10120
1401/07/20, 10052, 10053
1401/07/19, 10046, 10047
1401/07/18, 10041, 10042
1401/07/17, 10036, 10037
1401/07/16, 10031, 10033
1401/07/12, 10009, 10012
1401/07/11, 10005, 10007
1401/07/10, 10160, 10180
1401/07/09, 10150, 10170
1401/07/06, 10140, 10170
1401/07/04, 10130, 10132
1401/07/02, 10065, 10150
1401/06/30, 10104, 10105
1401/06/29, 10100, 10100
1401/06/28, 10093, 10107
1401/06/27, 10088, 10137
1401/06/23, 10067, 10075
1401/06/22, 10062, 10064
1401/06/21, 10057, 10058
1401/06/20, 10052, 10055
1401/06/19, 10044, 10051
1401/06/16, 10027, 10032
1401/06/15, 10026, 10027
1401/06/14, 10020, 10021
1401/06/13, 10015, 10017
