date, min_price, max_price
1402/03/02, 173670, 174900
1402/03/01, 173880, 175900
1402/02/31, 172850, 175480
1402/02/30, 174390, 175500
1402/02/27, 173400, 175000
1402/02/25, 174020, 174790
1402/02/24, 171880, 173060
1402/02/23, 171850, 172990
1402/02/20, 174530, 178000
1402/02/19, 171370, 174800
1402/02/18, 175790, 179280
1402/02/17, 183470, 184950
1402/02/16, 181540, 184600
1402/02/13, 182000, 183460
1402/02/12, 180460, 182960
1402/02/11, 180070, 183500
1402/02/10, 178210, 181490
1402/02/09, 174030, 177420
1402/02/06, 172690, 176130
1402/02/05, 172460, 174990
1402/02/04, 171510, 172770
1402/01/30, 171840, 175040
1402/01/29, 171060, 173900
1402/01/28, 170290, 171000
1402/01/27, 170080, 173350
1402/01/26, 167240, 175000
1402/01/22, 165890, 169180
1402/01/21, 168250, 171500
1402/01/20, 167690, 171000
1402/01/19, 166990, 169000
1402/01/16, 164120, 165120
1402/01/15, 165050, 168480
1402/01/14, 165100, 167550
1402/01/09, 163030, 166000
1402/01/08, 162900, 166130
1402/01/07, 160190, 162000
1402/01/06, 160800, 163000
1402/01/05, 158610, 161400
1401/12/28, 155320, 158300
1401/12/27, 150210, 152200
1401/12/24, 148900, 149750
1401/12/23, 147390, 148090
1401/12/22, 147240, 147770
1401/12/21, 147940, 149070
1401/12/20, 148870, 150000
1401/12/16, 146500, 161500
1401/12/15, 147620, 149500
1401/12/14, 148460, 149090
1401/12/13, 147460, 150000
1401/12/10, 149020, 149800
1401/12/09, 148100, 149690
1401/12/08, 147510, 150290
1401/12/07, 144800, 161000
1401/12/06, 143580, 156800
1401/12/03, 141010, 143690
1401/12/02, 138740, 141450
1401/12/01, 136870, 138540
1401/11/30, 135040, 136700
1401/11/26, 134850, 136000
1401/11/25, 135210, 136900
1401/11/24, 135260, 136950
1401/11/23, 135350, 136920
1401/11/19, 135600, 136940
1401/11/18, 134420, 136940
1401/11/17, 133830, 133860
1401/11/16, 134600, 136840
1401/11/12, 134550, 136990
1401/11/11, 134470, 136990
1401/11/10, 134300, 136920
1401/11/09, 135560, 138210
1401/11/08, 136050, 138770
1401/11/05, 137000, 138800
1401/11/04, 137350, 139390
1401/11/03, 137550, 139320
1401/11/02, 136790, 138500
1401/11/01, 138230, 139950
1401/10/28, 137750, 138970
