date, min_price, max_price
1402/03/03, 85800, 87100
1402/03/02, 85500, 86500
1402/03/01, 84660, 86390
1402/02/31, 83900, 85000
1402/02/30, 83910, 86490
1402/02/27, 82000, 84800
1402/02/25, 81000, 84400
1402/02/24, 81060, 87000
1402/02/23, 79100, 86740
1402/02/20, 81600, 87700
1402/02/19, 85860, 91630
1402/02/18, 84900, 90000
1402/02/17, 90300, 98940
1402/02/16, 91670, 99000
1402/02/13, 90320, 92000
1402/02/12, 89000, 90350
1402/02/11, 87120, 88710
1402/02/10, 86150, 87600
1402/02/09, 83940, 86300
1402/02/06, 83000, 85690
1402/02/05, 85000, 86600
1402/02/04, 83000, 84500
1402/01/30, 82200, 84200
1402/01/29, 83000, 84200
1402/01/28, 80010, 81800
1402/01/27, 78500, 80850
1402/01/26, 76000, 78400
1402/01/22, 74600, 76400
1402/01/21, 74200, 78500
1402/01/20, 70910, 76600
1402/01/19, 71300, 74600
1402/01/16, 70000, 71390
1402/01/15, 70450, 72700
1402/01/14, 68560, 73590
1402/01/09, 69800, 71000
1402/01/08, 68700, 70500
1402/01/07, 66800, 68600
1402/01/06, 66200, 67850
1402/01/05, 66200, 67400
1401/12/28, 64000, 66780
1401/12/27, 62300, 63280
1401/12/24, 58650, 60000
1401/12/23, 58900, 59060
1401/12/22, 58800, 59210
1401/12/21, 59000, 59500
1401/12/20, 59450, 60500
1401/12/16, 59300, 60000
1401/12/15, 58400, 60390
1401/12/14, 58700, 59490
1401/12/13, 58650, 59490
1401/12/10, 59400, 61500
1401/12/09, 59400, 60300
1401/12/08, 58800, 59800
1401/12/07, 57980, 59700
1401/12/06, 54000, 57950
1401/12/03, 53200, 53400
1401/12/02, 52700, 54500
1401/12/01, 50800, 53200
1401/11/30, 50500, 51000
1401/11/26, 50400, 50500
1401/11/25, 50500, 50750
1401/11/24, 50750, 50800
1401/11/23, 50700, 51000
1401/11/19, 50990, 52740
1401/11/18, 50700, 52740
1401/11/17, 49400, 50000
1401/11/16, 49800, 50040
1401/11/12, 49500, 51160
1401/11/11, 49100, 49300
1401/11/10, 48820, 49100
1401/11/09, 49200, 51010
1401/11/08, 51010, 51200
1401/11/05, 50000, 54500
1401/11/04, 51500, 53470
1401/11/03, 52500, 54000
1401/11/02, 52500, 53300
1401/11/01, 53550, 53550
1401/10/28, 53610, 54200
1401/10/27, 53800, 54010
1401/10/26, 50100, 54000
1401/10/24, 52000, 53500
1401/10/21, 53000, 53890
1401/10/20, 49550, 55000
1401/10/19, 51800, 54000
1401/10/18, 52000, 54500
1401/10/17, 50000, 51500
1401/10/14, 50000, 50000
1401/10/13, 50600, 50600
1401/10/12, 48500, 50700
1401/10/11, 50000, 50070
1401/10/10, 50000, 52500
1401/10/07, 50500, 53000
1401/10/05, 49800, 50500
1401/10/04, 49600, 49800
1401/10/03, 48600, 49900
1401/09/30, 48200, 48200
1401/09/29, 48000, 48000
1401/09/28, 48500, 48600
1401/09/27, 47900, 48700
1401/09/26, 47300, 47600
1401/09/23, 47000, 47600
1401/09/22, 46800, 47000
1401/09/21, 45000, 45600
1401/09/20, 44600, 44800
1401/09/19, 44600, 45000
1401/09/16, 45200, 45500
1401/09/15, 45200, 45200
1401/09/14, 45500, 45710
1401/09/13, 45890, 45890
1401/09/12, 45900, 45900
1401/09/09, 46300, 47220
1401/09/08, 45800, 45900
1401/09/07, 45800, 45900
1401/09/06, 45700, 45700
1401/09/05, 45900, 46000
1401/09/02, 45900, 45900
1401/09/01, 45800, 45800
1401/08/30, 45900, 46010
1401/08/29, 45400, 45900
1401/08/25, 45800, 46300
1401/08/24, 45700, 46150
1401/08/23, 45700, 45800
1401/08/22, 46400, 46400
1401/08/21, 46300, 47100
1401/08/18, 45500, 47070
1401/08/17, 45800, 46000
1401/08/16, 44000, 45500
1401/08/15, 44290, 44640
1401/08/14, 42000, 43500
1401/08/11, 41800, 41900
1401/08/10, 41900, 41900
1401/08/09, 41500, 41700
1401/08/08, 40800, 41000
1401/08/07, 40600, 40900
1401/08/04, 40500, 41200
1401/08/03, 41500, 41900
1401/08/02, 41800, 42700
1401/08/01, 42600, 42710
1401/07/30, 42700, 42810
1401/07/27, 42900, 43000
1401/07/26, 42900, 43000
1401/07/25, 42800, 42800
1401/07/24, 42900, 43000
1401/07/23, 43200, 43200
1401/07/20, 43440, 43440
1401/07/19, 42900, 43600
1401/07/18, 42600, 42600
1401/07/17, 42600, 42800
1401/07/16, 43000, 43990
1401/07/12, 42700, 43000
1401/07/11, 42800, 43000
1401/07/10, 42800, 42900
1401/07/09, 43000, 44190
1401/07/06, 43900, 44210
1401/07/04, 43300, 43500
1401/07/02, 43500, 44500
1401/06/30, 44200, 44400
1401/06/29, 44500, 44510
1401/06/28, 44800, 44900
1401/06/27, 44900, 45700
1401/06/23, 45400, 45910
1401/06/22, 45500, 45950
1401/06/21, 45350, 45650
1401/06/20, 45500, 46300
1401/06/19, 45600, 45810
1401/06/16, 46250, 46600
1401/06/15, 46300, 46400
1401/06/14, 46600, 46900
1401/06/13, 46700, 46750
1401/06/12, 46300, 46900
1401/06/09, 46800, 46900
1401/06/08, 46800, 47150
1401/06/07, 46900, 47230
1401/06/06, 46850, 47430
1401/06/05, 47200, 47700
1401/06/02, 47010, 47309
