date, min_price, max_price
1402/03/03, 79180, 80499
1402/03/02, 79910, 81900
1402/03/01, 80700, 83800
1402/02/31, 79500, 80990
1402/02/30, 74637, 78280
1402/02/27, 75136, 76500
1402/02/25, 77325, 79500
1402/02/24, 79209, 81999
1402/02/23, 78999, 81010
1402/02/20, 83120, 84990
1402/02/19, 85877, 89400
1402/02/18, 83240, 87800
1402/02/17, 83120, 86990
1402/02/16, 88861, 92510
1402/02/13, 87000, 93500
1402/02/12, 89910, 96666
1402/02/11, 95340, 99500
1402/02/10, 88700, 94499
1402/02/09, 84650, 87848
1402/02/06, 77490, 81300
1402/02/05, 77000, 77400
1402/02/04, 77239, 78000
1402/01/30, 77350, 78000
1402/01/29, 76870, 77900
1402/01/28, 77200, 77800
1402/01/27, 75198, 76190
1402/01/26, 75799, 77399
1402/01/22, 76616, 78004
1402/01/21, 74400, 75600
1402/01/20, 76965, 78399
1402/01/19, 77000, 79300
1402/01/16, 77550, 79348
1402/01/15, 75211, 76300
1402/01/14, 78150, 82000
1402/01/09, 80100, 81200
1402/01/08, 77300, 78298
1402/01/07, 76000, 77500
1402/01/06, 74620, 79200
1402/01/05, 78641, 81000
1401/12/28, 74000, 75500
1401/12/27, 71500, 74000
1401/12/24, 67100, 69870
1401/12/23, 65693, 68515
1401/12/22, 62800, 64990
1401/12/21, 59798, 63900
1401/12/20, 58808, 60880
1401/12/16, 64619, 66100
1401/12/15, 67200, 69000
1401/12/14, 70300, 73300
1401/12/13, 72000, 76500
1401/12/10, 70000, 73790
1401/12/09, 75560, 78100
1401/12/08, 75431, 80480
1401/12/07, 78500, 87000
1401/12/06, 80005, 80965
1401/12/03, 72850, 74000
1401/12/02, 69580, 72190
1401/12/01, 71900, 79000
1401/11/30, 73600, 75603
1401/11/26, 67600, 69500
1401/11/25, 64999, 66489
1401/11/24, 63820, 65100
1401/11/23, 63100, 66025
1401/11/19, 61161, 61600
1401/11/18, 60980, 61700
1401/11/17, 61235, 62200
1401/11/16, 59470, 61000
1401/11/12, 63338, 64690
1401/11/11, 62511, 65056
1401/11/10, 65801, 69149
1401/11/09, 65199, 69490
1401/11/08, 63600, 65000
1401/11/05, 56001, 63100
1401/11/04, 58600, 62500
1401/11/03, 63064, 70480
1401/11/02, 69450, 70493
1401/11/01, 62350, 65481
1401/10/28, 58500, 59999
1401/10/27, 54510, 57000
1401/10/26, 53450, 54499
1401/10/24, 52200, 53200
1401/10/21, 51250, 51950
1401/10/20, 51151, 51689
1401/10/19, 51000, 51900
1401/10/18, 51010, 52350
1401/10/17, 49200, 50450
1401/10/14, 48000, 48960
1401/10/13, 47811, 49500
1401/10/12, 48870, 49799
1401/10/11, 46511, 48800
1401/10/10, 47844, 48910
1401/10/07, 51700, 53800
1401/10/05, 49250, 50589
1401/10/04, 48002, 49000
1401/10/03, 47120, 48300
1401/09/30, 45600, 46105
1401/09/29, 45402, 46750
1401/09/28, 45450, 46420
1401/09/27, 45700, 47010
1401/09/26, 46261, 47100
1401/09/23, 45510, 47520
1401/09/22, 45571, 47800
1401/09/21, 45650, 47229
1401/09/20, 44500, 45499
1401/09/19, 44100, 44500
1401/09/16, 42850, 43450
1401/09/15, 43250, 44190
1401/09/14, 43710, 44200
1401/09/13, 42850, 43500
1401/09/12, 42521, 42795
1401/09/09, 42199, 42470
1401/09/08, 41900, 42359
1401/09/07, 42330, 43100
1401/09/06, 42220, 42628
1401/09/05, 41411, 42200
1401/09/02, 41091, 41590
1401/09/01, 41091, 41337
1401/08/30, 40600, 41140
1401/08/29, 40610, 41055
1401/08/28, 39999, 40619
1401/08/25, 40353, 40626
1401/08/24, 40410, 40865
1401/08/23, 39700, 40300
1401/08/22, 38902, 39725
1401/08/21, 39051, 39400
1401/08/18, 39000, 39891
1401/08/17, 38900, 40190
1401/08/16, 39810, 40390
1401/08/15, 39400, 40210
1401/08/14, 40122, 41100
1401/08/11, 39650, 40238
1401/08/10, 38302, 39200
1401/08/09, 37702, 38200
1401/08/08, 37500, 37690
1401/08/07, 37402, 37795
1401/08/04, 37167, 37550
1401/08/03, 37070, 37260
1401/08/02, 36901, 37199
1401/08/01, 37060, 37410
1401/07/30, 37190, 37480
1401/07/27, 37154, 37450
1401/07/26, 37165, 37579
1401/07/25, 37505, 37980
1401/07/24, 37490, 37940
1401/07/23, 37200, 37540
1401/07/20, 37456, 37750
1401/07/19, 37420, 37579
1401/07/18, 36800, 37190
1401/07/17, 36610, 37330
1401/07/16, 36800, 37500
1401/07/12, 37800, 38400
1401/07/11, 37919, 38349
1401/07/10, 37586, 38140
1401/07/09, 36910, 37800
