date, min_price, max_price
1402/03/03, 53020, 54150
1402/03/02, 50600, 52160
1402/03/01, 50060, 51140
1402/02/31, 50010, 51480
1402/02/30, 49000, 51350
1402/02/25, 49800, 50950
1402/02/24, 50000, 51850
1402/02/23, 46010, 50840
1402/02/20, 47350, 51900
1402/02/19, 48240, 52090
1402/02/18, 48720, 52740
1402/02/17, 49660, 52230
1402/02/16, 49730, 52900
1402/02/13, 51000, 53450
1402/02/12, 52580, 55490
1402/02/11, 53160, 54350
1402/02/10, 49010, 53710
1402/02/09, 50050, 52500
1402/02/06, 48780, 51190
1402/02/05, 46500, 48960
1402/02/04, 43040, 46910
1402/01/30, 44170, 45800
1402/01/29, 42520, 45110
1402/01/28, 42070, 43500
1402/01/27, 42010, 44480
1402/01/26, 42500, 44630
1402/01/22, 41650, 44300
1402/01/21, 41650, 44140
1402/01/20, 41140, 42160
1402/01/19, 39190, 41130
1402/01/16, 38040, 39890
1402/01/15, 37770, 38700
1402/01/14, 37540, 38980
1402/01/09, 38950, 41600
1402/01/08, 38420, 41700
1402/01/07, 39600, 42450
1402/01/06, 39700, 42700
1402/01/05, 41430, 41760
1401/12/28, 37820, 40820
1401/12/27, 37200, 40200
1401/12/24, 38110, 39700
1401/12/23, 38750, 42680
1401/12/22, 39170, 41600
1401/12/20, 41230, 41230
1401/12/16, 38440, 39370
1401/12/15, 36850, 39750
1401/12/14, 38270, 41940
1401/12/13, 39000, 40530
1401/12/10, 37110, 38720
1401/12/09, 34500, 37110
1401/12/08, 34950, 38080
1401/12/07, 34480, 38080
1401/12/06, 36540, 36540
1401/12/03, 33260, 35220
1401/12/02, 32000, 33580
1401/12/01, 31900, 31990
1401/11/30, 30010, 30600
1401/11/26, 28490, 29850
1401/11/25, 27850, 29980
1401/11/24, 28700, 30220
1401/11/23, 28700, 29970
1401/11/19, 30110, 31440
1401/11/18, 30620, 32010
1401/11/17, 29700, 30550
1401/11/16, 28880, 29880
1401/11/12, 29000, 30930
1401/11/11, 28760, 29470
1401/11/10, 25680, 28170
1401/11/09, 26790, 27990
1401/11/08, 27400, 29390
1401/11/05, 27740, 29900
1401/11/04, 28000, 29900
1401/11/03, 28580, 28580
1401/11/02, 25450, 27270
1401/11/01, 25510, 27980
1401/10/28, 25730, 28080
1401/10/26, 26250, 26790
1401/10/24, 24900, 25540
1401/10/21, 23690, 24340
1401/10/20, 22500, 23680
1401/10/19, 21440, 23590
1401/10/18, 21800, 22540
1401/10/17, 21470, 21470
1401/10/14, 20440, 20450
1401/10/13, 18780, 19710
1401/10/12, 18170, 19450
1401/10/11, 18560, 20100
1401/10/10, 18540, 19880
1401/10/07, 18510, 19120
1401/10/05, 17250, 18400
1401/10/04, 17110, 18000
1401/10/03, 16800, 18480
1401/09/30, 17500, 17600
1401/09/29, 16110, 16800
1401/09/28, 16000, 16000
1401/09/26, 15170, 15830
1401/09/23, 14100, 15260
1401/09/22, 14110, 14850
1401/09/21, 13750, 14230
1401/09/20, 12940, 13580
1401/09/19, 12260, 13430
1401/09/16, 12210, 13200
1401/09/15, 12280, 12890
1401/09/14, 11960, 12410
1401/09/13, 11120, 11900
1401/09/12, 11080, 11400
1401/09/09, 10370, 11040
1401/09/08, 9970, 10640
1401/09/07, 9990, 10410
1401/09/06, 10050, 10640
1401/09/05, 9760, 10680
1401/09/02, 10010, 10380
