date, min_price, max_price
1402/03/03, 4367, 4598
1402/03/02, 4350, 4518
1402/03/01, 4023, 4345
1402/02/31, 4000, 4148
1402/02/30, 4050, 4359
1402/02/27, 4001, 4148
1402/02/25, 3810, 4070
1402/02/24, 3700, 3861
1402/02/23, 3525, 3780
1402/02/20, 3721, 4230
1402/02/19, 3858, 4182
1402/02/18, 4148, 4148
1402/02/17, 4399, 4662
1402/02/16, 4602, 4939
1402/02/13, 4640, 4900
1402/02/12, 4431, 4807
1402/02/11, 4380, 4619
1402/02/10, 4283, 4496
1402/02/09, 4415, 4652
1402/02/06, 4200, 4457
1402/02/05, 4110, 4340
1402/01/28, 3846, 4110
1402/01/27, 3800, 3890
1402/01/26, 3440, 3652
1402/01/22, 3343, 3471
1402/01/21, 3327, 3650
1402/01/20, 3422, 3580
1402/01/19, 3433, 3650
1402/01/16, 3380, 3558
1402/01/15, 3373, 3657
1402/01/14, 3180, 3498
1402/01/09, 3200, 3323
1402/01/08, 3163, 3330
1402/01/07, 3070, 3231
1402/01/06, 2952, 3100
1402/01/05, 2970, 3060
1401/12/28, 2971, 3089
1401/12/27, 2939, 3080
1401/12/24, 2850, 2929
1401/12/23, 2772, 2910
1401/12/22, 2806, 2896
1401/12/21, 2800, 2940
1401/12/20, 2851, 3051
1401/12/16, 2834, 2876
1401/12/15, 2773, 2876
1401/12/14, 2769, 2869
1401/12/13, 2751, 2900
1401/12/10, 2720, 2930
1401/12/09, 2738, 2806
1401/12/08, 2738, 2840
1401/12/07, 2761, 2949
1401/12/06, 2705, 2840
1401/12/03, 2638, 2760
1401/12/02, 2690, 2858
1401/12/01, 2690, 2849
1401/11/30, 2654, 2743
1401/11/26, 2659, 2720
1401/11/25, 2623, 2749
1401/11/24, 2620, 2745
1401/11/23, 2660, 2754
1401/11/19, 2690, 2794
1401/11/18, 2569, 2748
1401/11/17, 2502, 2620
1401/11/16, 2521, 2640
1401/11/12, 2572, 2669
1401/11/11, 2570, 2710
1401/11/10, 2453, 2688
1401/11/09, 2556, 2765
1401/11/08, 2642, 2830
1401/11/05, 2701, 2940
1401/11/04, 2869, 2950
1401/11/03, 2877, 3045
1401/11/02, 2950, 3070
1401/11/01, 2985, 3119
1401/10/28, 2910, 3127
1401/10/27, 2919, 3128
1401/10/26, 2990, 3065
1401/10/24, 2800, 3003
1401/10/21, 2877, 2994
1401/10/20, 2920, 3053
1401/10/19, 2900, 3020
1401/10/18, 2989, 3100
1401/10/17, 2970, 3068
1401/10/14, 2710, 2940
1401/10/13, 2758, 2859
1401/10/12, 2681, 2816
1401/10/11, 2610, 2770
1401/10/10, 2598, 2775
1401/10/07, 2705, 2811
1401/10/05, 2693, 2793
1401/10/04, 2710, 2820
1401/10/03, 2601, 2784
1401/09/30, 2530, 2690
1401/09/29, 2503, 2670
1401/09/28, 2551, 2640
1401/09/27, 2613, 2706
1401/09/26, 2556, 2707
1401/09/23, 2485, 2556
1401/09/22, 2450, 2551
1401/09/21, 2337, 2500
1401/09/20, 2330, 2398
1401/09/19, 2319, 2448
1401/09/16, 2387, 2475
1401/09/15, 2406, 2499
1401/09/14, 2443, 2533
1401/09/13, 2472, 2510
1401/09/12, 2470, 2548
1401/09/09, 2465, 2570
1401/09/08, 2400, 2546
1401/09/07, 2410, 2453
1401/09/06, 2385, 2440
1401/09/05, 2415, 2520
1401/09/02, 2461, 2546
1401/09/01, 2382, 2545
1401/08/30, 2372, 2444
1401/08/29, 2375, 2490
1401/08/28, 2331, 2503
1401/08/25, 2440, 2567
1401/08/24, 2344, 2515
1401/08/23, 2307, 2489
1401/08/22, 2410, 2537
1401/08/21, 2406, 2406
1401/08/18, 2302, 2302
1401/08/17, 2200, 2200
1401/08/16, 2119, 2119
1401/08/07, 2586, 2860
1401/08/04, 2684, 2820
1401/08/03, 2816, 2949
1401/08/02, 2850, 3073
1401/08/01, 2990, 3159
1401/07/30, 3120, 3249
1401/07/27, 3170, 3260
1401/07/26, 3187, 3388
1401/07/25, 3140, 3315
1401/07/24, 3046, 3210
1401/07/23, 3049, 3136
1401/07/20, 3031, 3120
1401/07/19, 3024, 3104
1401/07/18, 2990, 3100
1401/07/17, 2900, 3088
1401/07/16, 3047, 3138
1401/07/12, 3020, 3104
1401/07/11, 2983, 3119
1401/07/10, 3008, 3082
1401/07/09, 3036, 3200
1401/07/06, 3153, 3231
1401/07/04, 3078, 3280
1401/07/02, 3033, 3136
1401/06/30, 3113, 3200
1401/06/29, 3184, 3285
1401/06/28, 3231, 3400
1401/06/27, 3240, 3338
1401/06/23, 3283, 3348
1401/06/22, 3220, 3395
1401/06/21, 3220, 3310
1401/06/20, 3190, 3320
1401/06/19, 3199, 3346
1401/06/16, 3283, 3430
1401/06/15, 3365, 3483
1401/06/14, 3401, 3538
1401/06/13, 3360, 3441
1401/06/12, 3386, 3497
1401/06/09, 3463, 3529
1401/06/08, 3479, 3570
1401/06/07, 3490, 3590
1401/06/06, 3520, 3618
1401/06/05, 3571, 3760
1401/06/02, 3550, 3740
1401/06/01, 3424, 3561
1401/05/31, 3281, 3420
1401/05/30, 3285, 3385
1401/05/29, 3272, 3355
1401/05/26, 3312, 3450
