date, min_price, max_price
1402/03/03, 77730, 80960
1402/03/02, 77750, 81800
1402/03/01, 78650, 81500
1402/02/31, 74010, 80000
1402/02/30, 77100, 81500
1402/02/27, 77600, 83560
1402/02/25, 80230, 86900
1402/02/24, 83460, 88000
1402/02/23, 87850, 87850
1402/02/20, 90980, 97700
1402/02/19, 95760, 95760
1402/02/18, 100800, 100800
1402/02/16, 101630, 106690
1402/02/13, 101280, 101610
1402/02/12, 95000, 96810
1402/02/11, 90000, 92610
1402/02/10, 86000, 91000
1402/02/09, 87070, 93000
1402/02/06, 83300, 89480
1402/02/05, 82530, 85240
1402/02/04, 79500, 82790
1402/01/30, 79060, 85000
1402/01/29, 78930, 82380
1402/01/28, 78460, 78460
1402/01/27, 74730, 74730
1402/01/26, 70350, 71220
1402/01/22, 65670, 69680
1402/01/21, 65290, 71440
1402/01/20, 67190, 72000
1402/01/19, 68450, 71760
1402/01/16, 66000, 70000
1402/01/15, 65430, 68010
1402/01/14, 61670, 65400
1402/01/09, 59060, 62820
1402/01/08, 58500, 61000
1402/01/07, 55710, 60290
1402/01/06, 56400, 58780
1402/01/05, 55110, 59970
1401/12/28, 56500, 60000
1401/12/27, 56260, 58740
1401/12/24, 53010, 57000
1401/12/23, 53510, 55750
1401/12/22, 53530, 55750
1401/12/21, 54840, 57700
1401/12/20, 55520, 58890
1401/12/16, 55640, 56800
1401/12/15, 54200, 56600
1401/12/14, 54350, 58000
1401/12/13, 55840, 58440
1401/12/10, 56300, 61400
1401/12/09, 58250, 59180
1401/12/08, 53000, 58110
1401/12/07, 52950, 58400
1401/12/06, 52300, 55880
1401/12/03, 51780, 54500
1401/12/02, 52220, 53850
1401/12/01, 50090, 51730
1401/11/30, 48000, 51140
1401/11/26, 48270, 49750
1401/11/25, 47530, 50830
1401/11/24, 49300, 50990
1401/11/23, 48730, 51280
1401/11/19, 47520, 51430
1401/11/18, 49200, 50890
1401/11/17, 47790, 49850
1401/11/16, 49410, 52000
1401/11/12, 51130, 53100
1401/11/11, 50910, 54000
1401/11/10, 51440, 52890
1401/11/09, 53720, 55000
1401/11/08, 56490, 57500
1401/11/05, 58940, 61960
1401/11/04, 57660, 62680
1401/11/03, 57500, 60210
1401/11/02, 56500, 59190
1401/11/01, 57310, 62000
1401/10/28, 58060, 61800
1401/10/27, 58700, 62700
1401/10/26, 58850, 61390
1401/10/24, 58420, 60500
1401/10/21, 59000, 63410
1401/10/20, 60000, 61220
1401/10/19, 55000, 59180
1401/10/18, 55390, 56430
1401/10/17, 52230, 54600
1401/10/14, 51800, 54000
1401/10/13, 52000, 54570
1401/10/12, 52000, 54270
1401/10/11, 52300, 54500
1401/10/10, 54890, 56990
1401/10/07, 56650, 58590
1401/10/05, 54310, 57000
1401/10/04, 54760, 56500
1401/10/03, 54700, 56170
1401/09/30, 54040, 56840
1401/09/29, 54170, 56790
1401/09/28, 52500, 54990
1401/09/27, 51500, 54540
1401/09/26, 50300, 54380
1401/09/23, 50810, 52690
1401/09/22, 49000, 50480
1401/09/21, 46820, 48900
1401/09/20, 46410, 47890
1401/09/19, 46700, 48630
1401/09/16, 47200, 48880
1401/09/15, 47210, 48450
1401/09/14, 47200, 48750
1401/09/13, 47960, 49400
1401/09/12, 47990, 49490
1401/09/09, 47210, 49520
1401/09/08, 46820, 48770
1401/09/07, 47000, 48300
1401/09/06, 46710, 47700
1401/09/05, 46760, 48940
1401/09/02, 46010, 49000
1401/09/01, 47060, 49390
1401/08/30, 47550, 49490
1401/08/29, 44310, 47800
1401/08/28, 44300, 45990
1401/08/25, 45100, 46620
1401/08/24, 45100, 47100
1401/08/23, 45100, 47380
1401/08/22, 46500, 48980
1401/08/21, 46030, 49000
1401/08/18, 45810, 48650
1401/08/17, 46010, 49520
1401/08/16, 47700, 48210
1401/08/15, 45430, 47500
1401/08/14, 44000, 46920
1401/08/11, 43020, 45960
1401/08/10, 44400, 46170
1401/08/09, 42750, 46590
1401/08/08, 42570, 44900
1401/08/07, 43620, 47300
1401/08/04, 45640, 48800
1401/08/03, 47030, 50000
1401/08/02, 47500, 49250
1401/08/01, 48100, 49440
1401/07/30, 48000, 49900
1401/07/27, 48680, 50340
1401/07/26, 48490, 50200
1401/07/25, 48000, 49900
1401/07/24, 48250, 50010
1401/07/23, 49010, 50500
1401/07/20, 49950, 51960
1401/07/19, 49650, 51000
1401/07/18, 49500, 51000
1401/07/17, 49800, 51870
1401/07/16, 50030, 52300
1401/07/12, 49300, 52300
1401/07/11, 50100, 52980
1401/07/10, 49370, 53500
1401/07/09, 49310, 51740
1401/07/06, 50750, 53450
1401/07/04, 49050, 51990
1401/07/02, 49420, 51100
1401/06/30, 51070, 52830
1401/06/29, 51030, 54200
1401/06/28, 51200, 54390
1401/06/22, 51910, 53470
1401/06/21, 51030, 54770
1401/06/20, 52600, 55090
1401/06/19, 55090, 57800
1401/06/16, 56830, 59760
1401/06/15, 57500, 61450
1401/06/14, 54880, 58690
1401/06/13, 55130, 57360
1401/06/12, 56200, 58660
1401/06/09, 56930, 56930
1401/06/08, 52170, 54770
1401/06/07, 50850, 53600
1401/06/06, 50990, 53660
1401/06/05, 52800, 54980
1401/06/02, 52510, 54310
1401/06/01, 49810, 52510
1401/05/31, 49580, 51390
1401/05/30, 49150, 50740
1401/05/29, 49010, 50440
1401/05/26, 49160, 51710
1401/05/25, 49910, 53000
1401/05/24, 51000, 52330
1401/05/23, 49950, 52990
1401/05/22, 49720, 52980
1401/05/19, 49530, 52800
1401/05/18, 50800, 54220
1401/05/15, 50570, 53060
1401/05/12, 48760, 51980
1401/05/11, 49000, 51200
1401/05/10, 49240, 52300
1401/05/09, 50500, 53890
1401/05/08, 50690, 54520
1401/05/05, 52020, 54770
1401/05/04, 51750, 56000
1401/05/03, 52990, 55770
1401/04/26, 55120, 57930
1401/04/25, 56710, 58450
1401/04/22, 57080, 58460
1401/04/21, 56550, 59000
1401/04/20, 57000, 60500
1401/04/18, 57070, 59990
1401/04/15, 58500, 60000
1401/04/14, 58730, 60990
1401/04/13, 58520, 61500
1401/04/12, 57130, 60980
1401/04/11, 57000, 60100
1401/04/08, 58500, 61000
1401/04/07, 58020, 60910
1401/04/06, 57300, 58900
1401/04/05, 56400, 58990
1401/04/04, 57700, 58850
1401/04/01, 57250, 58860
1401/03/31, 56020, 58900
1401/03/30, 53670, 57200
1401/03/29, 55670, 57000
1401/03/28, 55450, 58300
1401/03/25, 56220, 59050
1401/03/24, 56220, 58550
1401/03/23, 57380, 59300
1401/03/22, 56520, 58650
1401/03/21, 56600, 58600
1401/03/18, 56510, 58840
1401/03/17, 56500, 59440
1401/03/16, 56150, 59800
1401/03/11, 56810, 58730
1401/03/10, 56350, 58780
1401/03/09, 56120, 59600
1401/03/08, 56120, 60420
1401/03/07, 57230, 61500
1401/03/04, 56580, 59800
1401/03/03, 55420, 59380
1401/03/02, 57680, 61900
1401/03/01, 59900, 62810
1401/02/31, 60000, 63990
1401/02/28, 61990, 65500
1401/02/27, 63780, 67990
1401/02/26, 62330, 67580
1401/02/20, 60000, 64950
1401/02/19, 60820, 63300
1401/02/18, 62210, 63690
1401/02/17, 62210, 65900
1401/02/12, 62050, 66370
1401/02/11, 63000, 67330
1401/02/10, 61720, 64790
1401/02/07, 60320, 63140
1401/02/06, 59100, 61200
1401/02/05, 59000, 61500
1401/02/04, 58310, 62840
1401/01/31, 58110, 61800
1401/01/30, 58500, 61890
1401/01/29, 56710, 59510
1401/01/28, 55760, 57640
1401/01/27, 55800, 58000
1401/01/24, 52000, 56320
1401/01/23, 52440, 56940
1401/01/22, 54400, 56800
1401/01/21, 55020, 56590
1401/01/20, 53830, 56180
1401/01/17, 54000, 56180
1401/01/16, 51020, 55530
1401/01/15, 52490, 55900
1401/01/14, 53200, 56490
1401/01/10, 55030, 57800
1401/01/09, 53190, 55520
1401/01/06, 51110, 54040
1400/12/28, 51150, 53440
1400/12/25, 50230, 51450
1400/12/24, 49000, 51000
1400/12/23, 50000, 51460
1400/12/22, 49900, 51490
1400/12/21, 49500, 51570
1400/12/18, 50510, 52250
1400/12/17, 50500, 52800
1400/12/16, 51120, 53740
1400/12/15, 49200, 52560
1400/12/14, 48820, 50870
1400/12/11, 49520, 51350
1400/12/09, 49440, 51500
1400/12/08, 48500, 51700
1400/12/07, 49900, 51980
1400/12/04, 51100, 53040
1400/12/03, 49020, 51710
1400/12/02, 48070, 50950
1400/12/01, 47550, 49870
1400/11/30, 48940, 51000
1400/11/27, 49050, 53100
1400/11/25, 50010, 53000
1400/11/24, 51660, 54000
1400/11/23, 50180, 51580
1400/11/20, 46730, 50160
1400/11/19, 46720, 49300
1400/11/18, 46060, 49000
1400/11/17, 48290, 49500
1400/11/16, 49300, 52490
1400/11/13, 50500, 52180
1400/11/12, 50670, 52900
1400/11/11, 50000, 53570
1400/11/10, 50800, 53600
1400/11/09, 51340, 52530
