date, min_price, max_price
1402/03/03, 34600, 35750
1402/03/02, 33400, 34700
1402/03/01, 32900, 34650
1402/02/31, 32300, 34400
1402/02/30, 32900, 35150
1402/02/27, 32100, 33900
1402/02/25, 31050, 33500
1402/02/24, 31100, 32550
1402/02/23, 30900, 32950
1402/02/20, 31650, 34950
1402/02/19, 33250, 34000
1402/02/18, 35000, 35000
1402/02/17, 36450, 38800
1402/02/16, 37150, 40000
1402/02/13, 37600, 38900
1402/02/12, 37050, 37050
1402/02/11, 35300, 35300
1402/02/10, 32000, 34800
1402/02/09, 31950, 33400
1402/02/06, 30550, 32050
1402/02/05, 29500, 31000
1402/02/04, 28900, 30800
1402/01/30, 29600, 31150
1402/01/29, 29600, 29700
1402/01/28, 27150, 28500
1402/01/27, 26900, 28200
1402/01/26, 27200, 29100
1402/01/22, 26850, 27900
1402/01/21, 25550, 26750
1402/01/20, 24600, 25600
1402/01/19, 23550, 24450
1402/01/16, 22400, 23750
1402/01/15, 22450, 24000
1402/01/14, 22250, 23850
1402/01/09, 21600, 22900
1402/01/08, 21300, 22400
1402/01/07, 21600, 22050
1401/12/24, 19750, 20550
1401/12/23, 19500, 20400
1401/12/22, 19800, 20600
1401/12/21, 20750, 21600
1401/12/20, 21300, 21850
1401/12/16, 20350, 21400
1401/12/15, 19050, 20650
1401/12/14, 19500, 20800
1401/12/13, 20400, 21550
1401/12/10, 20600, 21700
1401/12/09, 20150, 21650
1401/12/08, 21150, 21650
1401/12/07, 21800, 23500
1401/12/06, 22300, 23000
1401/12/01, 21950, 22350
1401/11/30, 23100, 23100
1401/11/26, 23400, 24400
1401/11/25, 23250, 23250
1401/11/24, 21050, 22850
1401/11/23, 21750, 22300
1401/11/18, 21900, 22870
1401/11/17, 21870, 21870
1401/11/16, 20830, 20830
1401/11/12, 19840, 19840
1401/11/11, 18520, 18940
1401/11/10, 17800, 18040
1401/11/09, 17190, 17190
1401/11/08, 16390, 16390
1401/11/05, 15650, 15650
1401/11/03, 12400, 20000
