date, min_price, max_price
1402/03/03, 4500, 4720
1402/03/02, 4580, 4750
1402/03/01, 4560, 4750
1402/02/31, 4330, 4654
1402/02/30, 4341, 4528
1402/02/27, 4206, 4425
1402/02/25, 4160, 4482
1402/02/24, 4200, 4482
1402/02/23, 4323, 4400
1402/02/20, 4500, 4840
1402/02/19, 4730, 4810
1402/02/18, 4850, 4850
1402/02/17, 5050, 5310
1402/02/16, 5230, 5460
1402/02/13, 5200, 5500
1402/02/12, 5310, 5550
1402/02/11, 5160, 5380
1402/02/10, 5080, 5190
1402/02/09, 5040, 5240
1402/02/06, 4931, 5250
1402/02/05, 4960, 5321
1402/02/04, 4850, 5092
1402/01/30, 4780, 4965
1402/01/29, 4780, 4958
1402/01/28, 4580, 4867
1402/01/27, 4671, 4894
1402/01/26, 4766, 4940
1402/01/22, 4511, 4830
1402/01/21, 4453, 4702
1402/01/20, 4225, 4569
1402/01/19, 4236, 4431
1402/01/16, 3985, 4261
1402/01/15, 3977, 4165
1402/01/14, 3867, 4079
1402/01/09, 3931, 4037
1402/01/08, 3810, 3968
1402/01/07, 3669, 3849
1402/01/06, 3690, 3850
1402/01/05, 3680, 3792
1401/12/28, 3610, 3743
1401/12/27, 3590, 3729
1401/12/24, 3520, 3620
1401/12/23, 3440, 3544
1401/12/22, 3431, 3547
1401/12/21, 3454, 3597
1401/12/20, 3575, 3740
1401/12/16, 3520, 3670
1401/12/15, 3475, 3550
1401/12/14, 3499, 3688
1401/12/13, 3567, 3692
1401/12/10, 3620, 3790
1401/12/09, 3612, 3797
1401/12/08, 3571, 3737
1401/12/07, 3570, 3880
1401/12/06, 3587, 3712
1401/12/03, 3431, 3588
1401/12/02, 3460, 3680
1401/12/01, 3362, 3537
1401/11/30, 3324, 3440
1401/11/26, 3270, 3389
1401/11/25, 3321, 3455
1401/11/24, 3281, 3458
1401/11/23, 3250, 3410
1401/11/19, 3360, 3520
1401/11/18, 3352, 3482
1401/11/17, 3186, 3432
1401/11/16, 3284, 3490
1401/11/12, 3371, 3535
1401/11/11, 3379, 3547
1401/11/10, 3378, 3505
1401/11/09, 3553, 3642
1401/11/08, 3729, 3870
1401/11/05, 3891, 4090
1401/11/04, 4035, 4250
1401/11/03, 4116, 4435
1401/11/02, 4150, 4358
1401/11/01, 4068, 4245
1401/10/28, 4040, 4199
1401/10/27, 4070, 4220
1401/10/26, 4099, 4196
1401/10/24, 3912, 4090
1401/10/21, 4008, 4168
1401/10/20, 3998, 4156
1401/10/19, 4035, 4236
1401/10/18, 4090, 4295
1401/10/17, 4070, 4249
1401/10/14, 3900, 4183
1401/10/13, 3900, 4060
1401/10/12, 3784, 3874
1401/10/11, 3601, 3850
1401/10/10, 3755, 3910
1401/10/07, 3850, 4030
1401/10/05, 3832, 3967
1401/10/04, 3737, 3917
1401/10/03, 3651, 3790
1401/09/30, 3603, 3715
1401/09/29, 3660, 3791
1401/09/28, 3670, 3823
1401/09/27, 3645, 3709
1401/09/26, 3536, 3678
1401/09/23, 3587, 3688
1401/09/22, 3617, 3700
1401/09/21, 3541, 3689
1401/09/20, 3422, 3587
1401/09/19, 3479, 3639
1401/09/16, 3550, 3757
1401/09/15, 3557, 3657
1401/09/14, 3483, 3483
1401/09/13, 3318, 3318
1401/09/01, 7060, 7240
1401/08/30, 7120, 7360
1401/08/29, 7040, 7450
1401/08/28, 7010, 7380
1401/08/25, 7170, 7410
1401/08/24, 7230, 7540
1401/08/23, 7250, 7680
1401/08/22, 7350, 7750
1401/08/21, 7400, 7670
1401/08/18, 7190, 7600
1401/08/17, 7260, 7700
1401/08/16, 7210, 7540
1401/08/15, 7060, 7300
1401/08/14, 6930, 7330
1401/08/11, 6920, 7150
1401/08/10, 7030, 7250
1401/08/09, 6830, 7180
1401/08/08, 6750, 7040
1401/08/07, 6790, 7150
1401/08/04, 6810, 7200
1401/08/03, 6780, 7160
1401/08/02, 6840, 7200
1401/08/01, 7080, 7350
1401/07/30, 7200, 7530
1401/07/27, 7330, 7580
1401/07/26, 7220, 7600
1401/07/25, 7020, 7400
1401/07/24, 7010, 7290
1401/07/23, 7170, 7550
1401/07/20, 7020, 7530
1401/07/19, 7230, 7500
1401/07/18, 7040, 7350
1401/07/17, 6660, 7110
1401/07/16, 6720, 6980
1401/07/12, 6380, 6800
1401/07/11, 6360, 6660
1401/07/10, 6460, 6720
1401/07/09, 6730, 7140
1401/07/06, 6950, 7170
1401/07/04, 6610, 7080
1401/07/02, 6760, 7160
1401/06/30, 7060, 7190
1401/06/29, 7090, 7360
1401/06/28, 7230, 7490
1401/06/27, 7240, 7580
1401/06/23, 7250, 7490
1401/06/22, 7280, 7470
1401/06/21, 7170, 7400
1401/06/20, 7230, 7390
1401/06/19, 7250, 7670
1401/06/16, 7510, 7850
1401/06/15, 7700, 8010
1401/06/14, 7810, 8050
1401/06/13, 7600, 7920
1401/06/12, 7480, 7830
1401/06/09, 7600, 7800
1401/06/08, 7590, 7890
1401/06/07, 7820, 8050
1401/06/06, 7710, 7980
1401/06/05, 7680, 8080
1401/06/02, 7870, 8180
1401/06/01, 7700, 8030
1401/05/31, 7330, 7680
1401/05/30, 7220, 7490
1401/05/29, 7400, 7730
1401/05/26, 7370, 7900
1401/05/25, 7580, 7940
1401/05/24, 7280, 7770
1401/05/23, 7340, 7750
1401/05/22, 7370, 7700
1401/05/19, 7310, 7450
1401/05/18, 7300, 7600
1401/05/15, 7320, 7680
1401/05/12, 7200, 7530
1401/05/11, 7100, 7330
1401/05/10, 6900, 7370
1401/05/09, 6950, 7280
1401/05/08, 7100, 7470
1401/05/05, 7310, 7580
1401/05/04, 7300, 7570
1401/05/03, 7470, 7470
1401/04/26, 7850, 8240
1401/04/25, 8160, 8590
1401/04/22, 8390, 8830
1401/04/21, 8570, 8970
1401/04/20, 8860, 9400
1401/04/18, 9150, 9320
1401/04/15, 8770, 9050
1401/04/14, 8750, 9040
1401/04/13, 8750, 9090
1401/04/12, 8500, 8990
1401/04/11, 8560, 8990
1401/04/08, 8700, 9040
1401/04/07, 8400, 8920
1401/04/06, 8380, 8700
1401/04/05, 8620, 9110
1401/04/04, 8710, 9130
1401/04/01, 8240, 8760
1401/03/31, 8200, 8680
1401/03/30, 8500, 8850
1401/03/29, 8510, 8880
1401/03/28, 8600, 8870
1401/03/25, 8610, 9000
1401/03/24, 8820, 9180
1401/03/23, 9060, 9300
1401/03/22, 8800, 9200
1401/03/21, 8830, 9440
1401/03/18, 9160, 9460
1401/03/17, 9120, 9500
1401/03/16, 9500, 10070
1401/03/11, 9820, 10220
1401/03/10, 9540, 10090
1401/03/09, 9170, 9880
1401/03/08, 9500, 9820
1401/03/07, 9790, 10430
1401/03/04, 9820, 10440
1401/03/03, 9880, 10230
1401/03/02, 10070, 10830
1401/03/01, 10280, 11000
1401/02/31, 10530, 11000
1401/02/28, 11050, 11370
1401/02/27, 11340, 12290
1401/02/26, 11600, 12250
1401/02/25, 12130, 12560
1401/02/24, 12250, 13300
1401/02/21, 12380, 12770
1401/02/20, 11480, 12650
1401/02/19, 11850, 12500
1401/02/12, 10630, 11150
1401/02/11, 10810, 11690
1401/02/10, 11010, 11180
1401/02/07, 10550, 10650
1401/02/06, 9720, 10180
1401/02/05, 9470, 9900
1401/02/04, 9800, 10160
1401/01/31, 9500, 10050
1401/01/30, 9360, 9850
1401/01/29, 9350, 9730
1401/01/28, 9270, 9270
1401/01/27, 8830, 8830
1401/01/24, 7910, 8440
1401/01/23, 7950, 8400
1401/01/22, 8300, 8480
1401/01/21, 8430, 8690
1401/01/20, 8120, 8630
1401/01/17, 8170, 8590
1401/01/16, 8110, 8500
1401/01/15, 8050, 8550
1401/01/14, 7760, 8250
1401/01/10, 7620, 7930
1401/01/09, 7640, 8040
1401/01/08, 7490, 7830
1401/01/07, 7310, 7590
1401/01/06, 7340, 7470
1400/12/28, 7310, 7450
1400/12/25, 7200, 7400
1400/12/24, 7170, 7380
1400/12/23, 7100, 7400
1400/12/22, 7240, 7560
1400/12/21, 7490, 7800
1400/12/18, 7740, 8080
1400/12/17, 7750, 8150
1400/12/16, 7860, 8250
1400/12/15, 7580, 8130
1400/12/14, 7630, 7980
1400/12/11, 7690, 7990
1400/12/09, 7620, 7990
1400/12/08, 7550, 7880
1400/12/07, 7600, 7920
1400/12/04, 7650, 8170
1400/12/03, 7440, 7910
1400/12/02, 7200, 7660
1400/12/01, 7070, 7490
1400/11/30, 7010, 7300
1400/11/27, 7000, 7350
1400/11/25, 7100, 7420
1400/11/24, 7130, 7380
1400/11/19, 7210, 7650
1400/11/18, 7390, 7500
1400/11/17, 7580, 7750
1400/11/16, 7700, 8210
1400/11/13, 7850, 8230
1400/11/12, 7770, 8060
1400/11/11, 7240, 7950
1400/11/10, 7440, 7930
1400/11/09, 7200, 7840
1400/11/06, 7300, 7800
1400/11/05, 7410, 7710
1400/11/04, 7720, 7950
1400/11/03, 7710, 8100
1400/11/02, 7880, 8380
1400/10/29, 8080, 8580
1400/10/28, 8310, 8710
1400/10/27, 8590, 8950
1400/10/26, 8720, 9050
1400/10/25, 8780, 9150
1400/10/22, 8960, 9270
1400/10/21, 8860, 9280
1400/10/20, 8700, 9040
1400/10/19, 8740, 9450
1400/10/18, 9010, 9500
1400/10/15, 9210, 9550
1400/10/14, 9250, 9610
1400/10/13, 9480, 9940
1400/10/12, 9170, 9730
1400/10/11, 9130, 9330
1400/10/08, 9250, 9610
1400/10/07, 9530, 9990
1400/10/06, 9410, 10100
1400/10/05, 9390, 9900
1400/10/04, 9600, 10200
1400/10/01, 9480, 10000
1400/09/30, 9060, 9670
1400/09/29, 8930, 9400
1400/09/28, 9020, 9800
1400/09/27, 9290, 9770
1400/09/24, 9180, 9890
1400/09/23, 9260, 9990
1400/09/22, 9500, 10190
1400/09/21, 9760, 10220
1400/09/20, 10030, 10550
1400/09/17, 10130, 10750
1400/09/16, 10200, 10480
1400/09/15, 10000, 10490
1400/09/14, 9900, 10290
1400/09/13, 9680, 10330
1400/09/10, 9910, 10530
1400/09/09, 10300, 10670
1400/09/08, 10190, 10720
1400/09/07, 10100, 10630
1400/09/06, 10100, 10410
