date, min_price, max_price
1402/02/23, 9010, 9010
1402/02/20, 9520, 10700
1402/02/19, 10140, 10590
1402/02/18, 10600, 10600
1402/02/17, 11030, 12490
1402/02/16, 11210, 12020
1402/02/13, 11010, 11690
1402/02/12, 11250, 11900
1402/02/11, 11280, 11780
1402/02/10, 10540, 11570
1402/02/09, 10130, 11010
1402/02/06, 10050, 11070
1402/02/05, 10300, 10960
1402/02/04, 9850, 10320
1402/01/30, 8900, 9750
1402/01/29, 8890, 9330
1402/01/28, 8810, 9160
1402/01/27, 8780, 9290
1402/01/26, 8460, 8940
1402/01/22, 8260, 8600
1402/01/21, 8290, 8950
1402/01/20, 8600, 8930
1402/01/19, 8450, 9020
1402/01/16, 8310, 9000
1402/01/15, 8490, 9020
1402/01/14, 7900, 8470
1402/01/09, 7540, 8010
1402/01/08, 7270, 7770
1402/01/07, 6800, 7310
1402/01/06, 6600, 7040
1402/01/05, 6860, 7150
1401/12/28, 6650, 7260
1401/12/27, 6650, 6850
1401/12/16, 6900, 7130
1401/12/15, 6870, 7180
1401/12/14, 7000, 7240
1401/12/13, 6890, 7170
1401/12/10, 6860, 7210
1401/12/09, 6920, 7320
1401/12/08, 6650, 7350
1401/12/07, 6840, 7210
1401/12/06, 6500, 6770
1401/12/03, 6150, 6380
1401/12/02, 6200, 6550
1401/12/01, 6110, 6430
1401/11/30, 5940, 6240
1401/11/26, 5830, 6190
1401/11/25, 5940, 6150
1401/11/24, 6000, 6240
1401/11/23, 5860, 6310
1401/11/19, 6190, 6380
1401/11/18, 6090, 6360
1401/11/17, 5730, 6300
1401/11/16, 5900, 6200
1401/11/12, 5900, 6460
1401/11/11, 5890, 6280
1401/11/10, 5520, 6110
1401/11/09, 5790, 6170
1401/11/08, 6060, 6650
1401/11/05, 6420, 7000
1401/11/04, 6700, 7050
1401/11/03, 6650, 7290
1401/11/02, 7070, 7700
1401/11/01, 7360, 7990
1401/10/28, 7600, 8040
1401/10/27, 7800, 8380
1401/10/26, 7820, 8240
1401/10/24, 7650, 8000
1401/10/21, 7660, 8180
1401/10/20, 8000, 8500
1401/10/19, 7700, 8050
1401/10/18, 7260, 7720
1401/10/17, 6970, 7400
1401/10/14, 6940, 7260
1401/10/13, 7000, 7310
1401/10/12, 6820, 7290
1401/10/11, 6730, 7150
1401/10/10, 7000, 7300
1401/10/07, 7300, 7670
1401/10/05, 7320, 7710
1401/10/04, 7400, 7950
1401/10/03, 7170, 7730
1401/09/30, 7100, 7630
1401/09/29, 7150, 7590
1401/09/28, 7290, 7840
1401/09/27, 7550, 8140
1401/09/26, 7540, 7850
1401/09/23, 7020, 7350
1401/09/22, 6610, 6900
1401/09/21, 6160, 6580
1401/09/20, 5710, 6230
1401/09/19, 5680, 6160
1401/09/16, 5890, 6240
1401/09/15, 6000, 6200
1401/09/14, 6060, 6250
1401/09/13, 6030, 6490
1401/09/12, 6200, 6530
1401/09/09, 5760, 6170
1401/09/08, 5420, 5920
1401/09/07, 5450, 5760
1401/09/06, 5500, 5750
1401/09/05, 5550, 6150
1401/09/02, 5820, 6170
1401/09/01, 5600, 6140
1401/08/30, 5670, 5920
1401/08/29, 5500, 5790
1401/08/28, 5230, 5780
1401/08/25, 5460, 5797
1401/08/24, 5103, 5578
1401/08/23, 5100, 5296
1401/08/22, 5058, 5380
1401/08/21, 4730, 5133
1401/08/18, 4650, 4915
1401/08/17, 4688, 5165
1401/08/16, 4600, 4955
1401/08/15, 4431, 4796
1401/08/14, 4100, 4574
1401/08/11, 4220, 4380
1401/08/10, 4120, 4415
1401/08/09, 4061, 4379
1401/08/08, 4105, 4290
1401/08/07, 4010, 4390
1401/08/04, 4001, 4299
1401/08/03, 4150, 4417
1401/08/02, 4140, 4497
1401/08/01, 4272, 4409
1401/07/30, 3780, 4149
1401/07/27, 3760, 3945
1401/07/26, 3840, 3997
1401/07/25, 3882, 4078
1401/07/24, 3860, 4095
1401/07/23, 3899, 4052
1401/07/20, 3750, 3994
1401/07/19, 3700, 3897
1401/07/18, 3697, 3858
1401/07/17, 3581, 3820
1401/07/16, 3775, 3995
1401/07/12, 3790, 3900
1401/07/11, 3700, 3888
1401/07/10, 3721, 3900
1401/07/09, 3752, 4069
1401/07/06, 3904, 4129
