date, min_price, max_price
1402/02/30, 20010, 21490
1402/02/27, 20100, 20400
1402/02/23, 18910, 21100
1402/02/20, 20160, 22750
1402/02/19, 21360, 22840
1402/02/18, 22960, 23000
1402/02/17, 24340, 26200
1402/02/16, 25750, 26720
1402/02/13, 25490, 27000
1402/02/12, 26130, 27240
1402/02/11, 25640, 26620
1402/02/10, 24570, 25850
1402/02/09, 24920, 25930
1402/02/06, 24700, 26440
1402/02/05, 25060, 27210
1402/02/04, 25940, 27640
1402/01/30, 24960, 27600
1402/01/29, 25250, 26720
1402/01/28, 25500, 27150
1402/01/27, 24800, 25610
1402/01/26, 23940, 23940
1402/01/22, 20940, 22830
1402/01/21, 20440, 23000
1402/01/20, 20750, 22200
1402/01/19, 19250, 20910
1402/01/16, 18510, 20090
1402/01/15, 18850, 19610
1402/01/14, 18100, 19500
1402/01/09, 18180, 19190
1402/01/08, 18000, 19280
1402/01/07, 17300, 19100
1402/01/06, 17270, 18690
1402/01/05, 17300, 18960
1401/12/28, 17520, 18970
1401/12/27, 16550, 18020
1401/12/24, 16320, 17500
1401/12/23, 15900, 16590
1401/12/22, 15650, 17000
1401/12/21, 16510, 17150
1401/12/20, 17290, 18240
1401/12/16, 17280, 18340
1401/12/15, 17500, 18400
1401/12/14, 17500, 18750
1401/12/13, 16020, 17750
1401/12/10, 16100, 16980
1401/12/09, 15460, 17100
1401/12/08, 15880, 16800
1401/12/07, 15980, 17160
1401/12/06, 15670, 16630
1401/12/03, 15050, 16000
1401/12/02, 15250, 16750
1401/12/01, 15300, 15950
1401/11/30, 13970, 14940
1401/11/19, 18460, 19640
1401/11/18, 18800, 19980
1401/11/17, 18460, 19340
1401/11/16, 19010, 20800
1401/11/12, 18650, 20660
1401/11/11, 18340, 20380
1401/11/10, 17810, 20280
1401/11/09, 19120, 19950
1401/11/08, 20150, 21380
1401/11/05, 20630, 22990
1401/11/04, 21500, 22700
1401/11/03, 20750, 22340
1401/11/02, 21500, 23110
1401/11/01, 22000, 24000
1401/10/28, 22710, 24500
1401/10/27, 23450, 24780
1401/10/26, 23800, 24540
1401/10/24, 23250, 23780
1401/10/21, 23240, 23820
1401/10/20, 23170, 24100
1401/10/19, 22520, 23900
1401/10/18, 22780, 23150
1401/10/17, 22350, 23300
1401/10/14, 22450, 23000
1401/10/13, 22540, 24300
1401/10/12, 22100, 23400
1401/10/11, 21110, 22790
1401/10/10, 20640, 22830
1401/10/07, 21660, 22500
1401/10/05, 21380, 22140
1401/10/04, 21650, 22360
1401/10/03, 21400, 22160
1401/09/30, 20880, 22000
1401/09/29, 21010, 21810
1401/09/28, 21300, 22460
1401/09/27, 20500, 22140
1401/09/26, 20540, 21440
1401/09/23, 19280, 20390
1401/09/22, 18000, 19240
1401/09/21, 17200, 18300
1401/09/20, 17720, 18270
1401/09/19, 17710, 18360
1401/09/16, 17900, 18600
1401/09/15, 18400, 19020
1401/09/14, 18100, 18900
1401/09/13, 18040, 19200
1401/09/12, 18170, 18670
1401/09/09, 18250, 18880
1401/09/08, 18400, 19200
1401/09/07, 18520, 19680
1401/09/06, 18050, 19210
1401/09/05, 17510, 18350
1401/09/02, 17650, 18420
1401/09/01, 17440, 18830
1401/08/30, 17010, 18030
1401/08/29, 16850, 17650
1401/08/28, 16810, 17830
1401/08/25, 17010, 17900
1401/08/24, 17060, 17950
1401/08/23, 17010, 17900
1401/08/22, 17530, 18340
1401/08/21, 16290, 17510
1401/08/18, 15750, 16950
1401/08/17, 15950, 16960
1401/08/16, 15400, 16470
1401/08/15, 15200, 15610
1401/08/14, 15000, 15600
1401/08/11, 14890, 15250
1401/08/10, 14830, 15400
1401/08/09, 14820, 15650
1401/08/08, 14690, 15270
1401/08/07, 14650, 16390
1401/08/04, 14930, 15670
1401/08/03, 15250, 16490
1401/08/02, 15770, 16890
1401/08/01, 16400, 17250
1401/07/30, 15400, 16290
1401/07/27, 15000, 15550
1401/07/26, 14820, 15770
1401/07/25, 14300, 15880
1401/07/24, 14310, 14970
1401/07/23, 14590, 15290
1401/07/20, 14320, 15500
1401/07/19, 14800, 15230
1401/07/16, 14240, 15000
1401/07/12, 14500, 14750
1401/07/11, 14500, 15240
1401/07/10, 14520, 14950
1401/07/09, 14690, 15950
1401/07/06, 15300, 16310
1401/07/04, 14380, 16470
1401/07/02, 14820, 15710
1401/06/30, 15050, 15660
1401/06/29, 15150, 16000
1401/06/28, 15670, 16050
1401/06/27, 15750, 16560
1401/06/23, 15680, 16770
1401/06/22, 16190, 16870
1401/06/21, 16170, 16990
1401/06/20, 16370, 17300
1401/06/19, 16830, 17300
1401/06/16, 17060, 17790
1401/06/15, 17350, 17840
1401/06/14, 17490, 18000
1401/06/13, 17400, 18580
1401/06/12, 17090, 18500
1401/06/09, 17350, 18000
1401/06/08, 17510, 18280
1401/06/07, 17260, 18470
1401/06/06, 17400, 18300
1401/06/05, 17620, 18390
1401/06/02, 16350, 17460
1401/06/01, 16160, 16850
1401/05/31, 16090, 16500
1401/05/30, 16300, 16730
1401/05/29, 16270, 16840
1401/05/26, 16470, 17150
1401/05/25, 16050, 16700
1401/05/24, 16020, 16600
1401/05/23, 16150, 16640
1401/05/22, 16220, 16930
1401/05/19, 16340, 17090
1401/05/18, 16480, 16970
1401/05/15, 16150, 16990
1401/05/12, 16320, 16940
1401/05/11, 16250, 16980
1401/05/10, 16500, 17000
1401/05/09, 16170, 17120
1401/05/08, 16680, 17690
1401/05/05, 16330, 17050
1401/05/04, 16240, 17200
1401/05/03, 16370, 17200
1401/05/02, 16290, 17250
1401/05/01, 16600, 17440
1401/04/29, 16410, 17500
1401/04/28, 16170, 17760
1401/04/26, 16610, 17380
1401/04/25, 16910, 18270
1401/04/22, 16460, 17530
1401/04/21, 16460, 17390
1401/04/20, 17500, 17750
1401/04/18, 17790, 19850
1401/04/15, 19010, 19010
1401/04/14, 18490, 18490
1401/04/13, 16700, 17490
1401/04/12, 16050, 16960
1401/04/11, 15950, 16780
1401/04/08, 15750, 16730
1401/04/07, 16230, 16800
1401/04/06, 16210, 17200
1401/04/05, 16350, 17250
1401/04/04, 17050, 17750
1401/04/01, 16060, 17660
1401/03/31, 16550, 17380
1401/03/30, 17000, 17950
1401/03/29, 17110, 18170
1401/03/28, 18090, 19200
1401/03/25, 18830, 19780
1401/03/24, 19240, 20140
1401/03/23, 19200, 20400
1401/03/22, 18410, 19970
1401/03/21, 19430, 20230
1401/03/18, 20310, 21590
1401/03/17, 20550, 22690
1401/03/16, 20900, 22100
1401/03/11, 20850, 20850
1401/03/10, 19570, 19670
1401/03/09, 17520, 19290
1401/03/08, 18140, 19300
1401/03/07, 19020, 20990
1401/03/04, 19850, 20790
1401/03/03, 19500, 20460
1401/03/02, 20520, 21600
1401/03/01, 21590, 22960
1401/02/26, 23440, 24930
1401/02/24, 25950, 26980
1401/02/21, 24690, 26000
1401/02/20, 23100, 24600
1401/02/19, 22750, 23980
1401/02/18, 23420, 25040
1401/02/17, 24440, 24990
1401/02/12, 23110, 24990
1401/02/11, 24440, 26100
1401/02/10, 25300, 26800
1401/02/07, 25610, 26500
1401/02/06, 24890, 28050
1401/02/05, 25840, 27950
1401/02/04, 27060, 28000
1401/01/31, 25660, 27700
1401/01/30, 25510, 27460
1401/01/29, 25510, 26520
1401/01/28, 24360, 26190
1401/01/27, 25450, 26730
1401/01/24, 26270, 26270
1401/01/23, 26780, 28600
1401/01/22, 27510, 28780
1401/01/21, 26950, 27760
1401/01/20, 25730, 26460
1401/01/17, 24720, 25410
1401/01/16, 23550, 24390
1401/01/15, 22600, 23310
1401/01/14, 21590, 22220
1401/01/10, 20440, 21380
1401/01/09, 20250, 20750
1401/01/08, 20050, 20700
1401/01/07, 19810, 20300
1401/01/06, 19800, 20760
1400/12/28, 20020, 20760
1400/12/25, 19180, 20100
1400/12/24, 17500, 19180
1400/12/17, 17500, 18660
1400/12/16, 17370, 17970
1400/12/15, 16610, 17700
1400/12/14, 17000, 17620
1400/12/11, 16510, 16810
1400/12/09, 16570, 16570
1400/12/08, 15440, 16100
1400/12/07, 14510, 15570
1400/12/04, 14580, 14880
1400/12/03, 13740, 14290
1400/12/02, 12910, 13650
1400/12/01, 12760, 13240
1400/11/30, 12620, 13280
1400/11/27, 12360, 12950
1400/11/25, 11810, 12670
1400/11/24, 11900, 12500
1400/11/23, 12200, 13200
1400/11/20, 12350, 12950
1400/11/19, 12320, 12930
1400/11/18, 12940, 13440
1400/11/17, 13500, 13650
1400/11/16, 13970, 15200
1400/11/13, 14130, 14830
1400/11/12, 13760, 14170
1400/11/11, 12490, 13790
1400/11/10, 13040, 13600
1400/11/09, 13200, 14250
1400/11/06, 13620, 14370
1400/11/05, 14120, 14120
1400/11/04, 14850, 15390
1400/11/03, 15550, 15960
