date, min_price, max_price
1402/02/30, 9500, 10220
1402/02/27, 9400, 10010
1402/02/25, 9350, 10200
1402/02/24, 9310, 10150
1402/02/23, 9680, 10000
1402/02/20, 9800, 10820
1402/02/19, 10010, 10700
1402/02/18, 10390, 11000
1402/02/17, 10460, 11560
1402/02/16, 10790, 11010
1402/02/13, 10130, 10830
1402/02/12, 10060, 10560
1402/02/11, 9800, 10300
1402/02/10, 9610, 10040
1402/02/09, 9350, 9990
1402/02/06, 9420, 10120
1402/02/05, 9340, 10080
1402/02/04, 9030, 9680
1402/01/30, 8840, 9420
1402/01/29, 8610, 9010
1402/01/28, 8310, 8800
1402/01/27, 8300, 8530
1402/01/26, 7780, 8150
1402/01/22, 7630, 7880
1402/01/21, 7710, 8270
1402/01/20, 7750, 8300
1402/01/19, 7660, 7990
1402/01/16, 7140, 7660
1402/01/15, 7150, 7510
1402/01/14, 7200, 7440
1402/01/09, 7440, 7570
1402/01/08, 7330, 7570
1402/01/07, 7300, 7550
1402/01/06, 7260, 7790
1402/01/05, 7050, 7450
1401/12/28, 6850, 7210
1401/12/27, 6690, 6880
1401/12/24, 6570, 6660
1401/12/23, 6370, 6560
1401/12/22, 6490, 6700
1401/12/21, 6500, 6700
1401/12/20, 6540, 6930
1401/12/16, 6530, 6850
1401/12/15, 6590, 6880
1401/12/14, 6350, 6760
1401/12/13, 6600, 7040
1401/12/10, 6700, 7250
1401/12/09, 6820, 7170
1401/12/08, 6760, 7300
1401/12/07, 6860, 7190
1401/12/06, 6630, 6890
1401/12/03, 6470, 6730
1401/12/02, 6510, 6860
1401/12/01, 6310, 6690
1401/11/30, 6270, 6550
1401/11/26, 6410, 6900
1401/11/25, 6650, 6750
1401/11/24, 6150, 6490
1401/11/23, 6110, 6300
1401/11/19, 6160, 6340
1401/11/18, 6150, 6270
1401/11/17, 5760, 6190
1401/11/16, 5750, 6060
1401/11/12, 5790, 6090
1401/11/11, 5820, 6030
1401/11/10, 5730, 6060
1401/11/09, 6020, 6430
1401/11/08, 6200, 6700
1401/11/05, 6420, 7030
1401/11/04, 6380, 6820
1401/11/03, 6400, 6890
1401/11/02, 6630, 6930
1401/11/01, 6960, 7200
1401/10/28, 6940, 7420
1401/10/27, 6810, 7160
1401/10/26, 6600, 6970
1401/10/24, 6400, 6850
1401/10/21, 6400, 6780
1401/10/20, 6240, 6600
1401/10/19, 6080, 6460
1401/10/18, 6210, 6560
1401/10/17, 6300, 6550
1401/10/14, 5830, 6300
1401/10/13, 5910, 6160
1401/10/12, 5890, 6110
1401/10/11, 5760, 6210
1401/10/10, 5890, 6160
1401/10/07, 6110, 6240
1401/10/05, 5710, 6150
1401/10/04, 5790, 6040
1401/10/03, 5680, 5820
1401/09/30, 5560, 5690
