date, min_price, max_price
1402/03/03, 4851, 5022
1402/03/02, 4335, 4720
1402/03/01, 4300, 4490
1402/02/31, 4199, 4510
1402/02/30, 4237, 4480
1402/02/27, 4020, 4254
1402/02/25, 3945, 4346
1402/02/24, 4104, 4458
1402/02/23, 4153, 4598
1402/02/20, 4200, 4633
1402/02/19, 3910, 4484
1402/02/18, 4164, 4333
1402/02/17, 4336, 4800
1402/02/16, 4479, 4699
1402/02/13, 4372, 4392
1402/02/12, 3810, 4179
1402/02/11, 3720, 4026
1402/02/10, 3760, 3950
1402/02/09, 3400, 3838
1402/02/06, 3519, 3800
1402/02/05, 3696, 3900
1402/02/04, 3651, 3900
1402/01/30, 3780, 3980
1402/01/29, 3450, 3815
1402/01/28, 3364, 3690
1402/01/27, 3390, 3507
1402/01/26, 3240, 3278
1402/01/20, 2911, 3180
1402/01/19, 2870, 3123
1402/01/16, 2817, 2933
1402/01/15, 2651, 2813
1402/01/14, 2465, 2696
1402/01/09, 2476, 2610
1402/01/08, 2460, 2560
1402/01/07, 2250, 2451
1402/01/06, 2214, 2390
1402/01/05, 2280, 2414
1401/12/28, 2230, 2320
1401/12/27, 2096, 2224
1401/12/24, 2052, 2109
1401/12/23, 2000, 2060
1401/12/22, 2005, 2084
1401/12/21, 2021, 2109
1401/12/20, 2087, 2194
1401/12/16, 2025, 2170
1401/12/15, 1979, 2080
1401/12/14, 1990, 2079
1401/12/13, 1985, 2055
1401/12/10, 1972, 2090
1401/12/09, 1970, 2076
1401/12/08, 1950, 2040
1401/12/07, 1955, 2146
1401/12/06, 1931, 2026
1401/12/03, 1860, 1945
1401/12/02, 1880, 1994
1401/12/01, 1788, 1910
1401/11/30, 1766, 1847
1401/11/26, 1763, 1840
1401/11/25, 1810, 1860
1401/11/24, 1810, 1870
1401/11/23, 1803, 1885
1401/11/19, 1820, 1889
1401/11/18, 1801, 1886
1401/11/17, 1754, 1862
1401/11/16, 1750, 1869
1401/11/12, 1828, 1920
1401/11/11, 1820, 1897
1401/11/10, 1753, 1890
1401/11/09, 1832, 1936
1401/11/08, 1935, 2074
1401/11/05, 2012, 2185
1401/11/04, 2116, 2199
1401/11/03, 2130, 2285
1401/11/02, 2102, 2230
1401/11/01, 2161, 2290
1401/10/28, 2197, 2331
1401/10/27, 2190, 2305
1401/10/26, 2092, 2225
1401/10/24, 2000, 2139
1401/10/21, 2068, 2158
1401/10/20, 2107, 2230
1401/10/19, 2077, 2179
1401/10/18, 2062, 2172
1401/10/17, 1986, 2079
1401/10/14, 1950, 2030
1401/10/13, 1980, 2110
1401/10/12, 1985, 2032
1401/10/11, 1930, 2058
1401/10/10, 2006, 2144
1401/10/07, 2130, 2200
1401/10/05, 2050, 2139
1401/10/04, 1991, 2090
1401/10/03, 1987, 2060
1401/09/30, 1843, 1986
1401/09/29, 1820, 1889
1401/09/28, 1838, 1940
1401/09/27, 1868, 1932
1401/09/26, 1799, 1909
1401/09/23, 1774, 1821
1401/09/22, 1740, 1815
1401/09/21, 1728, 1788
1401/09/20, 1722, 1780
1401/09/19, 1752, 1839
1401/09/16, 1778, 1844
1401/09/15, 1745, 1811
1401/09/14, 1770, 1830
1401/09/13, 1752, 1845
1401/09/12, 1710, 1799
1401/09/09, 1662, 1722
1401/09/08, 1658, 1719
1401/09/07, 1667, 1730
1401/09/06, 1660, 1728
1401/09/05, 1650, 1725
1401/09/02, 1680, 1775
1401/09/01, 1659, 1659
1401/08/23, 2012, 2125
1401/08/22, 2010, 2054
1401/08/21, 2010, 2100
1401/08/18, 1962, 2064
1401/08/17, 1990, 2123
1401/08/16, 1954, 2068
1401/08/15, 1912, 1977
1401/08/14, 1841, 1988
1401/08/11, 1824, 1900
1401/08/10, 1830, 1940
1401/08/09, 1820, 1899
1401/08/08, 1720, 1830
1401/08/07, 1740, 1900
1401/08/04, 1794, 1920
1401/08/03, 1860, 1980
1401/08/02, 1922, 1999
1401/08/01, 1970, 2020
1401/07/30, 2006, 2075
1401/07/27, 2018, 2081
1401/07/26, 2019, 2108
1401/07/25, 1989, 2030
1401/07/24, 1981, 2049
1401/07/23, 2022, 2063
1401/07/20, 2020, 2070
1401/07/19, 2027, 2072
1401/07/18, 2001, 2066
1401/07/17, 2006, 2090
1401/07/16, 2051, 2109
1401/07/12, 2020, 2089
1401/07/11, 2021, 2080
1401/07/10, 2030, 2099
1401/07/09, 2042, 2150
1401/07/06, 2113, 2212
1401/07/04, 2061, 2169
1401/07/02, 2046, 2269
1401/06/30, 2130, 2268
1401/06/29, 2147, 2246
1401/06/28, 2170, 2230
1401/06/27, 2190, 2271
1401/06/23, 2210, 2300
1401/06/22, 2230, 2285
1401/06/21, 2221, 2277
1401/06/20, 2202, 2263
1401/06/19, 2202, 2290
1401/06/16, 2281, 2340
1401/06/15, 2260, 2390
1401/06/14, 2260, 2348
1401/06/13, 2233, 2297
1401/06/12, 2251, 2368
1401/06/09, 2278, 2349
1401/06/08, 2281, 2358
1401/06/07, 2281, 2359
1401/06/06, 2250, 2341
1401/06/05, 2267, 2396
1401/06/02, 2259, 2360
1401/06/01, 2190, 2309
1401/05/31, 2160, 2260
1401/05/30, 2140, 2240
1401/05/29, 2203, 2300
1401/05/26, 2240, 2320
1401/05/25, 2170, 2315
1401/05/24, 2115, 2220
1401/05/23, 2140, 2229
1401/05/22, 2069, 2248
1401/05/19, 2090, 2190
1401/05/18, 2100, 2175
1401/05/15, 2060, 2185
1401/05/12, 2045, 2109
1401/05/11, 2030, 2079
1401/05/10, 2000, 2070
1401/05/09, 2014, 2117
1401/05/08, 2072, 2241
1401/05/05, 2050, 2199
1401/05/04, 2034, 2124
1401/05/03, 2141, 2184
1401/05/02, 2277, 2289
1401/04/08, 2405, 2488
1401/04/07, 2403, 2519
1401/04/06, 2393, 2500
1401/04/05, 2385, 2530
1401/04/04, 2476, 2593
1401/04/01, 2440, 2550
1401/03/31, 2481, 2577
1401/03/30, 2490, 2584
1401/03/29, 2491, 2565
1401/03/28, 2490, 2629
1401/03/25, 2540, 2628
1401/03/24, 2550, 2703
1401/03/23, 2570, 2704
1401/03/22, 2440, 2625
1401/03/21, 2465, 2552
1401/03/18, 2490, 2600
1401/03/17, 2410, 2619
1401/03/16, 2482, 2719
1401/03/11, 2603, 2726
1401/03/10, 2572, 2725
1401/03/09, 2521, 2690
1401/03/08, 2490, 2623
1401/03/07, 2610, 2830
1401/03/04, 2710, 2830
1401/03/03, 2637, 2780
1401/03/02, 2752, 2979
1401/03/01, 2890, 2979
1401/02/31, 2811, 2973
1401/02/28, 2863, 3037
1401/02/27, 2950, 3164
1401/02/26, 2996, 3140
1401/02/25, 3020, 3300
1401/02/24, 3178, 3207
1401/02/21, 2900, 3037
1401/02/20, 2718, 2908
1401/02/19, 2736, 2900
1401/02/18, 2811, 2942
1401/02/17, 2789, 2880
1401/02/12, 2770, 2879
1401/02/11, 2811, 2948
1401/02/10, 2721, 2968
1401/02/07, 2771, 2912
1401/02/06, 2664, 2862
1401/02/05, 2669, 2767
1401/02/04, 2557, 2709
1401/01/31, 2521, 2609
1401/01/30, 2505, 2685
1401/01/29, 2550, 2741
1401/01/28, 2569, 2690
1401/01/27, 2452, 2590
