date, min_price, max_price
1402/03/01, 16380, 16990
1402/02/31, 15980, 16670
1402/02/30, 16150, 17200
1402/02/27, 16680, 17170
1402/02/25, 16310, 17300
1402/02/24, 15500, 16760
1402/02/23, 15960, 16420
1402/02/20, 16350, 18050
1402/02/19, 17150, 17900
1402/02/18, 18050, 18050
1402/02/17, 18850, 19800
1402/02/16, 19100, 20800
1402/02/13, 19760, 21050
1402/02/12, 19920, 20690
1402/02/11, 19200, 19850
1402/02/10, 18030, 19410
1402/02/09, 18000, 19000
1402/02/06, 17900, 18720
1402/02/05, 17350, 18200
1402/02/04, 17180, 17850
1402/01/30, 16930, 17990
1402/01/29, 16900, 17970
1402/01/28, 16710, 17360
1402/01/27, 16540, 16540
1402/01/26, 15400, 15780
1402/01/22, 14650, 15300
1402/01/21, 14820, 15750
1402/01/20, 15370, 16190
1402/01/19, 15400, 16000
1402/01/16, 14100, 15440
1402/01/15, 14270, 15090
1402/01/14, 14000, 14440
1402/01/09, 13450, 13820
1402/01/08, 13120, 13170
1402/01/07, 12230, 12820
1402/01/06, 12250, 13000
1402/01/05, 12500, 13050
1401/12/28, 12200, 12750
1401/12/27, 12000, 12410
1401/12/24, 11620, 11990
1401/12/23, 11530, 12200
1401/12/22, 11560, 12310
1401/12/21, 11840, 12200
1401/12/20, 12160, 12700
1401/12/16, 12140, 12830
1401/12/15, 12020, 12400
1401/12/14, 12070, 12700
1401/12/13, 11670, 12370
1401/12/10, 11300, 12230
1401/12/09, 11150, 11800
1401/12/08, 11350, 11970
1401/12/07, 11520, 12490
1401/12/06, 11600, 12070
1401/12/03, 11090, 11590
1401/12/02, 10790, 11080
1401/12/01, 10100, 10650
1401/11/30, 10020, 10390
1401/11/26, 9840, 10500
1401/11/25, 10050, 10490
1401/11/24, 10350, 10690
1401/11/23, 10200, 10590
1401/11/19, 10450, 10750
1401/11/18, 10130, 10750
1401/11/17, 10090, 10600
1401/11/16, 10570, 11020
1401/11/12, 11000, 11600
1401/11/11, 11190, 11670
1401/11/10, 11330, 11700
1401/11/09, 11920, 12530
1401/11/08, 12530, 13120
1401/11/05, 12570, 13870
1401/11/04, 12420, 13410
1401/11/03, 12380, 13260
1401/11/02, 12780, 13500
1401/11/01, 12940, 13330
1401/10/28, 12420, 13100
1401/10/27, 12410, 13060
1401/10/26, 12800, 13270
1401/10/24, 12190, 12960
1401/10/21, 11800, 12760
1401/10/20, 11750, 12590
1401/10/19, 11770, 12140
1401/10/18, 11340, 11700
1401/10/17, 11220, 11710
1401/10/14, 11170, 11560
1401/10/13, 11290, 11820
1401/10/12, 11270, 11740
1401/10/11, 10930, 11500
1401/10/10, 11210, 11650
1401/10/07, 11410, 12200
1401/10/05, 11770, 12160
1401/10/04, 11800, 12590
1401/10/03, 11700, 12450
1401/09/30, 11800, 12130
1401/09/29, 10810, 11640
1401/09/28, 10860, 11280
1401/09/27, 11050, 11400
1401/09/26, 10870, 11400
1401/09/23, 10980, 11440
1401/09/22, 11170, 11690
1401/09/21, 10800, 11750
1401/09/20, 11010, 11660
1401/09/19, 11270, 11700
1401/09/16, 10460, 11250
1401/09/15, 10550, 10970
1401/09/14, 10430, 10850
1401/09/13, 10770, 11200
1401/09/12, 11050, 11750
1401/09/09, 10660, 11450
1401/09/08, 10500, 11070
1401/09/07, 10340, 11000
1401/09/06, 10430, 10980
1401/09/05, 10170, 11000
1401/09/02, 10250, 10610
1401/09/01, 9840, 10180
1401/08/30, 9380, 9740
1401/08/29, 9270, 9550
1401/08/28, 9170, 9720
1401/08/25, 9400, 9750
1401/08/24, 9520, 9980
1401/08/23, 9690, 10200
1401/08/22, 9600, 10050
1401/08/21, 9450, 9710
1401/08/18, 8650, 9380
1401/08/17, 8730, 9260
1401/08/16, 8570, 8910
1401/08/15, 8430, 8710
1401/08/14, 8110, 8700
1401/08/11, 8300, 8500
1401/08/10, 8030, 8410
1401/08/09, 8040, 8190
1401/08/08, 7960, 8250
1401/08/07, 8270, 8660
1401/08/04, 8540, 8950
1401/08/03, 8690, 9100
1401/08/02, 8870, 9190
1401/08/01, 8990, 9450
1401/07/30, 8960, 9260
1401/07/27, 9140, 9410
1401/07/26, 9050, 9400
1401/07/25, 8950, 9150
1401/07/24, 9000, 9250
1401/07/23, 9150, 9550
1401/07/20, 9070, 9580
1401/07/19, 8750, 9180
1401/07/18, 8640, 8890
1401/07/17, 8610, 9230
1401/07/16, 8700, 9080
1401/07/12, 8490, 8860
1401/07/11, 8540, 8980
1401/07/10, 8630, 9000
1401/07/09, 8610, 9410
1401/07/06, 8940, 9200
1401/07/04, 8760, 9070
1401/07/02, 8770, 9360
1401/06/30, 9060, 9500
1401/06/29, 9080, 9480
1401/06/28, 9250, 9580
1401/06/27, 9380, 9900
1401/06/23, 9600, 9850
1401/06/22, 9670, 9990
1401/06/21, 9490, 9930
1401/06/20, 9500, 9930
1401/06/19, 9760, 10200
1401/06/16, 10050, 10370
1401/06/15, 10150, 10440
1401/06/14, 10110, 10490
1401/06/13, 10150, 10540
1401/06/12, 10290, 10950
1401/06/09, 10110, 10750
1401/06/08, 10040, 10440
1401/06/07, 10260, 10510
1401/06/06, 9740, 10440
1401/06/05, 9890, 10220
1401/06/02, 10000, 10510
1401/06/01, 9820, 10370
1401/05/31, 9600, 10120
1401/05/30, 9640, 9990
1401/05/29, 9040, 9680
1401/05/26, 9060, 9530
1401/05/25, 9270, 9580
1401/05/24, 9210, 9500
1401/05/23, 9130, 9550
1401/05/22, 9420, 9590
1401/05/19, 9200, 9490
1401/05/18, 9340, 9600
1401/05/15, 9380, 9700
1401/05/12, 9130, 9570
1401/05/11, 9130, 9690
1401/05/10, 9300, 9740
1401/05/09, 9560, 10090
1401/05/08, 9800, 10470
1401/05/05, 10010, 10550
1401/05/04, 10100, 10340
1401/05/03, 10280, 10600
1401/05/02, 10630, 10910
1401/05/01, 10900, 11270
1401/04/29, 10420, 10810
1401/04/28, 9750, 10420
1401/04/26, 9700, 10210
1401/04/25, 10110, 10500
1401/04/22, 10310, 10920
1401/04/21, 10610, 11000
1401/04/20, 11050, 11590
1401/04/18, 11490, 12110
1401/04/15, 11950, 12750
1401/04/14, 12380, 12750
1401/04/13, 12490, 13120
1401/04/12, 12500, 13080
1401/04/11, 12530, 13370
1401/04/08, 13000, 13470
1401/04/07, 12900, 13480
1401/04/06, 12570, 13430
1401/04/05, 12790, 13350
1401/04/04, 13210, 13750
1401/04/01, 13250, 13690
1401/03/31, 13300, 13950
1401/03/30, 13430, 13990
1401/03/29, 13220, 13980
1401/03/23, 14120, 14650
1401/03/22, 13980, 14400
1401/03/21, 14020, 14600
1401/03/18, 13970, 14800
1401/03/17, 13830, 14500
1401/03/16, 14200, 15090
1401/03/11, 14540, 15330
1401/03/10, 15110, 15500
1401/03/09, 14200, 15290
1401/03/08, 14630, 15370
1401/03/07, 15020, 16400
1401/03/04, 15030, 15840
1401/03/03, 15020, 15500
1401/03/02, 15680, 16610
1401/03/01, 16200, 16940
1401/02/31, 16270, 17350
1401/02/28, 16530, 17500
1401/02/27, 16910, 17700
1401/02/26, 17270, 18000
1401/02/25, 18080, 19000
1401/02/24, 18550, 19130
1401/02/21, 17920, 18240
1401/02/20, 15910, 17550
1401/02/19, 16630, 17280
1401/02/18, 17110, 17860
1401/02/17, 16400, 17630
1401/02/12, 16810, 17700
1401/02/11, 16810, 17320
1401/02/10, 16340, 16520
1401/02/07, 15020, 15990
1401/02/06, 14990, 15450
1401/02/05, 14750, 15270
1401/02/04, 14580, 15120
1401/01/31, 14790, 15800
1401/01/30, 15210, 15440
1401/01/29, 14530, 15100
1401/01/28, 14020, 14970
1401/01/27, 14250, 14630
1401/01/24, 13720, 14640
1401/01/23, 14010, 14750
1401/01/22, 14500, 15030
1401/01/21, 14890, 15350
1401/01/20, 14360, 15300
1401/01/17, 14510, 14870
1401/01/16, 13990, 14440
1401/01/15, 13540, 14530
1401/01/14, 14100, 14580
1401/01/10, 14070, 14680
1401/01/09, 14220, 15000
1401/01/07, 14440, 14940
1401/01/06, 14220, 15100
1400/12/28, 14500, 14850
1400/12/25, 13690, 14370
1400/12/24, 13610, 14480
1400/12/23, 14200, 14940
1400/12/22, 14460, 15090
1400/12/21, 14660, 15500
1400/12/18, 14860, 15600
1400/12/17, 15150, 16130
1400/12/16, 15150, 16000
1400/12/15, 15360, 16270
1400/12/14, 16020, 16300
1400/12/11, 16000, 16340
1400/12/09, 15050, 16240
1400/12/08, 15420, 16000
1400/12/07, 15150, 16290
1400/12/04, 15220, 15890
1400/12/03, 15450, 15890
1400/12/02, 15340, 15780
1400/12/01, 15100, 15700
1400/11/30, 14960, 15500
1400/11/27, 15000, 15400
1400/11/25, 14950, 15420
1400/11/24, 14300, 15380
1400/11/23, 14770, 15970
1400/11/20, 14860, 15580
1400/11/19, 14400, 15170
1400/11/18, 14140, 15290
1400/11/17, 14470, 15180
1400/11/16, 15150, 15490
1400/11/13, 15180, 15560
1400/11/12, 15150, 15650
1400/11/11, 14300, 15500
1400/11/10, 14430, 15630
1400/11/09, 14520, 15690
1400/11/06, 14800, 15600
1400/11/05, 14830, 14830
1400/11/04, 14960, 15200
1400/11/03, 15200, 16000
1400/11/02, 15580, 16650
1400/10/29, 16000, 16830
1400/10/28, 15400, 16710
1400/10/27, 15000, 16130
1400/10/26, 14830, 16300
1400/10/25, 15640, 15640
1400/10/22, 15310, 15310
1400/10/21, 14480, 14950
1400/10/20, 14110, 14780
1400/10/19, 14560, 15240
1400/10/18, 15070, 16340
1400/10/15, 15739, 16567
1400/10/14, 16298, 17099
1400/10/13, 17090, 17900
1400/10/12, 17340, 18480
