date, min_price, max_price
1402/02/31, 17290, 19020
1402/02/30, 17500, 18210
1402/02/27, 17350, 17350
1402/02/25, 16530, 16530
1402/02/24, 14570, 15800
1402/02/23, 14960, 15740
1402/02/20, 15650, 16980
1402/02/19, 16460, 16890
1402/02/18, 17320, 17320
1402/02/17, 18030, 18790
1402/02/16, 18050, 19560
1402/02/13, 18000, 18710
1402/02/12, 17200, 17930
1402/02/11, 16800, 17100
1402/02/10, 15200, 16320
1402/02/09, 15010, 15890
1402/02/04, 15600, 15610
1402/01/30, 13900, 15180
1402/01/29, 14180, 14800
1402/01/28, 13010, 14210
1402/01/27, 13340, 13950
1402/01/26, 13210, 13840
1402/01/22, 12210, 13260
1402/01/21, 12050, 12870
1402/01/20, 11790, 12270
1402/01/19, 11690, 11690
1402/01/16, 10640, 11350
1402/01/15, 10500, 11100
1402/01/14, 10050, 10870
1402/01/09, 10350, 11100
1402/01/08, 10240, 10880
1402/01/07, 9720, 10420
1402/01/06, 9720, 10250
1402/01/05, 9600, 10050
1401/12/28, 9530, 10040
1401/12/27, 9490, 9920
1401/12/24, 9200, 9550
1401/12/23, 8960, 9400
1401/12/22, 9020, 9530
1401/12/21, 9200, 9600
1401/12/20, 9430, 9800
1401/12/16, 9450, 9730
1401/12/15, 9500, 9890
1401/12/14, 9100, 9450
1401/12/13, 8730, 9340
1401/12/10, 9060, 9300
1401/12/09, 9020, 9350
1401/12/08, 8900, 9290
1401/12/07, 9030, 9790
1401/12/06, 9320, 9590
1401/12/03, 8960, 9320
1401/12/02, 8950, 9490
1401/12/01, 9120, 9770
1401/11/30, 9060, 9880
1401/11/26, 9470, 9880
1401/11/25, 9520, 10340
1401/11/24, 9550, 9890
1401/11/23, 8680, 9490
1401/11/19, 8780, 9060
1401/11/18, 8410, 8630
1401/11/17, 7590, 8310
1401/11/16, 7870, 8380
1401/11/12, 8110, 8540
1401/11/11, 8160, 8600
1401/11/10, 7950, 8510
1401/11/09, 7880, 8520
1401/11/08, 7950, 8550
1401/11/05, 8110, 8740
1401/11/04, 8400, 8700
1401/11/03, 8360, 9000
1401/11/02, 8540, 9100
1401/11/01, 8800, 9550
1401/10/28, 9030, 9500
1401/10/27, 9050, 9670
1401/10/26, 9160, 9370
1401/10/24, 8450, 9180
1401/10/21, 8640, 9120
1401/10/20, 8880, 9730
1401/10/19, 8920, 9350
1401/10/18, 8450, 8930
1401/10/17, 8280, 8610
1401/10/14, 7750, 8370
1401/10/13, 7870, 8140
1401/10/12, 7900, 8100
1401/10/11, 7820, 8290
1401/10/10, 8160, 8580
1401/10/07, 8320, 8700
1401/10/05, 8030, 8550
1401/10/04, 8120, 8500
1401/10/03, 7930, 8200
1401/09/30, 7500, 7920
1401/09/29, 7480, 7740
1401/09/28, 7520, 7890
1401/09/27, 7650, 7970
1401/09/26, 7570, 7830
1401/09/23, 7550, 7800
1401/09/22, 7650, 7900
1401/09/21, 7590, 7840
1401/09/20, 7750, 8380
1401/09/19, 7960, 8190
1401/09/16, 7480, 7990
1401/09/15, 7550, 7890
1401/09/14, 7360, 7610
1401/09/13, 6920, 7300
1401/09/12, 6620, 7090
1401/09/09, 6690, 7000
1401/09/08, 6700, 7050
1401/09/07, 6760, 7050
1401/09/06, 6760, 6930
1401/09/05, 6720, 7200
1401/09/02, 6860, 7140
1401/09/01, 6830, 7180
1401/08/30, 6440, 6990
1401/08/29, 6600, 6810
1401/08/28, 6570, 6910
1401/08/25, 6710, 7000
1401/08/24, 6520, 6990
1401/08/23, 6820, 7260
1401/08/22, 7020, 7190
1401/08/21, 6490, 6990
1401/08/18, 6500, 6780
1401/08/17, 6510, 6830
1401/08/16, 6260, 6640
1401/08/15, 6270, 6520
1401/08/14, 6130, 6380
1401/08/11, 6050, 6230
1401/08/10, 6170, 6400
1401/08/09, 6090, 6330
1401/08/08, 5910, 6220
1401/08/07, 5800, 6240
1401/08/04, 5920, 6380
1401/08/03, 6220, 6390
1401/08/02, 6460, 6760
1401/08/01, 6600, 6990
1401/07/30, 6520, 6890
1401/07/27, 6370, 6620
1401/07/26, 6440, 6700
1401/07/25, 6380, 6550
1401/07/24, 6210, 6480
1401/07/23, 6280, 6480
1401/07/17, 6130, 6410
1401/07/16, 6130, 6400
1401/07/12, 6010, 6270
1401/07/11, 6100, 6470
1401/07/10, 6200, 6600
1401/07/09, 6360, 6660
1401/07/06, 6400, 6620
1401/07/04, 6200, 6480
1401/07/02, 6170, 6550
1401/06/30, 6330, 6540
1401/06/29, 6290, 6580
1401/06/28, 6300, 6620
1401/06/27, 6500, 6750
1401/06/23, 6350, 6680
1401/06/22, 6230, 6470
1401/06/21, 6200, 6420
1401/06/20, 6220, 6370
1401/06/19, 6220, 6400
1401/06/16, 6220, 6570
1401/06/15, 6310, 6610
1401/06/14, 6230, 6550
1401/06/13, 6200, 6490
1401/06/12, 6250, 6610
1401/06/09, 6330, 6520
1401/06/08, 6200, 6520
1401/06/07, 6220, 6440
1401/06/06, 6150, 6420
1401/06/05, 6000, 6440
1401/06/02, 6130, 6340
1401/06/01, 5860, 6250
1401/05/31, 5900, 6190
1401/05/30, 6020, 6380
1401/05/29, 5850, 6200
1401/05/26, 5770, 5950
1401/05/25, 5500, 5720
1401/05/24, 5340, 5570
1401/05/23, 5340, 5660
1401/05/22, 5200, 5690
1401/05/19, 5450, 5700
1401/05/18, 5560, 5810
1401/05/15, 5570, 5800
1401/05/12, 5570, 5790
1401/05/11, 5280, 5750
1401/05/10, 5350, 5780
1401/05/09, 5440, 5780
1401/05/08, 5400, 5640
1401/05/05, 5250, 5500
1401/05/04, 4930, 5370
1401/05/03, 5100, 5360
1401/05/02, 5190, 5480
1401/05/01, 5260, 5260
1401/04/29, 4870, 5080
