date, min_price, max_price
1402/03/03, 11900, 12670
1402/03/02, 11820, 12550
1402/03/01, 11510, 12240
1402/02/31, 11200, 12310
1402/02/25, 11810, 12600
1402/02/24, 11450, 11930
1402/02/23, 10990, 11850
1402/02/20, 11610, 13100
1402/02/19, 11960, 12880
1402/02/18, 12820, 13150
1402/02/17, 13220, 14790
1402/02/16, 13850, 14680
1402/02/13, 13360, 14120
1402/02/12, 13200, 13920
1402/02/11, 12940, 13640
1402/02/10, 12680, 13300
1402/02/09, 12560, 13340
1402/02/06, 12890, 13750
1402/02/05, 13460, 13950
1402/02/04, 12710, 13240
1402/01/30, 12150, 13180
1402/01/29, 12000, 12700
1402/01/28, 12000, 12500
1402/01/27, 11950, 12590
1402/01/26, 11370, 11910
1402/01/22, 10960, 11390
1402/01/21, 10950, 12000
1402/01/20, 11190, 12190
1402/01/19, 11290, 11740
1402/01/16, 10300, 11340
1402/01/15, 10260, 11270
1402/01/14, 10030, 10850
1402/01/09, 10250, 10880
1402/01/08, 9350, 10500
1402/01/07, 9310, 10090
1402/01/06, 9420, 10260
1402/01/05, 9720, 10290
1401/12/28, 9200, 9890
1401/12/27, 9100, 9580
1401/12/24, 8760, 9050
1401/12/23, 8620, 8880
1401/12/22, 8640, 8970
1401/12/21, 8700, 9060
1401/12/20, 8900, 9410
1401/12/16, 8850, 9420
1401/12/15, 8390, 9100
1401/12/14, 8400, 8710
1401/12/13, 8330, 8590
1401/12/10, 8300, 8800
1401/12/09, 8550, 8830
1401/12/08, 8540, 8830
1401/12/07, 8590, 9080
1401/12/06, 8340, 8840
1401/12/03, 8070, 8600
1401/12/02, 8340, 9070
1401/12/01, 8170, 8710
1401/11/30, 7810, 8420
1401/11/26, 7800, 7990
1401/11/25, 7950, 8140
1401/11/24, 7880, 8150
1401/11/23, 7810, 8120
1401/11/19, 7840, 8190
1401/11/18, 7650, 8200
1401/11/17, 7440, 7980
1401/11/16, 7840, 8400
1401/11/12, 8120, 8760
1401/11/11, 8410, 8960
1401/11/10, 8010, 8700
1401/11/09, 8230, 8660
1401/11/08, 8630, 9270
1401/11/05, 8910, 9330
1401/11/04, 8240, 8830
1401/11/03, 8070, 8550
1401/11/02, 8150, 8660
1401/11/01, 8290, 8900
1401/10/28, 8390, 8830
1401/10/27, 8350, 9000
1401/10/26, 8760, 9070
1401/10/24, 8160, 8920
1401/10/21, 8060, 8620
1401/10/20, 7940, 8270
1401/10/19, 7810, 8060
1401/10/18, 7820, 8030
1401/10/17, 7610, 7980
1401/10/14, 7410, 7690
1401/10/13, 7500, 7830
1401/10/12, 7350, 7900
1401/10/11, 7370, 8000
1401/10/10, 7720, 8020
1401/10/07, 8000, 8250
1401/10/05, 7550, 8090
1401/10/04, 7610, 7960
1401/10/03, 7510, 7950
1401/09/30, 7320, 7540
1401/09/29, 7230, 7500
1401/09/28, 7260, 7670
1401/09/27, 7260, 7700
1401/09/26, 7010, 7400
1401/09/23, 6840, 7290
1401/09/22, 6810, 7060
1401/09/21, 6640, 7020
1401/09/20, 6650, 6800
1401/09/19, 6630, 6840
1401/09/16, 6760, 6970
1401/09/15, 6710, 6980
1401/09/14, 6700, 6870
1401/09/13, 6730, 6900
1401/09/12, 6750, 6900
1401/09/09, 6760, 7000
1401/09/08, 6780, 7000
1401/09/07, 6730, 7000
1401/09/06, 6870, 7060
1401/09/05, 6860, 7100
1401/09/02, 6810, 7100
1401/09/01, 6670, 7170
1401/08/30, 6620, 6790
1401/08/29, 6600, 6930
1401/08/28, 6590, 6900
1401/08/25, 6800, 7170
1401/08/24, 6810, 7150
1401/08/23, 6700, 7000
1401/08/22, 6820, 7280
1401/08/21, 7000, 7670
1401/08/18, 6730, 7460
1401/08/17, 6720, 7230
1401/08/16, 6930, 7300
1401/08/15, 6430, 6980
1401/08/14, 6250, 6650
1401/08/11, 6120, 6290
1401/08/10, 6160, 6460
1401/08/09, 6080, 6300
1401/08/08, 5800, 6180
1401/08/07, 5740, 6220
1401/08/04, 5910, 6370
1401/08/03, 6190, 6730
1401/08/02, 6520, 6700
1401/08/01, 6660, 6940
1401/07/30, 6820, 7150
1401/07/27, 6770, 7190
1401/07/26, 7010, 7300
1401/07/25, 6630, 7180
1401/07/24, 6670, 7060
1401/07/23, 6950, 7190
1401/07/20, 6910, 7400
1401/07/19, 6510, 7120
1401/07/18, 6560, 6870
1401/07/17, 6580, 6950
1401/07/16, 6570, 6980
1401/07/12, 6400, 6670
1401/07/11, 6350, 6700
1401/07/10, 6260, 6590
1401/07/09, 6320, 6700
1401/07/06, 6570, 6930
1401/07/04, 6110, 6730
1401/07/02, 6110, 6500
1401/06/30, 6300, 6580
1401/06/29, 6410, 6580
1401/06/28, 6300, 6580
1401/06/27, 6310, 6700
1401/06/23, 6550, 6790
1401/06/22, 6390, 6770
1401/06/21, 6210, 6600
1401/06/20, 6260, 6480
1401/06/19, 6260, 6510
1401/06/16, 6390, 6700
1401/06/15, 6320, 6650
1401/06/14, 6600, 6780
1401/06/13, 6630, 6840
1401/06/12, 6600, 6800
