date, min_price, max_price
1402/03/03, 5970, 6160
1402/03/02, 6070, 6320
1402/03/01, 6060, 6390
1402/02/31, 6050, 6420
1402/02/30, 6110, 6490
1402/02/27, 6300, 6730
1402/02/25, 6400, 6840
1402/02/24, 6330, 6600
1402/02/23, 6140, 6480
1402/02/20, 6320, 6720
1402/02/19, 6420, 6980
1402/02/18, 6740, 6810
1402/02/17, 6890, 7610
1402/02/16, 7090, 7370
1402/02/13, 6900, 7410
1402/02/12, 7060, 7360
1402/02/11, 6950, 7400
1402/02/10, 7020, 7680
1402/02/09, 6990, 7330
1402/02/06, 6780, 7030
1402/02/05, 6550, 6940
1402/02/04, 6650, 6800
1402/01/30, 6670, 7090
1402/01/29, 6590, 6760
1402/01/28, 6300, 6630
1402/01/27, 6220, 6650
1402/01/26, 6100, 6650
1402/01/22, 6330, 6590
1402/01/21, 6520, 7170
1402/01/20, 6700, 6860
1402/01/19, 6540, 6540
1402/01/16, 6000, 6350
1402/01/15, 6000, 6280
1402/01/14, 5750, 6190
1402/01/09, 5950, 6300
1402/01/08, 5930, 6250
1402/01/07, 6030, 6280
1402/01/06, 5820, 6160
1402/01/05, 5810, 6350
1401/12/28, 5830, 6340
1401/12/27, 5850, 6150
1401/12/24, 5660, 5880
1401/12/23, 5510, 5930
1401/12/22, 5660, 6190
1401/12/21, 5950, 6170
1401/12/20, 6050, 6360
1401/12/16, 5970, 6060
1401/12/15, 5750, 6160
1401/12/14, 5880, 6120
1401/12/13, 5740, 6210
1401/12/10, 5870, 6170
1401/12/09, 5630, 6150
1401/12/08, 5750, 6270
1401/12/07, 6020, 6420
1401/12/06, 6140, 6540
1401/12/03, 6120, 6740
1401/12/02, 6420, 6750
1401/12/01, 6660, 7270
1401/11/30, 6990, 7500
1401/11/26, 7100, 7520
1401/11/25, 7130, 7820
1401/11/24, 7500, 7500
1401/11/23, 7750, 8400
1401/11/19, 8010, 8160
1401/11/18, 7200, 7940
1401/11/17, 6990, 7710
1401/11/16, 7150, 7350
1401/11/12, 7000, 7000
1401/11/11, 6660, 6670
1401/11/10, 6130, 6370
1401/11/09, 5990, 6560
1401/11/08, 6000, 6300
1401/11/05, 6000, 6000
1401/11/04, 5720, 5720
1401/11/03, 5230, 5450
1401/11/02, 5194, 5194
1401/11/01, 4780, 5070
1401/10/28, 4700, 5090
1401/10/27, 4850, 5095
1401/10/26, 4620, 4867
1401/10/24, 4636, 4636
1401/10/21, 4749, 5188
1401/10/20, 4988, 4998
1401/03/04, 4760, 4760
1400/03/09, 5000, 5000
1399/12/20, 16999, 17000
1399/11/05, 17300, 17300
1399/10/21, 17010, 17010
1399/10/20, 17000, 17030
1399/10/17, 17000, 17000
1399/10/14, 17000, 17000
1399/10/08, 17000, 17000
1399/10/03, 17330, 17330
1399/10/02, 17000, 17000
1399/10/01, 16630, 17000
1399/09/24, 17000, 17000
1399/09/23, 17000, 17000
1399/09/19, 17000, 17000
1399/09/18, 16700, 16700
1399/09/17, 16700, 16700
1399/09/11, 16563, 16563
1399/09/02, 16563, 16563
1399/08/26, 16563, 16563
1399/08/21, 16902, 16902
1399/08/19, 16410, 16410
1399/08/14, 16410, 16410
1399/08/12, 16918, 16919
1399/08/11, 17442, 17442
1399/08/07, 17899, 18000
1399/08/03, 18380, 18940
1399/07/30, 18950, 18950
1399/07/29, 18950, 18950
1399/07/28, 18950, 18950
1399/07/27, 18450, 18450
1399/07/20, 19000, 19000
1399/07/19, 19000, 19090
1399/07/16, 18190, 18190
1399/07/14, 18190, 18190
1399/07/12, 17325, 17325
1399/07/09, 16925, 17770
1399/06/29, 16601, 17100
1399/06/25, 16601, 16601
1399/06/23, 16600, 16600
1399/06/19, 17000, 17243
1399/06/18, 17714, 17840
1399/06/15, 17850, 18517
1399/06/10, 19000, 19000
1399/06/05, 19090, 19090
1399/06/04, 19090, 19100
1399/06/02, 19650, 19689
1399/05/28, 19600, 20000
1399/05/27, 20000, 20000
1399/05/26, 20000, 20000
1399/05/25, 20000, 20000
1399/05/22, 20018, 20018
1399/05/21, 20392, 20490
1399/05/19, 20190, 20190
1399/05/15, 20000, 20000
1399/05/14, 20590, 20590
1399/05/13, 20500, 21568
1399/05/12, 20000, 20999
1399/05/11, 19389, 20500
1399/05/08, 19411, 20000
1399/05/07, 19571, 20159
1399/05/06, 19733, 20500
1399/05/05, 19400, 19854
1399/05/04, 20466, 20470
1399/05/01, 19000, 20642
1399/04/31, 17357, 20000
1399/04/30, 17000, 17486
1399/04/29, 17036, 17951
1399/04/28, 18000, 18947
1399/04/25, 19000, 19750
1399/04/24, 19400, 20000
1399/04/23, 20000, 20000
1399/04/18, 19900, 20469
1399/04/17, 19597, 20110
1399/04/16, 19500, 19719
1399/04/15, 19657, 20246
1399/04/14, 19300, 19901
