date, min_price, max_price
1402/03/03, 42750, 45700
1402/02/30, 42700, 45100
1402/02/27, 41500, 43250
1402/02/25, 40500, 43250
1402/02/24, 39700, 43250
1402/02/23, 40200, 45300
1402/02/20, 42550, 47200
1402/02/19, 45100, 49650
1402/02/18, 48450, 49000
1402/02/17, 51650, 56850
1402/02/16, 53500, 56250
1402/02/11, 49000, 54150
1402/02/10, 48900, 51900
1402/02/09, 47450, 50700
1402/02/06, 46400, 49900
1402/02/05, 45550, 49350
1402/02/04, 44100, 47400
1402/01/30, 42800, 46950
1402/01/29, 42300, 44600
1402/01/28, 41350, 43900
1402/01/27, 42500, 45900
1402/01/26, 42700, 46750
1402/01/22, 41100, 44150
1402/01/21, 39350, 42300
1402/01/20, 36200, 39950
1402/01/19, 35000, 37500
1402/01/16, 33500, 35700
1402/01/15, 33050, 35450
1402/01/14, 32850, 34850
1402/01/09, 32750, 34300
1402/01/08, 33300, 34300
1402/01/07, 33550, 35200
1402/01/06, 32550, 36350
1402/01/05, 33950, 35800
1401/12/28, 33400, 34800
1401/12/27, 31850, 34200
1401/12/24, 31550, 32800
1401/12/23, 30000, 32300
1401/12/22, 30150, 31000
1401/12/21, 29900, 31400
1401/12/20, 30150, 31600
1401/12/16, 30250, 32200
1401/12/15, 29500, 31800
1401/12/14, 30200, 31450
1401/12/13, 29500, 32900
1401/12/10, 28950, 31900
1401/12/09, 28750, 30900
1401/12/08, 29750, 30450
1401/12/07, 28500, 28500
1401/12/06, 26650, 26650
1401/11/25, 35600, 38050
1401/11/24, 36550, 37750
1401/11/23, 36050, 38500
1401/11/19, 36300, 38500
1401/11/18, 36150, 37400
1401/11/17, 35050, 36650
1401/11/16, 35050, 37850
1401/11/12, 35100, 37750
1401/11/11, 34100, 37850
1401/11/10, 33850, 37100
1401/11/09, 35900, 38000
1401/11/08, 38350, 41400
1401/11/05, 40800, 44550
1401/11/04, 42550, 45100
1401/11/03, 43100, 46850
1401/11/02, 44050, 47600
1401/11/01, 42000, 44950
1401/10/28, 41550, 43100
1401/10/27, 41700, 44250
1401/10/26, 42000, 44250
1401/10/24, 39150, 43150
1401/10/21, 39800, 42000
1401/10/20, 40900, 43000
1401/10/19, 41150, 43000
1401/10/18, 40850, 43350
1401/10/17, 39100, 42500
1401/10/14, 39750, 41950
1401/10/13, 40000, 43200
1401/10/12, 39600, 42450
1401/10/11, 37800, 40250
1401/10/10, 35600, 39000
1401/10/07, 37500, 38500
1401/10/05, 35800, 38100
1401/10/04, 35700, 36850
1401/10/03, 35200, 36550
1401/09/30, 34950, 36450
1401/09/29, 35600, 37350
1401/09/28, 35550, 37350
1401/09/27, 36050, 37450
1401/09/26, 35000, 36800
1401/09/23, 35400, 37400
1401/09/22, 35100, 37350
1401/09/21, 34450, 36400
1401/09/20, 33900, 35900
1401/09/19, 33200, 34900
1401/09/16, 32000, 33350
1401/09/15, 32450, 33550
1401/09/14, 32250, 33800
1401/09/13, 33350, 35000
1401/09/12, 32700, 33300
1401/09/09, 30050, 32200
1401/09/08, 30500, 31500
1401/09/07, 31100, 32200
1401/09/06, 30900, 32000
1401/09/05, 30300, 31950
1401/09/02, 28500, 30700
1401/09/01, 28300, 29200
1401/08/30, 28300, 29350
1401/08/29, 28400, 29000
1401/08/28, 27500, 28550
1401/08/25, 27600, 28750
1401/08/24, 27700, 29600
1401/08/23, 28050, 29950
1401/08/22, 29300, 30850
1401/08/21, 28400, 30500
1401/08/18, 28500, 30100
1401/08/17, 28700, 31800
1401/08/16, 29500, 30800
1401/08/15, 27550, 29600
1401/08/14, 25700, 28450
1401/08/11, 26300, 27350
1401/08/10, 26750, 27700
1401/08/09, 25650, 27200
1401/08/08, 25000, 26950
1401/08/07, 25700, 29000
1401/08/04, 27500, 28950
1401/08/03, 28450, 30600
1401/08/02, 28800, 30350
1401/08/01, 29550, 32150
1401/07/30, 30250, 30250
1401/07/25, 27150, 29000
1401/07/24, 27200, 28750
1401/07/23, 27300, 28900
1401/07/20, 28500, 29200
1401/07/19, 28350, 30000
1401/07/18, 28500, 30300
1401/07/17, 29650, 33500
1401/07/16, 30050, 32700
1401/07/12, 30050, 30800
1401/07/11, 27000, 30550
1401/07/10, 28600, 31500
1401/07/09, 29300, 32000
1401/07/06, 30400, 32000
1401/07/04, 30050, 32100
1401/07/02, 31400, 35000
1401/06/30, 31400, 34850
1401/06/29, 31650, 33750
1401/06/28, 29250, 32250
1401/06/27, 28450, 30400
1401/06/23, 28150, 29400
1401/06/22, 28050, 29500
1401/06/21, 28200, 29650
1401/06/20, 28800, 30450
1401/06/19, 30250, 31350
1401/06/16, 31000, 32600
1401/06/15, 29450, 31450
1401/06/14, 29450, 30550
1401/06/13, 28750, 30200
1401/06/12, 29200, 30600
1401/06/09, 29000, 30700
1401/06/08, 29000, 30250
1401/06/07, 28700, 30100
1401/06/06, 27700, 29400
1401/06/05, 27650, 29350
1401/06/02, 28250, 29450
1401/06/01, 27250, 28200
1401/05/31, 26700, 27900
1401/05/30, 26450, 27700
1401/05/29, 26650, 27800
1401/05/26, 27250, 28300
1401/05/25, 26750, 27750
1401/05/24, 26600, 27450
1401/05/23, 26700, 27900
1401/05/22, 26300, 27800
1401/05/19, 26050, 26600
1401/05/18, 25700, 27500
1401/05/15, 26550, 27850
1401/05/12, 25700, 27200
1401/05/11, 25050, 26900
1401/05/10, 25000, 26050
1401/05/09, 24850, 25800
1401/05/08, 25600, 27150
1401/05/05, 26000, 27400
1401/05/04, 25300, 27100
1401/05/03, 26100, 27550
1401/05/02, 27050, 28850
1401/05/01, 27900, 29200
1401/04/29, 26700, 28300
1401/04/28, 26150, 28300
1401/04/26, 26950, 29150
1401/04/25, 28300, 29400
1401/04/22, 28100, 29050
1401/04/21, 28250, 28900
1401/04/20, 28600, 30600
1401/04/18, 29250, 31000
1401/04/15, 29250, 30800
1401/04/14, 29950, 31300
1401/04/13, 30250, 31500
1401/04/12, 29550, 31200
1401/04/11, 28950, 30150
1401/04/08, 28650, 31150
1401/04/07, 29600, 31200
1401/04/06, 29700, 31000
1401/04/05, 29650, 31600
1401/04/04, 30000, 31550
1401/04/01, 29900, 31900
1401/03/31, 30700, 32250
1401/03/30, 31000, 33150
1401/03/29, 31300, 32800
1401/03/28, 32000, 34000
1401/03/25, 32600, 33800
1401/03/24, 31300, 34050
1401/03/23, 32150, 34450
1401/03/22, 32050, 33200
1401/03/21, 31250, 33000
1401/03/18, 30950, 33400
1401/03/17, 31550, 33250
1401/03/16, 33350, 35950
1401/03/11, 34800, 37750
1401/03/10, 33650, 36850
1401/03/09, 34500, 35950
1401/03/08, 33700, 36800
1401/03/07, 35600, 38250
1401/03/04, 37100, 38750
1401/02/31, 37600, 40450
1401/02/28, 38200, 41200
1401/02/27, 38100, 41700
1401/02/26, 40400, 40400
1401/02/24, 42950, 42950
1401/02/21, 40550, 40550
1401/02/20, 36200, 38350
