date, min_price, max_price
1402/03/03, 2335, 2434
1402/03/02, 2385, 2458
1402/03/01, 2235, 2386
1402/02/31, 2210, 2325
1402/02/30, 2289, 2400
1402/02/27, 2355, 2445
1402/02/25, 2299, 2460
1402/02/24, 2374, 2450
1402/02/23, 2460, 2460
1402/02/20, 2577, 2699
1402/02/19, 2683, 2683
1402/02/18, 2722, 2722
1402/02/17, 2824, 3069
1402/02/16, 2877, 2983
1402/02/13, 2751, 2914
1402/02/12, 2640, 2818
1402/02/11, 2582, 2738
1402/02/10, 2500, 2688
1402/02/09, 2511, 2694
1402/02/06, 2606, 2743
1402/02/05, 2654, 2824
1402/02/04, 2602, 2727
1402/01/30, 2487, 2670
1402/01/29, 2534, 2634
1402/01/28, 2429, 2570
1402/01/27, 2402, 2582
1402/01/26, 2470, 2510
1402/01/22, 2264, 2403
1402/01/21, 2172, 2324
1402/01/20, 2160, 2250
1402/01/19, 2167, 2249
1402/01/16, 2083, 2178
1402/01/15, 2020, 2179
1402/01/14, 2107, 2269
1402/01/09, 2089, 2229
1402/01/08, 2010, 2128
1402/01/07, 1980, 2068
1402/01/06, 1947, 2044
1402/01/05, 1869, 1963
1401/12/28, 1870, 1870
1401/12/27, 1845, 1845
1401/12/22, 1730, 1800
1401/12/21, 1761, 1818
1401/12/20, 1803, 1879
1401/12/16, 1730, 1827
1401/12/15, 1715, 1773
1401/12/14, 1661, 1815
1401/12/13, 1721, 1750
1401/12/10, 1750, 1837
1401/12/09, 1676, 1790
1401/12/08, 1709, 1768
1401/12/07, 1712, 1802
1401/12/06, 1645, 1728
1401/12/03, 1600, 1696
1401/12/02, 1620, 1739
1401/12/01, 1593, 1685
1401/11/30, 1591, 1654
1401/11/26, 1655, 1730
1401/11/25, 1700, 1765
1401/11/24, 1620, 1708
1401/11/23, 1600, 1658
1401/11/19, 1600, 1659
1401/11/18, 1571, 1650
1401/11/17, 1546, 1640
1401/11/16, 1568, 1664
1401/11/12, 1610, 1696
1401/11/11, 1613, 1699
1401/11/10, 1560, 1668
1401/11/09, 1627, 1658
1401/11/08, 1709, 1789
1401/11/04, 1744, 1838
1401/11/03, 1753, 1885
1401/11/02, 1785, 1908
1401/11/01, 1844, 1987
1401/10/28, 1900, 1987
1401/10/27, 1880, 2019
1401/10/26, 1928, 1990
1401/10/24, 1891, 1955
1401/10/21, 1956, 2044
1401/10/20, 1951, 2105
1401/10/19, 1952, 2013
1401/10/18, 1817, 1955
1401/10/17, 1810, 1910
1401/10/14, 1790, 1871
1401/10/13, 1782, 1782
1401/10/12, 1608, 1717
1401/10/11, 1620, 1732
1401/10/10, 1701, 1798
1401/10/07, 1751, 1879
1401/10/05, 1728, 1853
1401/10/04, 1718, 1776
1401/10/03, 1628, 1698
1401/09/30, 1543, 1631
1401/09/29, 1526, 1589
1401/09/28, 1522, 1599
1401/09/27, 1552, 1569
1401/09/26, 1421, 1522
1401/09/23, 1435, 1479
1401/09/22, 1431, 1475
1401/09/21, 1396, 1449
1401/09/20, 1397, 1440
1401/09/19, 1407, 1451
1401/09/16, 1421, 1479
1401/09/15, 1452, 1503
1401/09/14, 1450, 1549
1401/09/13, 1441, 1491
1401/09/12, 1371, 1438
1401/09/09, 1367, 1390
1401/09/08, 1331, 1381
1401/09/07, 1345, 1370
1401/09/06, 1336, 1370
1401/09/05, 1334, 1375
1401/09/02, 1341, 1385
1401/09/01, 1332, 1395
1401/08/30, 1315, 1355
1401/08/29, 1305, 1365
1401/08/28, 1297, 1340
1401/08/25, 1308, 1350
1401/08/24, 1303, 1350
1401/08/23, 1298, 1348
1401/08/22, 1337, 1371
1401/08/21, 1321, 1378
1401/08/18, 1280, 1370
1401/08/17, 1310, 1388
1401/08/16, 1305, 1350
1401/08/15, 1248, 1309
1401/08/14, 1213, 1280
1401/08/11, 1200, 1230
1401/08/10, 1244, 1286
1401/08/09, 1202, 1280
1401/08/08, 1200, 1260
1401/08/07, 1248, 1300
1401/08/04, 1288, 1330
1401/08/03, 1311, 1386
1401/08/02, 1321, 1390
1401/08/01, 1356, 1380
1401/07/30, 1380, 1434
1401/07/27, 1382, 1436
1401/07/26, 1384, 1425
1401/07/25, 1389, 1420
1401/07/24, 1387, 1436
1401/07/23, 1398, 1429
1401/07/20, 1410, 1447
1401/07/19, 1416, 1455
1401/07/18, 1407, 1459
1401/07/17, 1407, 1481
1401/07/16, 1432, 1519
1401/07/12, 1430, 1526
1401/07/11, 1440, 1490
1401/07/10, 1441, 1511
1401/07/09, 1456, 1532
1401/07/06, 1461, 1533
1401/07/04, 1371, 1495
1401/07/02, 1390, 1435
1401/06/30, 1403, 1455
1401/06/29, 1424, 1467
1401/06/28, 1433, 1461
1401/06/27, 1441, 1469
1401/06/23, 1455, 1487
1401/06/22, 1451, 1500
1401/06/21, 1441, 1500
1401/06/20, 1455, 1482
1401/06/19, 1450, 1515
1401/06/16, 1480, 1531
1401/06/15, 1494, 1530
1401/06/14, 1500, 1545
1401/06/13, 1507, 1566
1401/06/12, 1471, 1524
1401/06/09, 1456, 1521
1401/06/08, 1464, 1540
1401/06/07, 1465, 1530
1401/06/06, 1470, 1549
1401/06/05, 1436, 1502
1401/06/02, 1439, 1475
1401/06/01, 1360, 1432
1401/05/31, 1359, 1394
1401/05/30, 1360, 1378
1401/05/29, 1347, 1387
1401/05/26, 1314, 1369
1401/05/25, 1339, 1386
1401/05/24, 1330, 1395
1401/05/23, 1325, 1370
1401/05/22, 1318, 1355
1401/05/19, 1306, 1353
1401/05/18, 1310, 1359
1401/05/15, 1291, 1364
1401/05/12, 1282, 1323
1401/05/11, 1280, 1330
1401/05/10, 1246, 1328
1401/05/09, 1279, 1300
1401/05/08, 1301, 1385
1401/05/05, 1302, 1398
1401/05/04, 1322, 1364
1401/05/03, 1326, 1395
1401/04/26, 1412, 1450
1401/04/25, 1420, 1450
1401/04/22, 1430, 1482
1401/04/21, 1413, 1458
1401/04/20, 1433, 1517
1401/04/18, 1472, 1527
1401/04/15, 1504, 1529
1401/04/14, 1518, 1568
1401/04/13, 1532, 1583
1401/04/12, 1531, 1587
1401/04/11, 1537, 1607
1401/04/08, 1559, 1601
1401/04/07, 1555, 1619
1401/04/06, 1541, 1600
1401/04/05, 1548, 1590
1401/04/04, 1562, 1650
1401/04/01, 1590, 1631
1401/03/31, 1576, 1660
1401/03/30, 1610, 1664
1401/03/29, 1607, 1670
1401/03/28, 1632, 1725
1401/03/25, 1641, 1720
1401/03/24, 1650, 1739
