date, min_price, max_price
1402/03/03, 4601, 4773
1402/03/02, 4712, 4910
1402/03/01, 4717, 4830
1402/02/31, 4403, 4839
1402/02/30, 4501, 4974
1402/02/27, 4529, 4990
1402/02/25, 4449, 4746
1402/02/24, 4250, 4449
1402/02/23, 4120, 4360
1402/02/20, 4380, 4920
1402/02/19, 4650, 4940
1402/02/18, 4990, 4990
1402/02/17, 5320, 5710
1402/02/16, 5610, 5980
1402/02/13, 5710, 5990
1402/02/12, 5550, 5860
1402/02/11, 5400, 5660
1402/02/10, 5400, 5690
1402/02/09, 5480, 5750
1402/02/06, 5250, 5710
1402/02/05, 5190, 5480
1402/02/04, 5140, 5300
1402/01/30, 5122, 5437
1402/01/29, 5159, 5395
1402/01/28, 5090, 5281
1402/01/27, 5036, 5250
1402/01/26, 4980, 5122
1402/01/22, 4660, 4949
1402/01/21, 4663, 5100
1402/01/20, 4931, 5200
1402/01/19, 4710, 5032
1402/01/16, 4562, 4766
1402/01/15, 4538, 4778
1402/01/14, 4500, 4689
1402/01/09, 4541, 4729
1402/01/08, 4522, 4700
1402/01/07, 4406, 4640
1402/01/06, 4411, 4710
1402/01/05, 4614, 4800
1401/12/28, 4600, 4900
1401/12/27, 4521, 4785
1401/12/24, 4300, 4514
1401/12/23, 4161, 4340
1401/12/22, 4174, 4372
1401/12/21, 4163, 4400
1401/12/20, 4171, 4450
1401/12/16, 4120, 4500
1401/12/15, 4150, 4456
1401/12/14, 4336, 4547
1401/12/13, 4051, 4288
1401/12/10, 3850, 4100
1401/12/02, 5780, 6230
1401/12/01, 5900, 6240
1401/11/30, 5710, 5980
1401/11/26, 5570, 5840
1401/11/25, 5510, 5800
1401/11/24, 5400, 5850
1401/11/23, 5430, 5760
1401/11/19, 5420, 5700
1401/11/18, 5440, 5690
1401/11/17, 5240, 5630
1401/11/16, 5180, 5560
1401/11/12, 5130, 5570
1401/11/11, 5040, 5260
1401/11/10, 4790, 5220
1401/11/09, 5120, 5410
1401/11/08, 5380, 5750
1401/11/05, 5680, 6160
1401/11/04, 5950, 6210
1401/11/03, 6000, 6560
1401/11/02, 6170, 6570
1401/11/01, 6010, 6510
1401/10/28, 6020, 6310
1401/10/27, 5650, 6060
1401/10/26, 5580, 5740
1401/10/24, 5380, 5610
1401/10/21, 5400, 5650
1401/10/20, 5430, 5800
1401/10/19, 5520, 5700
1401/10/18, 5550, 5770
1401/10/17, 5480, 5630
1401/10/14, 5380, 5600
1401/10/13, 5530, 5950
1401/10/12, 5640, 5960
1401/10/11, 5700, 6000
1401/10/10, 5800, 6080
1401/10/07, 5810, 6040
1401/10/05, 5770, 5780
1401/09/30, 5500, 5710
1401/09/29, 5380, 5630
1401/09/28, 5300, 5550
1401/09/27, 5310, 5540
1401/09/26, 5080, 5360
1401/09/23, 5010, 5190
1401/09/22, 5080, 5280
1401/09/21, 5020, 5230
1401/09/20, 4930, 5140
1401/09/19, 4800, 5040
1401/09/16, 4802, 5080
1401/09/15, 4763, 4900
1401/09/14, 4624, 4839
1401/09/13, 4601, 4800
1401/09/12, 4660, 4900
1401/09/09, 4770, 4970
1401/09/08, 4550, 4836
1401/09/07, 4520, 4680
1401/09/06, 4470, 4629
1401/09/05, 4457, 4610
1401/09/02, 4477, 4639
1401/09/01, 4480, 4700
1401/08/30, 4466, 4700
1401/08/29, 4450, 4630
1401/08/28, 4348, 4620
1401/08/25, 4430, 4680
1401/08/24, 4461, 4642
1401/08/23, 4505, 4729
1401/08/22, 4514, 4710
1401/08/21, 4450, 4680
1401/08/18, 4250, 4600
1401/08/17, 4315, 4564
1401/08/16, 4216, 4421
1401/08/15, 4100, 4300
1401/08/14, 4066, 4215
1401/08/11, 4020, 4170
1401/08/10, 4131, 4288
1401/08/09, 3901, 4147
1401/08/08, 3936, 4070
1401/08/07, 4023, 4276
1401/08/04, 4061, 4299
1401/08/03, 4102, 4350
1401/08/02, 4212, 4450
1401/08/01, 4300, 4497
1401/07/30, 4281, 4520
1401/07/27, 4267, 4510
1401/07/26, 4223, 4429
1401/07/25, 4080, 4343
1401/07/24, 4057, 4243
1401/07/23, 4130, 4350
1401/07/20, 4001, 4220
1401/07/19, 4015, 4230
1401/07/18, 4006, 4150
1401/07/17, 3741, 4006
1401/07/16, 3668, 3835
1401/07/12, 3481, 3734
1401/07/11, 3486, 3662
1401/07/10, 3534, 3684
1401/07/09, 3610, 3828
1401/07/06, 3654, 3826
1401/07/04, 3456, 3747
1401/07/02, 3615, 3820
1401/06/30, 3753, 3900
1401/06/29, 3750, 3910
1401/06/28, 3710, 3940
1401/06/27, 3739, 3880
1401/06/23, 3824, 4010
1401/06/22, 3877, 3999
1401/06/21, 3780, 3970
1401/06/20, 3770, 3939
