date, min_price, max_price
1402/02/30, 44650, 47700
1402/02/27, 44000, 46100
1402/02/25, 41900, 44350
1402/02/24, 42500, 44200
1402/02/23, 41350, 43900
1402/02/20, 44100, 50500
1402/02/19, 43300, 49450
1402/02/18, 46400, 47000
1402/02/17, 49150, 52700
1402/02/16, 51400, 54400
1402/02/13, 50100, 53950
1402/02/12, 48750, 52600
1402/02/11, 47600, 50950
1402/02/10, 48250, 53000
1402/02/09, 47050, 50250
1402/02/06, 45300, 48400
1402/02/05, 45500, 47550
1402/02/04, 43100, 46450
1402/01/30, 43550, 46750
1402/01/29, 44200, 46400
1402/01/28, 40150, 44400
1402/01/27, 40500, 42400
1402/01/26, 39600, 41600
1402/01/22, 38050, 39700
1402/01/21, 37800, 40900
1402/01/20, 38450, 39950
1402/01/19, 39050, 41000
1402/01/16, 39100, 41000
1402/01/15, 38800, 43750
1402/01/14, 40900, 40900
1402/01/09, 38250, 38250
1402/01/08, 35750, 35750
1401/12/23, 70550, 74200
1401/12/22, 69350, 74000
1401/12/21, 67550, 71500
1401/12/20, 68600, 72850
1401/12/16, 65550, 69450
1401/12/15, 63300, 67600
1401/12/14, 62600, 64800
1401/12/13, 60850, 63850
1401/12/10, 60000, 62500
1401/12/09, 59850, 61500
1401/12/08, 59800, 62000
1401/12/07, 60700, 65600
1401/12/06, 62000, 64000
1401/12/03, 59100, 61800
1401/12/02, 59200, 63000
1401/12/01, 60000, 62850
1401/11/30, 58650, 60300
1401/11/26, 58000, 60300
1401/11/25, 58800, 61350
1401/11/24, 59700, 61450
1401/11/23, 60000, 61600
1401/11/19, 58650, 61450
1401/11/18, 56500, 61700
1401/11/17, 55950, 60850
1401/11/16, 56050, 59800
1401/11/12, 57500, 59850
1401/11/11, 57000, 60000
1401/11/10, 55900, 59250
1401/11/09, 55500, 59500
1401/11/08, 58750, 61800
1401/11/05, 59000, 62100
1401/11/04, 60500, 63200
1401/11/03, 60700, 64300
1401/11/02, 61600, 64200
1401/11/01, 61500, 66750
1401/10/28, 64350, 67750
1401/10/27, 66200, 70000
1401/10/26, 64550, 67650
1401/10/24, 59000, 64850
1401/10/21, 61450, 64750
1401/10/20, 62500, 64300
1401/10/19, 59700, 63250
1401/10/18, 59300, 61150
1401/10/17, 58000, 59350
1401/10/14, 55100, 59300
1401/10/13, 57400, 61250
1401/10/12, 59100, 62000
1401/10/11, 58200, 63750
1401/10/10, 58100, 60950
1401/10/07, 58100, 60600
1401/10/05, 58550, 62200
1401/10/04, 57200, 59450
1401/10/03, 53550, 58200
1401/09/30, 53550, 55800
1401/09/29, 54000, 56600
1401/09/28, 52150, 54500
1401/09/27, 51700, 54400
1401/09/26, 50500, 54400
1401/09/23, 50300, 54350
1401/09/22, 51250, 54000
1401/09/21, 48250, 51700
1401/09/20, 47900, 49400
