date, min_price, max_price
1402/03/03, 2570, 2699
1402/03/02, 2560, 2665
1402/03/01, 2525, 2651
1402/02/31, 2480, 2635
1402/02/30, 2584, 2750
1402/02/27, 2630, 2747
1402/02/25, 2440, 2652
1402/02/24, 2427, 2659
1402/02/23, 2553, 2614
1402/02/20, 2627, 2902
1402/02/19, 2765, 2765
1402/02/18, 2910, 2910
1402/02/17, 3043, 3190
1402/02/16, 3098, 3333
1402/02/13, 3162, 3380
1402/02/12, 3221, 3221
1402/02/11, 3000, 3071
1402/02/10, 2824, 2962
1402/02/09, 2740, 2949
1402/02/06, 2745, 2936
1402/02/05, 2815, 2871
1402/02/04, 2707, 2825
1402/01/30, 2825, 2985
1402/01/29, 2820, 3015
1402/01/28, 2860, 2995
1402/01/27, 2905, 3050
1402/01/26, 2905, 2905
1402/01/20, 2773, 2773
1402/01/19, 2641, 2641
1402/01/16, 2379, 2547
1402/01/15, 2357, 2436
1402/01/14, 2170, 2363
1402/01/09, 2200, 2300
1402/01/08, 2201, 2262
1402/01/07, 2000, 2170
1402/01/06, 1970, 2097
1402/01/05, 1870, 2009
1401/12/28, 1838, 1952
1401/12/27, 1827, 1930
1401/12/24, 1830, 1882
1401/12/23, 1735, 1850
1401/12/22, 1751, 1837
1401/12/21, 1843, 1843
1401/12/20, 1890, 2051
1401/12/16, 1901, 1990
1401/12/15, 1810, 1960
1401/12/14, 1822, 1932
1401/12/10, 1733, 1733
1401/12/06, 1610, 1671
1401/12/03, 1556, 1594
1401/12/02, 1519, 1519
1401/11/26, 1352, 1488
1401/11/25, 1370, 1480
1401/11/24, 1409, 1449
1401/11/17, 1480, 1520
1401/11/16, 1542, 1658
1401/11/12, 1538, 1690
1401/11/11, 1601, 1738
1401/11/09, 1702, 1702
1401/11/08, 1776, 1900
1401/11/05, 1800, 1881
1401/11/04, 1720, 1799
1401/11/03, 1640, 1717
1401/11/02, 1583, 1639
1401/11/01, 1431, 1581
1401/10/28, 1451, 1510
1401/10/24, 1410, 1439
1401/10/21, 1371, 1371
1401/10/20, 1306, 1306
1401/10/19, 1244, 1244
1401/10/18, 1186, 1186
