date, min_price, max_price
1402/03/03, 2550, 2650
1402/03/02, 2553, 2670
1402/03/01, 2550, 2625
1402/02/31, 2437, 2604
1402/02/30, 2433, 2615
1402/02/27, 2391, 2560
1402/02/25, 2397, 2590
1402/02/24, 2456, 2600
1402/02/23, 2585, 2610
1402/02/20, 2660, 2860
1402/02/19, 2798, 2832
1402/02/18, 2945, 2945
1402/02/17, 3086, 3246
1402/02/16, 3150, 3284
1402/02/13, 3010, 3133
1402/02/12, 2907, 3042
1402/02/11, 2859, 3032
1402/02/10, 2794, 2922
1402/02/09, 2732, 2850
1402/02/06, 2732, 2899
1402/02/05, 2773, 2906
1402/02/04, 2701, 2829
1402/01/30, 2667, 2852
1402/01/29, 2657, 2752
1402/01/28, 2549, 2715
1402/01/27, 2618, 2751
1402/01/26, 2661, 2769
1402/01/22, 2513, 2719
1402/01/21, 2465, 2669
1402/01/20, 2455, 2555
1402/01/19, 2376, 2441
1402/01/16, 2281, 2327
1402/01/15, 2152, 2257
1402/01/14, 2054, 2260
1402/01/09, 2100, 2199
1402/01/08, 2093, 2168
1402/01/07, 1922, 2083
1402/01/06, 1926, 2063
1402/01/05, 1951, 2076
1401/12/28, 1919, 2004
1401/12/27, 1870, 1915
1401/12/24, 1780, 1834
1401/12/23, 1712, 1790
1401/12/22, 1669, 1790
1401/12/21, 1696, 1760
1401/12/20, 1743, 1874
1401/12/16, 1778, 1874
1401/12/15, 1789, 1855
1401/12/14, 1829, 1915
1401/12/13, 1743, 1918
1401/12/10, 1770, 1840
1401/12/09, 1665, 1759
1401/12/08, 1565, 1684
1401/12/07, 1523, 1632
1401/12/06, 1532, 1556
1401/12/03, 1450, 1513
1401/12/02, 1458, 1536
1401/12/01, 1401, 1471
1401/11/30, 1373, 1429
1401/11/26, 1380, 1427
1401/11/25, 1406, 1489
1401/11/24, 1455, 1520
1401/11/23, 1470, 1539
1401/11/19, 1503, 1619
1401/11/18, 1470, 1580
1401/11/17, 1470, 1535
1401/10/26, 1620, 1679
1401/10/24, 1560, 1645
1401/10/21, 1562, 1670
1401/10/20, 1560, 1654
1401/10/19, 1571, 1650
1401/10/18, 1598, 1638
1401/10/17, 1515, 1561
1401/10/14, 1470, 1517
1401/10/13, 1487, 1562
1401/10/12, 1449, 1489
1401/10/11, 1391, 1485
1401/10/10, 1452, 1495
1401/10/07, 1471, 1544
1401/10/05, 1477, 1519
1401/10/04, 1478, 1530
1401/10/03, 1463, 1518
1401/09/30, 1434, 1485
1401/09/29, 1418, 1484
1401/09/28, 1412, 1498
1401/09/27, 1364, 1451
1401/09/26, 1347, 1400
1401/09/23, 1347, 1385
1401/09/22, 1338, 1390
1401/09/21, 1278, 1341
1401/09/20, 1259, 1297
1401/09/19, 1248, 1295
1401/09/16, 1289, 1356
1401/09/14, 1330, 1366
1401/09/13, 1340, 1395
1401/09/12, 1346, 1378
1401/09/09, 1302, 1383
1401/09/08, 1291, 1339
1401/09/07, 1274, 1315
1401/09/06, 1283, 1330
1401/09/05, 1287, 1338
1401/09/02, 1289, 1327
1401/09/01, 1258, 1320
1401/08/30, 1260, 1305
1401/08/29, 1240, 1270
1401/08/28, 1191, 1251
1401/08/25, 1229, 1259
1401/08/24, 1219, 1260
1401/08/23, 1204, 1263
1401/08/22, 1225, 1278
1401/08/21, 1217, 1288
1401/08/18, 1206, 1267
1401/08/17, 1210, 1320
1401/08/16, 1231, 1278
1401/08/15, 1178, 1228
1401/08/14, 1123, 1179
1401/08/11, 1102, 1139
1401/08/10, 1126, 1157
1401/08/09, 1078, 1131
1401/08/08, 1052, 1100
1401/08/07, 1050, 1129
1401/08/04, 1100, 1150
1401/08/03, 1136, 1196
1401/08/02, 1144, 1176
1401/07/27, 1166, 1196
1401/07/26, 1166, 1206
1401/07/25, 1160, 1195
1401/07/24, 1142, 1194
1401/07/23, 1182, 1240
1401/07/20, 1201, 1225
1401/07/19, 1199, 1239
1401/07/18, 1177, 1219
1401/07/17, 1159, 1219
1401/07/16, 1197, 1234
1401/07/12, 1190, 1228
1401/07/11, 1181, 1223
1401/07/10, 1189, 1230
1401/07/09, 1209, 1270
1401/07/06, 1243, 1281
1401/07/04, 1154, 1225
1401/07/02, 1161, 1217
1401/06/30, 1203, 1241
1401/06/29, 1202, 1249
1401/06/28, 1230, 1267
1401/06/27, 1230, 1260
1401/06/23, 1250, 1315
1401/06/22, 1251, 1310
1401/06/21, 1245, 1290
1401/06/20, 1238, 1275
1401/06/19, 1237, 1285
1401/06/16, 1285, 1322
1401/06/15, 1310, 1368
1401/06/14, 1330, 1373
1401/06/13, 1302, 1354
1401/06/12, 1301, 1340
1401/06/09, 1338, 1362
1401/06/08, 1326, 1360
1401/06/07, 1330, 1378
1401/06/06, 1325, 1380
1401/06/05, 1349, 1436
1401/06/02, 1365, 1425
1401/06/01, 1304, 1381
1401/05/31, 1300, 1360
1401/05/30, 1321, 1381
1401/05/29, 1322, 1381
1401/05/26, 1300, 1357
