date, min_price, max_price
1402/03/03, 7730, 8060
1402/03/02, 7580, 7990
1402/03/01, 7550, 7880
1402/02/31, 7450, 7770
1402/02/30, 7520, 8030
1402/02/27, 7810, 8000
1402/02/25, 7740, 8200
1402/02/24, 7790, 8120
1402/02/23, 7450, 7980
1402/02/20, 7800, 8450
1402/02/19, 7570, 8310
1402/02/18, 7800, 8090
1402/02/17, 8230, 8980
1402/02/16, 8710, 9010
1402/02/13, 8750, 9190
1402/02/12, 9040, 9400
1402/02/11, 8910, 9490
1402/02/10, 9090, 9550
1402/02/09, 8600, 9040
1402/02/06, 8350, 8680
1402/02/05, 8400, 8930
1402/02/04, 8460, 8820
1402/01/30, 8440, 8980
1402/01/29, 8400, 8850
1402/01/28, 8310, 8570
1402/01/27, 8380, 8800
1402/01/26, 8140, 8580
1402/01/22, 7900, 8160
1402/01/21, 7880, 8470
1402/01/20, 8320, 8750
1402/01/19, 8150, 8610
1402/01/16, 7870, 8270
1402/01/15, 7900, 8390
1402/01/14, 7960, 8360
1402/01/09, 8250, 8480
1402/01/08, 8250, 8760
1402/01/07, 8160, 8630
1402/01/06, 8350, 8930
1402/01/05, 8350, 8350
1401/12/28, 7890, 7890
1401/12/10, 29020, 30450
1401/12/09, 29670, 30850
1401/12/08, 29600, 31700
1401/12/07, 29210, 31200
1401/12/06, 28900, 29170
1401/12/03, 26020, 28330
1401/12/02, 26000, 26810
1401/12/01, 24390, 25090
1401/11/30, 22620, 24160
1401/11/26, 22360, 23090
1401/11/25, 22800, 23200
1401/11/24, 22920, 23690
1401/11/23, 22990, 23890
1401/11/19, 23100, 23950
1401/11/18, 23000, 23870
1401/11/17, 22600, 23600
1401/11/16, 23050, 24000
1401/11/12, 23700, 24500
1401/11/11, 23890, 24950
1401/11/10, 23000, 24550
1401/11/09, 23250, 24900
1401/11/08, 24300, 26000
1401/11/05, 25030, 26380
1401/11/04, 25880, 27190
1401/11/03, 25830, 27540
1401/11/02, 24580, 26670
1401/11/01, 24500, 25940
1401/10/28, 25060, 25760
1401/10/27, 24870, 26500
1401/10/26, 24680, 25820
1401/10/24, 22750, 24710
1401/10/21, 22690, 23930
1401/10/20, 22960, 23960
1401/10/19, 22310, 22990
1401/10/18, 22160, 23170
1401/10/17, 21200, 22170
1401/10/14, 20900, 21520
1401/10/13, 20900, 21800
1401/10/12, 21250, 22100
1401/10/11, 20180, 21500
1401/10/10, 20170, 21600
1401/10/07, 21680, 21680
1401/10/05, 19830, 20780
1401/10/04, 20150, 20990
1401/10/03, 19250, 20200
1401/09/30, 18710, 19200
1401/09/29, 18860, 19550
1401/09/28, 19400, 19910
1401/09/27, 19550, 20100
1401/09/26, 19190, 19710
1401/09/23, 19790, 20520
1401/09/22, 18980, 20100
1401/09/21, 18150, 19110
1401/09/20, 17600, 18150
1401/09/19, 17410, 18000
1401/09/16, 17650, 18150
1401/09/15, 17670, 18200
1401/09/14, 17410, 17890
1401/09/13, 17240, 17770
1401/09/12, 17330, 17910
1401/09/09, 17050, 17700
1401/09/08, 16760, 17640
1401/09/07, 16650, 16870
1401/09/06, 16520, 16800
1401/09/05, 16620, 17000
1401/09/02, 16900, 17260
1401/09/01, 16950, 17300
1401/08/30, 17180, 17500
1401/08/29, 17100, 17700
1401/08/28, 16920, 17970
1401/08/25, 18000, 18370
1401/08/24, 18000, 18520
1401/08/23, 17610, 18420
1401/08/22, 18070, 18420
1401/08/21, 18100, 19060
1401/08/18, 17150, 18070
1401/08/17, 17430, 18600
1401/08/16, 16700, 18060
1401/08/15, 16500, 17290
1401/08/14, 16440, 16440
1401/08/11, 14390, 15550
1401/08/10, 14400, 14900
1401/08/09, 14420, 14770
1401/08/08, 14200, 14500
1401/08/07, 14000, 14800
1401/08/04, 14140, 15000
1401/08/03, 14800, 15170
1401/08/02, 15230, 15950
1401/08/01, 15770, 16280
1401/07/30, 15950, 16330
1401/07/27, 16080, 16310
1401/07/26, 16130, 16460
1401/07/25, 16080, 16590
1401/07/24, 16050, 16720
1401/07/23, 16540, 16880
1401/07/20, 16460, 16960
1401/07/19, 15800, 16860
1401/07/18, 15770, 16290
1401/07/17, 15840, 16200
1401/07/16, 15900, 16180
1401/07/12, 15840, 16290
1401/07/11, 15870, 16360
1401/07/10, 15880, 16500
1401/07/09, 15790, 16820
1401/07/06, 16380, 16770
1401/07/04, 15830, 16440
1401/07/02, 15830, 17020
1401/06/30, 16950, 17400
1401/06/29, 17030, 17440
1401/06/28, 17000, 17650
1401/06/27, 17370, 17980
1401/06/23, 17420, 17850
1401/06/22, 17250, 17770
1401/06/21, 17300, 17980
1401/06/20, 17200, 17490
1401/06/19, 17240, 17960
1401/06/16, 17550, 17850
1401/06/15, 17790, 18000
1401/06/14, 17860, 18170
1401/06/13, 17840, 18010
1401/06/12, 17800, 18290
1401/06/09, 18120, 18500
1401/06/08, 18100, 18740
1401/06/07, 18260, 18810
1401/06/06, 18240, 18760
1401/06/05, 18300, 18840
1401/06/02, 17990, 18890
1401/06/01, 17950, 18100
1401/05/31, 17840, 18190
1401/05/30, 17800, 18320
1401/05/29, 17870, 18240
1401/05/26, 17990, 18930
1401/05/25, 18210, 18890
1401/05/24, 18550, 19100
1401/05/23, 18870, 19300
1401/05/22, 18730, 19360
1401/05/19, 18180, 18790
1401/05/18, 18350, 18950
1401/05/15, 18300, 18720
1401/05/12, 17840, 18180
1401/05/11, 17660, 18070
1401/05/10, 17680, 18200
1401/05/09, 17530, 18170
1401/05/08, 17710, 18330
1401/05/05, 17100, 17570
1401/05/04, 16410, 16990
1401/04/28, 18260, 18800
1401/04/26, 18000, 18880
1401/04/25, 18500, 19240
1401/04/22, 19060, 19540
1401/04/21, 18580, 19200
1401/04/20, 18460, 19290
1401/04/18, 18300, 18830
1401/04/15, 18750, 19380
1401/04/14, 19510, 19950
1401/04/13, 19430, 20090
1401/04/12, 19590, 20160
1401/04/11, 19840, 20680
1401/04/08, 20690, 21350
1401/04/07, 20730, 21200
1401/04/06, 20210, 21000
1401/04/05, 19500, 20400
1401/04/04, 20030, 20800
1401/04/01, 21100, 21980
1401/03/31, 21500, 22100
1401/03/30, 21800, 22990
