date, min_price, max_price
1402/03/03, 9040, 9340
1402/03/02, 9030, 9340
1402/03/01, 9090, 9450
1402/02/31, 8900, 9320
1402/02/30, 8990, 9420
1402/02/27, 9170, 9390
1402/02/25, 9140, 9500
1402/02/24, 8610, 9360
1402/02/23, 8790, 9180
1402/02/20, 8840, 9280
1402/02/19, 8530, 9220
1402/02/18, 8800, 9190
1402/02/17, 9240, 9780
1402/02/16, 9550, 10120
1402/02/13, 9840, 10380
1402/02/12, 9820, 10400
1402/02/11, 9750, 10210
1402/02/10, 9840, 10490
1402/02/09, 10170, 10320
1402/02/04, 9700, 10170
1402/01/30, 9400, 9710
1402/01/29, 9390, 9390
1402/01/28, 9000, 9130
1402/01/27, 8610, 8700
1402/01/26, 8200, 8450
1402/01/22, 7760, 8200
1402/01/21, 7790, 8450
1402/01/20, 7950, 8360
1402/01/19, 7980, 8050
1402/01/16, 7400, 7930
1402/01/15, 7320, 7590
1402/01/14, 7090, 7260
1402/01/09, 6800, 6970
1402/01/08, 6480, 6830
1402/01/07, 6310, 6600
1402/01/06, 6450, 6620
1402/01/05, 6500, 6680
1401/12/28, 6440, 6770
1401/12/27, 6350, 6660
1401/12/24, 6270, 6400
1401/12/23, 6260, 6400
1401/12/22, 6280, 6410
1401/12/21, 6210, 6420
1401/12/20, 6300, 6690
1401/12/16, 6310, 6560
1401/12/15, 6400, 6520
1401/12/14, 6360, 6520
1401/12/13, 6330, 6480
1401/12/10, 6360, 6550
1401/12/09, 6350, 6610
1401/12/08, 6420, 6800
1401/12/07, 6480, 7050
1401/12/06, 6620, 6880
1401/12/03, 6280, 6630
1401/12/02, 6390, 6610
1401/12/01, 6330, 6330
1401/11/30, 5900, 6210
1401/11/26, 5830, 6000
1401/11/25, 5830, 6180
1401/11/24, 6000, 6180
1401/11/23, 5960, 6340
1401/11/19, 6050, 6160
1401/11/18, 6080, 6200
1401/11/17, 5930, 6170
1401/11/16, 6010, 6200
1401/11/12, 6000, 6200
1401/11/11, 6060, 6300
1401/11/10, 5940, 6250
1401/11/09, 6220, 6310
1401/11/08, 6340, 6770
1401/11/05, 6490, 6780
1401/11/04, 6370, 6660
1401/11/03, 6140, 6400
1401/11/02, 5930, 6250
1401/11/01, 5900, 6060
1401/10/28, 5530, 5900
1401/10/27, 5560, 5790
1401/10/26, 5500, 5750
1401/10/24, 5450, 5650
1401/10/21, 5460, 5660
1401/10/20, 5370, 5600
1401/10/19, 5270, 5480
1401/10/18, 5150, 5360
1401/10/17, 5000, 5220
1401/10/14, 4970, 5150
1401/10/13, 5000, 5320
1401/10/12, 5180, 5350
1401/10/11, 5000, 5360
1401/10/10, 4900, 5320
1401/10/07, 5085, 5085
1401/10/05, 4778, 4900
1401/10/04, 4740, 4864
1401/10/03, 4440, 4702
1401/09/30, 4421, 4515
1401/09/29, 4420, 4539
1401/09/28, 4402, 4600
1401/09/27, 4450, 4634
1401/09/26, 4405, 4550
1401/09/23, 4500, 4630
1401/09/22, 4318, 4549
1401/09/21, 4250, 4410
1401/09/20, 4252, 4327
1401/09/19, 4152, 4337
1401/09/16, 4200, 4364
1401/09/15, 4271, 4425
1401/09/14, 4276, 4438
1401/09/13, 4311, 4410
1401/09/12, 4371, 4439
1401/09/09, 4350, 4430
1401/09/08, 4340, 4440
1401/09/07, 4380, 4488
1401/09/06, 4331, 4520
1401/09/05, 4353, 4550
1401/09/02, 4470, 4680
1401/09/01, 4590, 4710
1401/08/30, 4650, 4650
1401/07/09, 16800, 17450
1401/07/06, 17200, 17590
1401/07/04, 17000, 17640
1401/07/02, 16880, 17670
1401/06/30, 17120, 17500
1401/06/29, 17280, 17780
1401/06/28, 17300, 17780
1401/06/27, 17190, 17760
1401/06/23, 17100, 17980
