date, min_price, max_price
1402/02/30, 5530, 5930
1402/02/27, 5700, 5940
1402/02/25, 5650, 6000
1402/02/24, 5600, 5840
1402/02/23, 5360, 5760
1402/02/20, 5470, 6130
1402/02/19, 5350, 5890
1402/02/18, 5510, 5530
1402/02/17, 5850, 6280
1402/02/16, 6140, 6650
1402/02/13, 6380, 7100
1402/02/10, 6750, 7030
1402/02/09, 6410, 6660
1402/02/06, 5910, 6370
1402/02/05, 5670, 5970
1402/02/04, 5360, 5720
1402/01/30, 5430, 5610
1402/01/29, 5490, 5750
1402/01/28, 5410, 5700
1402/01/27, 5470, 5760
1402/01/26, 5570, 5900
1402/01/22, 5463, 5697
1402/01/21, 5458, 5463
1402/01/20, 5106, 5106
1402/01/19, 4772, 4772
1402/01/16, 4558, 4558
1401/12/20, 39180, 40770
1401/12/16, 38030, 39900
1401/12/15, 38010, 39580
1401/12/14, 39510, 41950
1401/12/13, 39970, 42190
1401/12/10, 40200, 43500
1401/12/09, 40010, 41570
1401/12/08, 40000, 42300
1401/12/07, 39940, 42730
1401/12/06, 38500, 39970
1401/12/03, 35510, 38060
1401/12/02, 36380, 37370
1401/12/01, 33330, 35050
1401/11/30, 32000, 33130
1401/11/26, 31950, 33200
1401/11/25, 31320, 32240
1401/11/24, 31400, 32190
1401/11/23, 31500, 32300
1401/11/19, 31670, 32500
1401/11/18, 31870, 32700
1401/11/17, 31000, 32570
1401/11/16, 31050, 31980
1401/11/12, 30860, 31630
1401/11/11, 30910, 32500
1401/11/10, 30350, 31980
1401/11/09, 30310, 32290
1401/11/08, 31600, 33110
1401/11/05, 32160, 33790
1401/11/04, 32900, 34000
1401/11/03, 33010, 34350
1401/11/02, 31010, 32860
1401/11/01, 31000, 32500
1401/10/28, 31950, 33000
1401/10/27, 31810, 33290
1401/10/26, 32700, 33500
1401/10/24, 31900, 33200
1401/10/21, 31800, 33370
1401/10/20, 32400, 33700
1401/10/19, 31500, 32780
1401/10/18, 31070, 32700
1401/10/17, 30040, 31100
1401/10/14, 29900, 30290
1401/10/13, 30000, 31170
1401/10/12, 29590, 30850
1401/10/11, 28920, 31000
1401/10/10, 30690, 31660
1401/10/07, 32500, 33390
1401/10/05, 31540, 32510
1401/10/04, 31900, 34140
1401/10/03, 31500, 33230
1401/09/30, 30470, 31600
1401/09/29, 30410, 31980
1401/09/28, 30440, 32000
1401/09/27, 29800, 31500
1401/09/26, 29770, 32200
1401/09/23, 28900, 30750
1401/09/22, 27050, 29370
1401/09/21, 26900, 27890
1401/09/20, 25980, 27750
1401/09/19, 25520, 26450
1401/09/16, 24950, 25990
1401/09/15, 25000, 25480
1401/09/14, 24970, 25400
1401/09/13, 24960, 25400
1401/09/12, 24750, 25450
1401/09/09, 24300, 25160
1401/09/08, 24040, 25000
1401/09/07, 24410, 24700
1401/09/06, 24350, 24700
1401/09/05, 24150, 24550
1401/09/02, 24050, 24500
1401/09/01, 23690, 24480
1401/08/30, 23900, 24600
1401/08/29, 22990, 24080
1401/08/28, 22810, 24100
1401/08/25, 23510, 24220
1401/08/24, 23560, 24440
1401/08/23, 23510, 24850
1401/08/22, 24370, 25180
1401/08/21, 24610, 25500
1401/08/18, 22950, 24680
1401/08/17, 23360, 25780
1401/08/16, 22650, 24780
1401/08/15, 22760, 23800
1401/08/14, 22000, 22630
1401/08/11, 20800, 21520
1401/08/10, 20000, 21090
1401/08/09, 19550, 20200
1401/08/08, 19040, 19880
1401/08/07, 19020, 20000
1401/08/04, 18740, 20110
1401/08/03, 19500, 20490
1401/08/02, 19580, 20940
1401/08/01, 20700, 22090
1401/07/30, 21660, 22800
1401/07/27, 22280, 22500
1401/07/26, 22560, 22990
1401/07/25, 22360, 22890
1401/07/24, 22500, 22970
1401/07/23, 22770, 23200
1401/07/20, 21610, 22860
1401/07/19, 21300, 21780
1401/07/18, 21290, 21680
1401/07/17, 21210, 22100
1401/07/16, 21610, 22250
1401/07/12, 21400, 21960
1401/07/11, 21300, 21800
1401/07/10, 21480, 21860
1401/07/09, 21700, 22660
1401/07/06, 21920, 22750
1401/07/04, 21720, 22900
1401/07/02, 21760, 22620
1401/06/30, 22600, 23340
1401/06/29, 22900, 23230
