date, min_price, max_price
1402/03/03, 9820, 10410
1402/03/02, 9560, 10300
1402/03/01, 9750, 10240
1402/02/31, 9730, 9730
1402/02/30, 9100, 9100
1402/02/27, 8280, 8780
1402/02/25, 8020, 8750
1402/02/24, 7750, 8680
1402/02/23, 8100, 8390
1402/02/20, 8440, 9450
1402/02/19, 9020, 9490
1402/02/18, 9690, 9690
1402/02/17, 10330, 10950
1402/02/16, 10600, 11740
1402/02/13, 10600, 10990
1402/02/12, 9810, 10530
1402/02/11, 9630, 10390
1402/02/10, 9550, 10480
1402/02/09, 9730, 10500
1402/02/06, 9620, 10710
1402/02/05, 9640, 10040
1402/02/04, 9100, 9530
1402/01/30, 8110, 9030
1402/01/29, 8240, 8650
1402/01/28, 8000, 8390
1402/01/27, 8010, 8770
1402/01/26, 8000, 8430
1402/01/22, 7500, 8050
1402/01/21, 7510, 8230
1402/01/20, 7510, 8080
1402/01/19, 7570, 7970
1402/01/16, 7200, 7770
1402/01/15, 7110, 7770
1402/01/14, 7210, 7660
1402/01/09, 7530, 7990
1402/01/08, 7310, 7520
1402/01/07, 6600, 7140
1402/01/06, 6600, 6800
1402/01/05, 6690, 6970
1401/12/28, 6650, 7160
1401/12/27, 6710, 7050
1401/12/24, 6520, 6890
1401/12/23, 6350, 6640
1401/12/22, 6260, 6600
1401/12/21, 6200, 6700
1401/12/20, 6430, 7060
1401/12/16, 6730, 7020
1401/12/15, 6710, 6950
1401/12/14, 6950, 7200
1401/12/13, 6890, 7300
1401/12/10, 6900, 7370
1401/12/09, 6790, 7090
1401/12/08, 6790, 7250
1401/12/07, 6800, 7550
1401/12/06, 6880, 7100
1401/12/03, 6490, 6990
1401/12/02, 6710, 7090
1401/12/01, 6280, 6660
1401/11/30, 6060, 6350
1401/11/26, 6030, 6510
1401/11/25, 6240, 6540
1401/11/24, 6500, 6930
1401/11/23, 6640, 7240
1401/11/19, 7020, 7370
1401/11/18, 6940, 7400
1401/11/17, 6900, 7380
1401/11/16, 7050, 7540
1401/11/12, 6520, 7230
1401/11/11, 6500, 6830
1401/11/10, 6210, 6850
1401/11/09, 6660, 7000
1401/11/08, 7080, 7610
1401/11/05, 7500, 8120
1401/11/04, 7560, 8270
1401/11/03, 7450, 8400
1401/11/02, 7600, 7990
1401/11/01, 7250, 7510
1401/10/28, 6450, 7210
1401/10/27, 6450, 7140
1401/10/12, 8000, 8590
1401/10/11, 7680, 8420
1401/10/10, 8140, 8660
1401/10/07, 8500, 8900
1401/10/05, 8040, 8600
1401/10/04, 8070, 8470
1401/10/03, 8100, 8400
1401/09/30, 7990, 8380
1401/09/29, 7940, 8300
1401/09/28, 8080, 8490
1401/09/27, 8200, 8900
1401/09/26, 8370, 8830
1401/09/23, 8040, 8590
1401/09/22, 7800, 8290
1401/09/21, 7670, 8030
1401/09/20, 7660, 8080
1401/09/19, 7710, 8120
1401/09/16, 7590, 8190
1401/09/15, 7920, 8490
1401/09/14, 7730, 8470
1401/09/13, 7770, 8280
1401/09/12, 7650, 8010
1401/09/09, 7020, 7570
1401/09/08, 7020, 7180
1401/09/07, 6980, 7140
1401/09/06, 6950, 7090
1401/09/05, 6850, 7120
1401/09/02, 6780, 7050
1401/09/01, 6720, 7030
1401/08/30, 6750, 7120
1401/08/29, 6890, 7180
1401/08/28, 6850, 7240
1401/08/25, 7000, 7290
1401/08/24, 6810, 7200
1401/08/23, 6650, 7010
1401/08/22, 6930, 7180
1401/08/21, 7050, 7400
1401/08/18, 6730, 7140
1401/08/17, 6820, 7520
1401/08/16, 6900, 7440
1401/08/15, 6720, 7090
1401/08/14, 6250, 6670
1401/08/11, 6060, 6440
1401/08/10, 6120, 6470
1401/08/09, 5940, 6270
1401/08/08, 5820, 6190
1401/08/07, 5910, 6450
1401/08/04, 6280, 6800
1401/08/03, 6580, 7050
1401/08/02, 6850, 7180
1401/08/01, 6930, 7270
1401/07/30, 6960, 7290
1401/07/27, 6870, 7180
1401/07/26, 6850, 7140
1401/07/25, 6900, 7200
1401/07/24, 7000, 7630
1401/07/23, 6760, 7440
1401/07/20, 6780, 7160
1401/07/19, 6780, 7130
1401/07/18, 6800, 7140
1401/07/17, 6820, 7100
1401/07/16, 6940, 7490
1401/07/12, 7000, 7240
1401/07/11, 7020, 7600
1401/07/10, 7010, 7500
1401/07/09, 6940, 7510
1401/07/06, 7110, 7570
1401/07/04, 6610, 7400
1401/07/02, 6780, 7450
1401/06/30, 7160, 7520
1401/06/29, 7390, 7880
1401/06/28, 7790, 8180
1401/06/27, 7600, 8240
1401/06/23, 7700, 8060
1401/06/22, 7160, 7850
1401/06/21, 7240, 7500
1401/06/20, 7220, 7620
1401/06/19, 7010, 7470
1401/06/16, 7210, 7500
1401/06/15, 7190, 7450
1401/06/14, 7300, 7580
1401/06/13, 7270, 7540
1401/06/12, 7360, 7560
1401/06/09, 7520, 7900
1401/06/08, 7590, 7900
1401/06/07, 7310, 7740
1401/06/06, 7270, 7890
1401/06/02, 7590, 7830
1401/06/01, 7270, 7690
1401/05/31, 7250, 7580
1401/05/30, 7230, 7640
1401/05/29, 7480, 7990
1401/05/26, 7600, 7960
1401/05/25, 7500, 7950
1401/05/24, 7620, 8100
1401/05/23, 7790, 8170
1401/05/22, 7820, 8320
1401/05/19, 7720, 8240
1401/05/18, 7930, 8290
1401/05/15, 8130, 8480
1401/05/12, 8110, 8450
1401/05/11, 7940, 8650
1401/05/10, 7720, 8260
1401/05/09, 7790, 8130
1401/05/08, 7900, 8440
1401/05/05, 7660, 8100
1401/05/04, 7500, 7730
1401/05/03, 6940, 7510
1401/05/02, 7100, 7570
1401/05/01, 7270, 7570
1401/04/29, 7200, 7530
1401/04/28, 7350, 7730
1401/04/26, 7460, 8100
1401/04/25, 7180, 7920
1401/04/20, 7450, 7980
1401/04/18, 7840, 7840
1401/04/15, 8230, 8650
1401/04/14, 8540, 9000
1401/04/13, 8700, 9170
1401/04/12, 8740, 9210
1401/04/11, 9080, 9500
1401/04/08, 9370, 10340
1401/04/07, 9500, 9940
1401/04/06, 9470, 9470
1401/04/05, 9930, 10250
1401/04/04, 10400, 10960
1401/04/01, 10690, 11580
1401/03/31, 10830, 11310
1401/03/30, 10000, 10860
1401/03/29, 9590, 10400
1401/03/28, 9650, 10230
1401/03/25, 9450, 10260
1401/03/24, 9560, 9830
