date, min_price, max_price
1402/03/01, 14930, 15170
1402/02/31, 14850, 15390
1402/02/30, 14910, 15500
1402/02/27, 15140, 15440
1402/02/25, 14910, 15560
1402/02/24, 14520, 15560
1402/02/23, 14700, 15060
1402/02/20, 14940, 15700
1402/02/19, 15270, 15980
1402/02/18, 15780, 16000
1402/02/17, 15470, 16960
1402/02/16, 15750, 16910
1402/02/13, 15540, 16580
1402/02/12, 15810, 16640
1402/02/11, 15720, 16850
1402/02/10, 16100, 16550
1402/02/09, 15750, 16480
1402/02/06, 15300, 16140
1402/02/05, 15260, 16000
1402/02/04, 15270, 15900
1402/01/30, 15510, 16170
1402/01/29, 16000, 16560
1402/01/28, 16000, 16310
1402/01/27, 15500, 15960
1402/01/26, 15680, 15700
1402/01/22, 14200, 15270
1402/01/21, 14300, 14550
1402/01/20, 14440, 14440
1402/01/19, 14310, 14310
1402/01/16, 14240, 14240
1402/01/15, 14150, 14150
1402/01/14, 13390, 14030
1402/01/09, 13850, 13930
1402/01/08, 13510, 13670
1402/01/07, 12800, 13480
1402/01/06, 12610, 13150
1402/01/05, 12140, 13290
1401/12/28, 12560, 13150
1401/12/27, 12920, 13270
1401/12/24, 12200, 12860
1401/12/23, 11970, 12290
1401/12/22, 12000, 12430
1401/12/21, 12050, 12650
1401/12/20, 12490, 12490
1401/12/16, 12280, 12280
1401/12/10, 12190, 12190
1401/12/09, 12010, 12010
1401/12/08, 11860, 11860
1401/12/07, 11720, 11720
1401/12/06, 11600, 11600
1401/12/03, 11470, 11470
1401/12/02, 11370, 11370
1401/12/01, 10760, 11210
1401/11/30, 10410, 10690
1401/11/26, 10500, 10750
1401/11/25, 10470, 10730
1401/11/24, 10410, 10710
1401/11/23, 10300, 10720
1401/11/19, 10460, 10700
1401/11/18, 10510, 10840
1401/11/17, 10430, 10700
1401/11/16, 10280, 10830
1401/11/12, 10370, 10770
1401/11/11, 10410, 10880
1401/11/10, 10480, 10840
1401/11/09, 10610, 10840
1401/11/08, 10690, 11000
1401/11/05, 10770, 11300
1401/11/04, 10930, 11360
1401/11/03, 11050, 11820
1401/11/02, 11050, 11600
1401/11/01, 11000, 11820
1401/10/28, 11050, 11390
1401/10/27, 10850, 11170
1401/10/26, 10800, 11180
1401/10/24, 10640, 10980
1401/10/21, 10650, 11250
1401/10/19, 10450, 10880
1401/10/18, 10440, 10880
1401/10/17, 10170, 10800
1401/10/14, 10100, 10280
1401/10/13, 10130, 10400
1401/10/12, 9980, 10460
1401/10/11, 9950, 10450
1401/10/10, 9950, 10730
1401/10/07, 10650, 10730
1401/10/05, 10300, 10550
1401/10/04, 10000, 10440
1401/10/03, 9760, 10170
1401/09/30, 9680, 9880
1401/09/29, 9660, 9920
1401/09/28, 9690, 10030
1401/09/27, 9760, 10080
1401/09/26, 9770, 10070
1401/09/23, 9800, 10190
1401/09/22, 9830, 10290
1401/09/21, 9640, 10050
1401/09/20, 9850, 10100
1401/09/19, 9890, 10800
1401/09/16, 10130, 10460
1401/09/15, 9750, 9980
1401/09/14, 9160, 9610
1401/09/08, 16300, 16690
1401/09/07, 16270, 16760
1401/09/06, 16200, 16740
1401/09/05, 16140, 16750
1401/09/02, 16270, 16660
1401/09/01, 16130, 16700
1401/08/30, 16000, 16960
1401/08/24, 16410, 16870
1401/08/23, 16300, 16900
1401/08/22, 16420, 17000
1401/08/21, 16680, 17300
1401/08/18, 16370, 17000
1401/08/17, 16820, 17500
1401/08/16, 16840, 17550
1401/08/15, 16630, 17000
1401/08/14, 16200, 17350
1401/08/11, 16100, 16730
1401/08/10, 16300, 16750
1401/08/09, 16150, 16870
1401/08/08, 15960, 16900
1401/08/07, 16010, 16850
1401/08/04, 16100, 16300
1401/08/03, 16120, 16390
1401/08/02, 16320, 16960
1401/08/01, 16500, 16990
1401/07/30, 16470, 17110
1401/07/27, 16600, 17020
1401/07/26, 16550, 17100
1401/07/25, 16550, 16780
1401/07/24, 16470, 16870
1401/07/23, 16480, 16980
1401/07/20, 16700, 17200
1401/07/19, 16650, 17050
1401/07/18, 16590, 17090
1401/07/17, 16580, 17090
1401/07/16, 16610, 17000
1401/07/12, 16700, 17140
1401/07/11, 16640, 16820
1401/07/10, 16690, 17100
1401/07/09, 16740, 17390
1401/07/06, 16800, 17500
1401/07/04, 16840, 17600
1401/07/02, 17170, 17490
1401/06/30, 17400, 17900
1401/06/29, 17560, 18090
1401/06/28, 17750, 18030
1401/06/27, 17840, 18280
1401/06/23, 18050, 18300
1401/06/22, 18190, 18500
1401/06/21, 18100, 18300
1401/06/20, 18150, 18390
1401/06/19, 18240, 18670
1401/06/16, 18300, 18510
1401/06/15, 18420, 18980
1401/06/14, 18600, 18970
1401/06/13, 18370, 18990
1401/06/12, 18300, 18950
1401/06/09, 19120, 19550
1401/06/08, 18800, 19270
1401/06/07, 18150, 18600
1401/06/06, 18300, 18950
1401/06/05, 17790, 18430
1401/06/02, 17990, 18410
1401/06/01, 17940, 18330
1401/05/31, 17900, 18450
1401/05/30, 17890, 18310
1401/05/29, 17960, 18330
1401/05/26, 17910, 18590
1401/05/25, 18000, 18310
1401/05/24, 17920, 18390
1401/05/23, 18110, 18650
1401/05/22, 18250, 18690
1401/05/19, 18160, 18590
1401/05/18, 18210, 18590
1401/05/15, 18230, 18770
1401/05/12, 18170, 18800
1401/05/11, 18120, 18770
1401/05/10, 18080, 18640
1401/05/09, 18000, 18480
1401/05/08, 18200, 18790
1401/05/05, 18160, 19000
1401/05/04, 18070, 18990
1401/05/03, 18120, 18490
1401/05/02, 18340, 18790
1401/05/01, 18750, 19080
1401/04/29, 18800, 19580
1401/04/28, 18450, 19430
1401/04/26, 18510, 19500
1401/04/14, 20220, 20580
1401/04/13, 20180, 20610
1401/04/12, 20140, 20650
1401/04/11, 20310, 20720
1401/04/08, 20210, 20770
1401/04/07, 20270, 20820
1401/04/06, 20100, 20930
1401/04/05, 20020, 20930
1401/04/04, 20350, 21080
1401/04/01, 20510, 21070
1401/03/31, 20760, 21240
1401/03/30, 20660, 21290
1401/03/29, 20650, 20990
1401/03/28, 20500, 21530
1401/03/25, 20800, 21530
1401/03/24, 20760, 21700
1401/03/23, 21300, 22080
1401/03/22, 20930, 21860
1401/03/21, 20390, 21500
1401/03/18, 20810, 21900
1401/03/17, 20350, 21070
1401/03/16, 20400, 21490
1401/03/11, 20600, 21110
1401/03/10, 20470, 21420
1401/03/09, 20390, 21600
1401/03/08, 20330, 21380
1401/03/07, 20730, 21690
1401/03/04, 20970, 22000
1401/03/03, 22020, 22930
1401/02/31, 22360, 23150
1401/02/28, 22190, 23340
1401/02/27, 22880, 23890
1401/02/26, 22830, 23780
1401/02/25, 22630, 23490
1401/02/24, 22770, 23780
1401/02/21, 23530, 24790
1401/02/20, 22760, 24400
1401/02/19, 23000, 24720
1401/02/18, 24100, 24100
1401/02/17, 23400, 23610
1401/02/12, 21810, 23170
1401/02/11, 21760, 22690
1401/02/10, 21600, 22350
1401/02/07, 21790, 22420
1401/02/06, 21900, 22840
1401/02/05, 21510, 22250
1401/02/04, 21610, 22900
1401/01/31, 22050, 22660
