date, min_price, max_price
1402/02/31, 39180, 41830
1402/02/30, 39900, 43990
1402/02/27, 41810, 43510
1402/02/25, 38510, 42830
1402/02/24, 38100, 40070
1402/02/23, 36660, 41000
1402/02/20, 38840, 43650
1402/02/19, 40700, 44000
1402/02/18, 43760, 43760
1402/02/17, 46870, 48700
1402/02/16, 49360, 54970
1402/02/13, 51500, 57930
1402/02/12, 53800, 55100
1402/02/11, 48730, 51600
1402/02/10, 46510, 49900
1402/02/09, 47660, 50380
1402/02/06, 44100, 47900
1402/02/05, 43800, 46660
1402/02/04, 44110, 49600
1402/01/30, 43250, 48200
1402/01/29, 45050, 45050
1402/01/27, 40500, 42290
1402/01/26, 39530, 39530
1402/01/22, 33400, 37360
1402/01/21, 33010, 37200
1402/01/20, 33600, 35430
1402/01/19, 31380, 33330
1402/01/16, 30190, 31780
1402/01/15, 30750, 32880
1402/01/14, 31000, 32790
1402/01/09, 31000, 32880
1402/01/08, 30060, 31500
1402/01/07, 29520, 30350
1402/01/06, 28870, 31200
1402/01/05, 28910, 31000
1401/12/28, 27940, 29980
1401/12/27, 26990, 28420
1401/12/24, 25950, 27200
1401/12/23, 24900, 26260
1401/12/22, 24900, 26310
1401/12/21, 25000, 26010
1401/12/20, 26410, 28000
1401/12/16, 26100, 27500
1401/12/15, 25420, 26750
1401/12/14, 25430, 26450
1401/12/13, 25660, 26800
1401/12/10, 26500, 28380
1401/12/09, 27000, 28260
1401/12/08, 26600, 28500
1401/12/07, 26500, 29440
1401/12/06, 26920, 27570
1401/12/03, 24650, 26400
1401/12/02, 25550, 26530
1401/12/01, 24000, 24860
1401/11/30, 22460, 24040
1401/11/26, 21960, 22870
1401/11/25, 22490, 23300
1401/11/24, 22800, 23400
1401/11/23, 22470, 23340
1401/11/19, 22900, 23830
1401/11/18, 23040, 24190
1401/11/17, 22500, 23290
1401/11/16, 22900, 24000
1401/11/12, 23310, 24000
1401/11/11, 23900, 24850
1401/11/10, 22690, 25030
1401/11/09, 23780, 26500
1401/11/08, 24510, 26460
1401/11/05, 25200, 27010
1401/11/04, 26600, 28000
1401/11/03, 26800, 28650
1401/11/02, 26570, 28290
1401/11/01, 27290, 29590
1401/10/28, 28370, 29600
1401/10/27, 28250, 30940
1401/10/26, 29200, 31000
1401/10/24, 28570, 30300
1401/10/21, 26300, 29380
1401/10/20, 26800, 28300
1401/10/19, 26040, 27730
1401/10/18, 25670, 27170
1401/10/17, 24800, 25980
1401/10/14, 24000, 26350
1401/10/13, 25060, 26630
1401/10/12, 24670, 26750
1401/10/11, 24550, 26830
1401/10/10, 26290, 27830
1401/10/07, 27440, 28770
1401/10/05, 26410, 27300
1401/10/04, 26500, 27600
1401/10/03, 25500, 27430
1401/09/30, 25500, 26800
1401/09/29, 23500, 25810
1401/09/28, 23780, 24500
1401/09/27, 23800, 24470
1401/09/26, 22860, 23800
1401/09/23, 23530, 23970
1401/09/22, 22500, 24060
1401/09/21, 22120, 22920
1401/09/20, 21650, 22400
1401/09/19, 21530, 22850
1401/09/16, 22610, 23000
1401/09/15, 22600, 23190
1401/09/14, 22550, 23570
1401/09/13, 22720, 23330
1401/09/12, 22450, 23400
1401/09/09, 22280, 23490
1401/09/08, 21900, 23300
1401/09/07, 21650, 22340
1401/09/06, 21680, 22260
1401/09/05, 21750, 22510
1401/09/02, 21700, 22740
1401/09/01, 21650, 22500
1401/08/30, 21790, 22690
1401/08/29, 21230, 22700
1401/08/28, 21460, 22560
1401/08/25, 22570, 23490
1401/08/24, 22770, 23400
1401/08/23, 22500, 23780
1401/08/22, 23110, 24000
