date, min_price, max_price
1402/03/03, 16306, 16307
1402/03/02, 16291, 16293
1402/03/01, 16280, 16282
1402/02/31, 16269, 16271
1402/02/30, 16258, 16260
1402/02/27, 16231, 16233
1402/02/25, 16208, 16210
1402/02/24, 16193, 16195
1402/02/23, 16183, 16185
1402/02/20, 16155, 16157
1402/02/19, 16140, 16142
1402/02/18, 16129, 16131
1402/02/17, 16118, 16120
1402/02/16, 16108, 16110
1402/02/13, 16081, 16085
1402/02/12, 16065, 16067
1402/02/11, 16054, 16056
1402/02/10, 16043, 16045
1402/02/09, 16033, 16035
1402/02/06, 16004, 16006
1402/02/05, 15988, 15990
1402/02/04, 15978, 15980
1402/01/30, 15947, 15950
1402/01/29, 15915, 15917
1402/01/28, 15904, 15906
1402/01/27, 15894, 15895
1402/01/26, 15883, 15885
1402/01/22, 15854, 15861
1402/01/21, 15831, 15833
1402/01/20, 15821, 15823
1402/01/19, 15811, 15813
1402/01/16, 15786, 15790
1402/01/15, 15772, 15774
1402/01/14, 15762, 15764
1402/01/09, 15733, 15737
1402/01/08, 15703, 15705
1402/01/07, 15693, 15695
1402/01/06, 15684, 15687
1402/01/05, 15674, 15676
1401/12/28, 15615, 15647
1401/12/27, 15605, 15607
1401/12/24, 15576, 15584
1401/12/23, 15566, 15568
1401/12/22, 15556, 15558
1401/12/21, 15547, 15549
1401/12/20, 15535, 15537
1401/12/16, 15510, 15512
1401/12/15, 15489, 15491
1401/12/14, 15479, 15481
1401/12/13, 15470, 15472
1401/12/10, 15445, 15447
1401/12/09, 15431, 15433
1401/12/08, 15421, 15423
1401/12/07, 15412, 15414
1401/12/06, 15402, 15404
1401/12/03, 15376, 15378
1401/12/02, 15364, 15366
1401/12/01, 15354, 15356
1401/11/30, 15340, 15342
1401/11/26, 15316, 15318
1401/11/25, 15296, 15298
1401/11/24, 15287, 15289
1401/11/23, 15274, 15276
1401/11/19, 15250, 15252
1401/11/18, 15230, 15232
1401/11/17, 15220, 15222
1401/11/16, 15208, 15210
1401/11/12, 15183, 15185
1401/11/11, 15163, 15165
1401/11/10, 15154, 15156
1401/11/09, 15144, 15146
1401/11/08, 15135, 15137
1401/11/05, 15109, 15111
1401/11/04, 15097, 15099
1401/11/03, 15087, 15089
1401/11/02, 15078, 15080
1401/11/01, 15068, 15070
1401/10/28, 15043, 15045
1401/10/27, 15031, 15033
1401/10/26, 15022, 15024
1401/10/24, 15003, 15004
1401/10/21, 14979, 14981
1401/10/20, 14967, 14969
1401/10/19, 14957, 14959
1401/10/18, 14948, 14950
1401/10/17, 14939, 14941
1401/10/14, 14914, 14916
