date, min_price, max_price
1402/02/31, 19500, 20490
1402/02/30, 19220, 20600
1402/02/27, 19200, 20000
1402/02/25, 19300, 20500
1402/02/24, 19500, 20350
1402/02/23, 19050, 20450
1402/02/20, 19100, 20700
1402/02/19, 19550, 20550
1402/02/18, 20550, 20550
1402/02/17, 21150, 22950
1402/02/16, 21900, 23000
1402/02/13, 22600, 23850
1402/02/12, 23300, 24300
1402/02/11, 22600, 24200
1402/02/10, 23300, 24700
1402/02/09, 23050, 24400
1402/02/06, 23250, 24350
1402/02/05, 23000, 24900
1402/02/04, 23700, 24450
1402/01/30, 22410, 23520
1402/01/29, 21950, 22410
1402/01/28, 20750, 21350
1402/01/27, 19630, 20850
1402/01/26, 19500, 20060
1402/01/22, 19050, 19600
1402/01/21, 19060, 20000
1402/01/20, 19700, 20070
1402/01/19, 18980, 19840
1402/01/16, 18790, 19380
1402/01/15, 18440, 19360
1402/01/14, 18710, 19500
1402/01/09, 18650, 19680
1402/01/08, 18390, 19500
1402/01/07, 19000, 19740
1402/01/06, 18500, 20000
1402/01/05, 19370, 19940
1401/12/28, 19280, 20210
1401/12/27, 19000, 19290
1401/12/24, 17400, 18560
1401/12/23, 17430, 17950
1401/12/22, 17450, 18270
1401/12/21, 18010, 18550
1401/12/20, 18700, 19650
1401/12/16, 19050, 19950
1401/12/15, 19200, 19950
1401/12/14, 19200, 20050
1401/12/13, 19800, 20700
1401/12/10, 19950, 21480
1401/12/09, 20400, 21000
1401/12/08, 19450, 20660
1401/12/07, 19050, 20500
1401/12/06, 19360, 19750
1401/12/03, 18270, 19300
1401/12/02, 18510, 19250
1401/12/01, 17830, 18360
1401/11/30, 17120, 18070
1401/11/26, 16750, 17400
1401/11/25, 16600, 17500
1401/11/24, 16900, 17260
1401/11/23, 16700, 16850
1401/11/19, 16540, 17530
1401/11/18, 17240, 17710
1401/11/17, 17050, 18050
1401/11/16, 17300, 17990
1401/11/12, 17610, 18060
1401/11/11, 17500, 18050
1401/11/10, 16200, 17660
1401/11/09, 16770, 17270
1401/11/08, 17400, 18340
1401/11/05, 17810, 18380
1401/11/04, 17970, 18440
1401/11/03, 18150, 18830
1401/11/02, 17200, 18800
1401/11/01, 17670, 18810
1401/10/28, 18310, 18880
1401/10/27, 18280, 19280
1401/10/26, 18250, 19000
1401/10/24, 17770, 18680
1401/10/21, 18210, 19270
1401/10/20, 18880, 19550
1401/10/19, 18200, 19300
1401/10/18, 18040, 19210
1401/10/17, 17710, 18570
1401/10/14, 16980, 17830
1401/10/13, 16660, 16990
1401/10/12, 15700, 16200
1401/10/11, 15300, 15930
1401/10/10, 14640, 15680
1401/10/07, 14510, 15060
1401/10/05, 13840, 14920
1401/10/04, 14000, 14580
1401/10/03, 13890, 13890
1401/09/30, 13230, 13230
1401/09/21, 24900, 25750
1401/09/20, 23950, 24600
1401/09/19, 24000, 24800
1401/09/16, 24100, 24700
1401/09/15, 23950, 24650
1401/09/14, 24000, 24750
1401/09/13, 24600, 25650
1401/09/12, 23850, 24800
1401/09/09, 23350, 23900
1401/09/08, 23400, 23800
1401/09/07, 23350, 24000
1401/09/06, 23500, 24100
1401/09/05, 23400, 24200
1401/09/02, 23150, 24650
1401/09/01, 22850, 24650
1401/08/30, 23200, 23900
1401/08/29, 23600, 23850
