date, min_price, max_price
1402/02/31, 10620, 11200
1402/02/30, 10790, 11510
1402/02/27, 10720, 11560
1402/02/25, 10730, 11400
1402/02/24, 10220, 11050
1402/02/23, 10220, 11090
1402/02/20, 10760, 12200
1402/02/19, 11420, 12260
1402/02/18, 12270, 12270
1402/02/17, 13010, 14650
1402/02/16, 13300, 14460
1402/02/13, 13490, 14100
1402/02/12, 12600, 13540
1402/02/11, 12370, 12930
1402/02/10, 12490, 13000
1402/02/09, 12310, 12980
1402/02/06, 12260, 13200
1402/02/05, 12830, 13250
1402/02/04, 11760, 12770
1402/01/30, 11710, 12230
1402/01/29, 11710, 12350
1402/01/28, 11330, 12430
1402/01/27, 11650, 12540
1402/01/26, 11570, 12020
1402/01/22, 10940, 11420
1402/01/21, 10310, 11390
1402/01/20, 10250, 10840
1402/01/19, 9680, 10140
1402/01/16, 8950, 9800
1402/01/15, 8990, 9500
1402/01/14, 8700, 9230
1402/01/09, 8980, 9230
1402/01/08, 9030, 9450
1402/01/07, 8650, 9220
1402/01/06, 8680, 9570
1402/01/05, 8900, 9220
1401/12/28, 8500, 9000
1401/12/27, 8200, 8650
1401/12/24, 7760, 8280
1401/12/23, 7680, 8050
1401/12/22, 7520, 8090
1401/12/21, 7620, 7960
1401/12/20, 7930, 8430
1401/12/16, 7700, 8330
1401/12/15, 7820, 8200
1401/12/14, 8140, 8580
1401/12/13, 8120, 8600
1401/12/10, 8510, 9100
1401/12/09, 8940, 9290
1401/12/08, 8260, 9350
1401/12/07, 8450, 8950
1401/12/06, 8370, 8370
1401/12/03, 7190, 8120
1401/12/02, 7330, 7750
1401/12/01, 6910, 7290
1401/11/30, 6690, 7000
1401/11/26, 6490, 7100
1401/11/25, 6620, 7020
1401/11/24, 6970, 7380
1401/11/23, 7250, 8310
1401/11/02, 15050, 16170
1401/11/01, 15300, 16740
1401/10/28, 15270, 16260
1401/10/27, 15100, 15890
1401/10/26, 14510, 15410
1401/10/24, 13950, 14710
1401/10/21, 13880, 15060
1401/10/20, 14200, 14740
1401/10/19, 13530, 14470
1401/10/18, 13510, 14020
1401/10/17, 13000, 13410
1401/10/14, 12780, 13110
1401/10/13, 12750, 13470
1401/10/12, 13030, 13370
1401/10/11, 12680, 13700
1401/10/10, 13030, 13970
1401/10/07, 13280, 14030
1401/10/05, 12900, 13320
1401/10/04, 12960, 13350
1401/10/03, 12670, 13150
1401/09/30, 12510, 12900
1401/09/29, 12600, 13200
1401/09/28, 12700, 13300
1401/09/27, 12740, 13300
1401/09/26, 12520, 12850
1401/09/23, 12400, 13170
1401/09/22, 11850, 12580
1401/09/21, 11460, 11980
1401/09/20, 11140, 11660
1401/09/19, 10920, 11310
1401/09/16, 11190, 11570
1401/09/15, 11270, 11450
1401/09/14, 11350, 11640
1401/09/13, 11310, 11540
1401/09/12, 11310, 11740
1401/09/09, 11390, 11840
1401/09/08, 11160, 11800
1401/09/07, 10820, 11340
1401/09/06, 10850, 11240
1401/09/05, 11150, 11500
1401/09/02, 11150, 11500
1401/09/01, 11000, 11300
1401/08/30, 11010, 11370
1401/08/29, 10980, 11310
1401/08/28, 10690, 11270
1401/08/25, 10950, 11330
1401/08/24, 11000, 11490
1401/08/23, 11050, 11500
1401/08/22, 11100, 11670
1401/08/21, 11360, 11840
1401/08/18, 10940, 11470
1401/08/17, 10870, 11980
1401/08/16, 10720, 11650
1401/08/15, 10650, 11100
1401/08/14, 10300, 10890
1401/08/11, 9850, 10490
1401/08/10, 10030, 10410
1401/08/09, 9980, 10290
1401/08/08, 9510, 10050
1401/08/07, 9600, 10120
1401/08/04, 9910, 10370
1401/08/03, 10300, 10740
1401/08/02, 10450, 11110
