date, min_price, max_price
1402/03/03, 7000, 7450
1402/03/02, 7010, 7400
1402/03/01, 7000, 7360
1402/02/31, 6630, 7040
1402/02/30, 6630, 7070
1402/02/27, 6740, 7190
1402/02/25, 6900, 6900
1402/02/23, 6410, 6800
1402/02/20, 6710, 7600
1402/02/19, 7080, 7540
1402/02/18, 7610, 7610
1402/02/17, 8130, 8720
1402/02/16, 8640, 9180
1402/02/13, 8890, 9400
1402/02/12, 8790, 8790
1402/02/09, 8060, 8290
1402/02/06, 7090, 7930
1402/02/05, 7200, 7440
1402/02/04, 6720, 7280
1402/01/30, 6670, 7070
1402/01/29, 6600, 7100
1402/01/28, 6450, 6870
1402/01/27, 6650, 7380
1402/01/26, 6800, 7040
1402/01/22, 6100, 6850
1402/01/21, 6230, 6840
1402/01/20, 5850, 6470
1402/01/19, 5870, 6100
1402/01/16, 5330, 5840
1402/01/15, 5300, 5600
1402/01/14, 5300, 5590
1402/01/09, 5291, 5500
1402/01/08, 5370, 5630
1402/01/07, 5300, 5660
1402/01/06, 5331, 5654
1402/01/05, 5285, 5285
1401/12/20, 7240, 7770
1401/12/16, 7160, 7710
1401/12/15, 7020, 7520
1401/12/14, 7180, 7590
1401/12/13, 6780, 7250
1401/12/10, 6810, 7340
1401/12/09, 6950, 7310
1401/12/08, 6970, 7400
1401/12/07, 7000, 7800
1401/12/06, 7020, 7340
1401/12/03, 6510, 7000
1401/12/02, 6720, 6910
1401/12/01, 6170, 6490
1401/11/30, 6020, 6220
1401/11/26, 5980, 6220
1401/11/25, 6000, 6200
1401/11/24, 6100, 6350
1401/11/23, 5970, 6350
1401/11/19, 5960, 6370
1401/11/18, 5950, 6340
1401/11/17, 5640, 6160
1401/11/16, 5700, 5990
1401/11/12, 5880, 6100
1401/11/11, 5870, 6050
1401/11/10, 5420, 6040
1401/11/09, 5700, 6170
1401/11/08, 5960, 6520
1401/11/05, 6380, 6900
1401/11/04, 6800, 7090
1401/11/03, 6900, 7500
1401/11/02, 6770, 7250
1401/11/01, 6830, 7350
1401/10/28, 6960, 7400
1401/10/27, 7120, 7500
1401/10/26, 6970, 7240
1401/10/24, 6300, 6980
1401/10/21, 6330, 6780
1401/10/20, 6390, 6840
1401/10/19, 6360, 6790
1401/10/18, 6200, 6700
1401/10/17, 6130, 6400
1401/10/14, 6070, 6230
1401/10/13, 6060, 6360
1401/10/12, 5950, 6300
1401/10/11, 5890, 6300
1401/10/10, 6100, 6350
1401/10/07, 6250, 6620
1401/10/05, 6060, 6330
1401/10/04, 6090, 6350
1401/10/03, 5910, 6240
1401/09/30, 5650, 5980
1401/09/29, 5750, 5900
1401/09/28, 5860, 6140
1401/09/27, 5800, 6120
1401/09/26, 5540, 5860
1401/09/23, 5550, 5950
1401/09/22, 5240, 5580
1401/09/21, 5020, 5350
1401/09/20, 4970, 5170
1401/09/19, 4980, 5170
1401/09/16, 5010, 5280
1401/09/15, 4860, 5150
1401/09/14, 4990, 5240
1401/09/13, 5130, 5340
1401/09/12, 5000, 5340
1401/09/09, 5050, 5250
1401/09/08, 5100, 5239
1401/09/07, 4990, 5245
1401/09/06, 4780, 5033
1401/09/05, 4800, 4969
1401/09/02, 4690, 4997
1401/09/01, 4647, 4818
1401/08/30, 4648, 4830
1401/08/29, 4590, 4800
1401/08/28, 4526, 4760
1401/08/25, 4815, 4993
1401/08/24, 4850, 5000
1401/08/23, 4700, 4900
1401/08/22, 4728, 4930
1401/08/21, 4810, 4990
1401/08/18, 4410, 4945
1401/08/17, 4530, 4946
1401/08/16, 4400, 4693
1401/08/15, 4299, 4548
1401/08/14, 4087, 4258
1401/08/11, 3800, 4066
1401/08/10, 3880, 4040
1401/08/09, 3741, 3930
1401/08/08, 3610, 3790
1401/08/07, 3610, 3890
1401/08/04, 3780, 4120
1401/08/03, 3950, 4248
1401/08/02, 4071, 4308
1401/08/01, 4216, 4541
1401/07/30, 4085, 4398
1401/07/27, 4080, 4159
1401/07/26, 4050, 4195
1401/07/25, 4030, 4150
1401/07/24, 4035, 4210
1401/07/23, 4181, 4280
1401/07/20, 4190, 4317
1401/07/19, 4240, 4348
1401/07/18, 4171, 4350
1401/07/17, 4170, 4398
1401/07/16, 4336, 4550
1401/07/12, 4301, 4570
1401/07/11, 4450, 4670
1401/07/10, 4358, 4597
1401/07/09, 4264, 4600
1401/07/06, 4521, 4646
1401/07/04, 4322, 4552
1401/07/02, 4194, 4508
1401/06/30, 4446, 4644
1401/06/29, 4581, 4866
1401/06/28, 4806, 4957
1401/06/27, 4750, 5080
1401/06/23, 4862, 5039
1401/06/22, 5000, 5160
1401/06/21, 4900, 5069
1401/06/20, 4940, 5020
1401/06/19, 4730, 5080
1401/06/16, 4860, 5090
1401/06/15, 4950, 5080
1401/06/14, 4940, 5170
1401/06/13, 4820, 5210
1401/06/12, 4790, 5100
1401/06/09, 5000, 5190
1401/06/08, 5050, 5270
1401/06/07, 4990, 5340
1401/06/06, 5040, 5230
1401/06/05, 5120, 5390
1401/06/02, 4900, 5124
1401/06/01, 4704, 4930
1401/05/31, 4700, 4890
1401/05/30, 4730, 4848
1401/05/29, 4742, 4865
1401/05/26, 4751, 4869
1401/05/25, 4740, 4910
1401/05/24, 4722, 4910
1401/05/23, 4789, 5089
1401/05/22, 4805, 5088
1401/05/19, 4750, 4989
1401/05/18, 4800, 5100
1401/05/15, 4780, 4960
1401/05/12, 4651, 4870
1401/05/11, 4560, 4805
1401/05/10, 4520, 4670
1401/05/09, 4559, 4809
1401/05/08, 4753, 5060
1401/05/05, 4700, 4890
1401/05/04, 4660, 5050
1401/05/03, 4610, 4930
1401/05/02, 4740, 5100
1401/05/01, 4820, 5120
1401/04/29, 5000, 5280
1401/04/28, 5030, 5260
1401/04/26, 4750, 5140
1401/04/25, 4860, 5140
1401/04/22, 5030, 5440
1401/04/21, 5280, 5930
1401/04/13, 5900, 6120
1401/04/12, 6010, 6220
1401/04/11, 6080, 6300
1401/04/08, 6120, 6460
1401/04/07, 6250, 6440
1401/04/06, 6110, 6420
1401/04/05, 6270, 6500
1401/04/04, 6360, 6600
1401/04/01, 6540, 6790
1401/03/31, 6420, 6990
1401/03/30, 6610, 6990
1401/03/29, 6410, 6900
1401/03/28, 6590, 7070
1401/03/25, 6850, 7130
1401/03/24, 6720, 7160
1401/03/23, 6600, 6860
1401/03/22, 6170, 6670
1401/03/21, 6230, 6610
1401/03/18, 6450, 6680
1401/03/17, 6490, 6800
1401/03/16, 6660, 7110
1401/03/11, 6930, 7360
1401/03/10, 6720, 7340
1401/03/09, 6560, 7140
1401/03/08, 6700, 7190
1401/03/07, 7030, 7380
1401/03/04, 7000, 7400
1401/03/03, 6870, 7290
1401/03/02, 7040, 7600
1401/03/01, 7380, 7690
1401/02/31, 7460, 7880
1401/02/28, 7500, 7800
1401/02/27, 7630, 8250
1401/02/26, 7500, 7850
1401/02/25, 7240, 7590
1401/02/24, 7250, 7700
1401/02/21, 7400, 7740
1401/02/20, 7200, 7600
1401/02/19, 7480, 7950
1401/02/18, 7790, 8100
1401/02/17, 7210, 7870
1401/02/12, 7300, 7610
1401/02/11, 7400, 7660
1401/02/10, 7500, 7760
1401/02/07, 7550, 7810
1401/02/06, 7530, 7960
1401/02/05, 7560, 7970
1401/02/04, 7550, 7900
1401/01/31, 7780, 8220
1401/01/30, 7650, 8220
1401/01/29, 7600, 8150
1401/01/28, 7800, 8220
1401/01/27, 7830, 7830
1401/01/24, 7460, 7460
1401/01/23, 7110, 7110
1401/01/15, 12300, 12630
1401/01/14, 11850, 12050
1401/01/10, 11300, 11700
1401/01/09, 11560, 12440
1401/01/07, 11940, 12380
1401/01/06, 11600, 11860
1400/12/28, 11010, 11360
1400/12/25, 10500, 11260
1400/12/24, 10860, 11400
1400/12/23, 10910, 11460
1400/12/22, 11130, 11580
1400/12/21, 11710, 12000
1400/12/18, 11990, 12700
1400/12/17, 11500, 12700
1400/12/16, 11550, 12260
1400/12/15, 11780, 12530
1400/12/14, 11660, 12540
1400/12/11, 11570, 12010
1400/12/09, 11010, 11480
1400/12/08, 10610, 11160
1400/12/07, 10200, 10980
1400/12/04, 9980, 10500
1400/12/03, 9830, 10170
1400/12/02, 9800, 10050
1400/12/01, 9760, 10080
1400/11/30, 9870, 10440
1400/11/27, 9970, 10500
1400/11/25, 9800, 10230
1400/11/24, 9890, 10280
1400/11/23, 9720, 10310
1400/11/20, 9710, 10120
1400/11/19, 9630, 10110
