date, min_price, max_price
1402/03/02, 2801, 2978
1402/03/01, 2714, 2842
1402/02/31, 2610, 2720
1402/02/30, 2681, 2920
1402/02/27, 2725, 2919
1402/02/25, 2721, 2950
1402/02/24, 2733, 2909
1402/02/23, 2716, 2800
1402/02/20, 2846, 3210
1402/02/19, 3045, 3145
1402/02/18, 3274, 3274
1402/02/17, 3409, 3854
1402/02/16, 3550, 3850
1402/02/13, 3596, 3750
1402/02/12, 3500, 3640
1402/02/11, 3440, 3710
1402/02/10, 3590, 3753
1402/02/09, 3500, 3897
1402/02/06, 3560, 3765
1402/01/30, 3450, 3590
1402/01/29, 3351, 3415
1402/01/28, 2954, 3230
1402/01/27, 2921, 3037
1402/01/26, 2760, 2842
1402/01/22, 2500, 2750
1402/01/21, 2500, 2800
1402/01/20, 2560, 2731
1402/01/19, 2490, 2560
1402/01/16, 2224, 2440
1402/01/15, 2230, 2360
1402/01/14, 2201, 2333
1402/01/09, 2256, 2310
1402/01/08, 2215, 2348
1402/01/07, 2200, 2322
1402/01/06, 2224, 2379
1402/01/05, 2250, 2440
1401/12/28, 2277, 2450
1401/12/27, 2250, 2345
1401/12/24, 2072, 2215
1401/12/23, 2014, 2130
1401/12/22, 2022, 2110
1401/12/21, 2000, 2053
1401/12/20, 2088, 2210
1401/12/16, 2000, 2101
1401/12/15, 1871, 2034
1401/12/14, 1930, 2098
1401/12/13, 2033, 2094
1401/12/10, 2106, 2269
1401/12/09, 2170, 2320
1401/12/08, 2100, 2350
1401/12/07, 2146, 2233
1401/12/06, 2087, 2087
1401/12/03, 1825, 2003
1401/12/02, 1872, 1872
1401/12/01, 1712, 1756
1401/11/30, 1530, 1657
1401/11/26, 1522, 1600
1401/11/25, 1575, 1668
1401/11/24, 1608, 1678
1401/11/23, 1601, 1710
1401/11/19, 1671, 1785
1401/11/18, 1623, 1705
1401/11/17, 1540, 1646
1401/11/16, 1628, 1786
1401/11/12, 1667, 1799
1401/11/11, 1661, 1802
1401/11/10, 1778, 1870
1401/11/09, 1911, 1911
1401/11/08, 2054, 2054
1401/11/03, 2128, 2261
1401/11/02, 1967, 2126
1401/11/01, 1940, 2050
1401/10/28, 1861, 1979
1401/10/27, 1740, 1896
1401/10/26, 1730, 1787
1401/10/24, 1524, 1743
1401/10/21, 1576, 1666
1401/10/20, 1600, 1647
1401/10/19, 1508, 1600
1401/10/18, 1501, 1546
1401/10/17, 1430, 1482
1401/10/14, 1396, 1450
1401/10/13, 1424, 1538
1401/10/12, 1432, 1527
1401/10/11, 1432, 1550
1401/10/10, 1506, 1545
1401/10/07, 1565, 1585
1401/10/05, 1471, 1530
1401/10/04, 1403, 1484
1401/10/03, 1372, 1417
1401/09/30, 1317, 1360
1401/09/29, 1310, 1340
1401/09/28, 1331, 1384
1401/09/27, 1343, 1374
1401/09/26, 1295, 1355
1401/09/23, 1300, 1355
1401/09/22, 1241, 1307
1401/09/21, 1206, 1269
1401/09/20, 1200, 1242
1401/09/19, 1201, 1263
1401/09/16, 1234, 1290
1401/09/15, 1232, 1286
1401/09/14, 1240, 1296
1401/09/13, 1231, 1308
