date, min_price, max_price
1402/02/30, 22050, 24050
1402/02/27, 22750, 23350
1402/02/25, 20550, 22550
1402/02/24, 20700, 21600
1402/02/23, 19950, 21950
1402/02/20, 21150, 23950
1402/02/19, 22600, 23600
1402/02/18, 24300, 24600
1402/02/17, 26050, 27500
1402/02/16, 27100, 29150
1402/02/13, 25050, 28750
1402/02/12, 24800, 27200
1402/02/11, 24850, 26750
1402/02/10, 25650, 26650
1402/02/09, 24150, 26100
1402/02/06, 23750, 25000
1402/02/05, 24000, 25050
1402/02/04, 23900, 25400
1402/01/30, 23850, 25150
1402/01/29, 24000, 26300
1402/01/28, 23950, 26150
1402/01/27, 24550, 27300
1402/01/26, 25000, 25700
1402/01/22, 22100, 24800
1402/01/21, 21700, 23850
1402/01/20, 20900, 22700
1402/01/19, 20400, 21400
1402/01/16, 18980, 20280
1402/01/15, 18450, 19970
1402/01/14, 18670, 19800
1402/01/09, 18130, 19380
1402/01/08, 17900, 18760
1402/01/07, 17620, 18530
1402/01/06, 17640, 19200
1402/01/05, 18300, 19500
1401/12/28, 18000, 19290
1401/12/27, 18100, 18770
1401/12/24, 17180, 18540
1401/12/23, 16870, 17800
1401/12/22, 17290, 17950
1401/12/21, 17010, 18060
1401/12/20, 17970, 19240
1401/12/16, 18530, 19700
1401/12/15, 19020, 20750
1401/12/14, 19000, 21180
1401/12/13, 18500, 21000
1401/12/10, 18000, 20000
1401/12/09, 17700, 19060
1401/12/08, 17220, 18220
1401/12/07, 17410, 19080
1401/12/06, 17970, 18370
1401/12/03, 16400, 17700
1401/12/02, 16540, 17340
1401/12/01, 15300, 16320
1401/11/30, 14870, 15890
1401/11/26, 14770, 16000
1401/11/25, 15500, 16400
1401/11/24, 16010, 16580
1401/11/23, 16150, 17200
1401/11/19, 15920, 17090
1401/11/18, 16170, 16950
1401/11/17, 15630, 16550
1401/11/16, 15880, 17800
1401/11/12, 16340, 17200
1401/11/11, 15780, 16610
1401/11/10, 15400, 17170
1401/11/09, 16410, 17580
1401/11/08, 16910, 18550
1401/11/05, 17370, 19140
1401/11/04, 18450, 20000
1401/11/03, 18800, 21100
1401/11/02, 18620, 20700
1401/11/01, 19190, 21310
1401/10/28, 18870, 20720
1401/10/27, 18500, 20100
1401/10/26, 17870, 19120
1401/10/24, 17650, 18280
1401/10/21, 16960, 17970
1401/10/20, 16010, 17340
1401/10/19, 16010, 16500
1401/10/18, 15860, 16260
1401/10/17, 15500, 16090
1401/10/14, 15110, 16240
1401/10/13, 15080, 16390
1401/10/12, 15200, 15590
1401/10/11, 14500, 15630
1401/10/10, 15040, 16350
1401/10/07, 16000, 16600
1401/10/05, 15390, 16130
1401/10/04, 15610, 16320
1401/10/03, 15700, 16360
1401/09/30, 15630, 16350
1401/09/29, 15420, 16500
1401/09/28, 15720, 17350
1401/09/27, 15860, 16470
1401/09/26, 14700, 15860
1401/09/23, 14470, 15000
1401/09/22, 14370, 14790
1401/09/21, 13830, 14810
1401/09/20, 13440, 14610
1401/09/19, 14010, 14420
1401/09/16, 14120, 14650
1401/09/15, 14100, 14570
1401/09/14, 14060, 14510
1401/09/13, 14000, 14800
1401/09/12, 13930, 14130
1401/09/09, 13960, 14480
1401/09/08, 14070, 14490
1401/09/07, 13870, 14490
1401/09/06, 14060, 14690
1401/09/05, 14300, 15000
1401/09/02, 14280, 15090
1401/09/01, 14250, 14980
1401/08/30, 14560, 14850
1401/08/29, 14520, 14980
1401/08/28, 14560, 15050
1401/08/25, 14500, 15000
1401/08/24, 14700, 15090
1401/08/23, 14550, 15090
1401/08/22, 14300, 15460
1401/08/21, 14540, 14890
1401/08/18, 14550, 15090
1401/08/17, 14510, 15180
1401/08/16, 14500, 15330
1401/08/15, 14210, 15240
1401/08/14, 14240, 15500
1401/08/11, 13940, 15150
1401/08/10, 13980, 14580
1401/08/09, 14300, 15130
1401/08/08, 13790, 14750
1401/08/07, 14030, 15770
1401/08/04, 14240, 15200
1401/08/03, 15250, 15900
1401/08/02, 15610, 16850
1401/08/01, 16000, 16320
1401/07/30, 13550, 20000
