date, min_price, max_price
1402/03/03, 28830, 30490
1402/03/02, 29510, 32000
1402/03/01, 31270, 31270
1402/02/20, 28880, 31900
1402/02/19, 30390, 30390
1402/02/18, 31980, 31980
1402/02/17, 33550, 34780
1402/02/16, 34800, 38000
1402/02/13, 35500, 36820
1402/02/12, 34350, 36990
1402/02/11, 33500, 35980
1402/02/10, 34270, 34270
1402/02/09, 32640, 32640
1402/02/06, 29750, 31650
1402/02/04, 29520, 30180
1402/01/30, 27920, 28850
1402/01/29, 27480, 27480
1402/01/28, 26180, 26180
1402/01/27, 24900, 24940
1402/01/26, 23400, 23810
1402/01/22, 22000, 23320
1402/01/21, 22240, 23690
1402/01/20, 23040, 24250
1402/01/19, 22900, 23990
1402/01/16, 22010, 23570
1402/01/15, 22030, 23600
1402/01/14, 21070, 23000
1402/01/09, 21210, 22110
1402/01/08, 20620, 21090
1402/01/07, 19210, 20620
1402/01/06, 19200, 20170
1402/01/05, 19510, 20600
1401/12/28, 19240, 20420
1401/12/27, 19010, 19800
1401/12/24, 18800, 19480
1401/12/23, 18040, 18970
1401/12/22, 17800, 18800
1401/12/21, 18510, 19090
1401/12/20, 19040, 20320
1401/12/16, 18960, 19870
1401/12/15, 18640, 19180
1401/12/14, 18780, 19300
1401/12/13, 18890, 19990
1401/12/10, 19150, 20500
1401/12/09, 18870, 19980
1401/12/08, 19130, 20070
1401/12/07, 19260, 20600
1401/12/06, 19060, 19640
1401/12/03, 18270, 19200
1401/12/02, 18770, 19740
1401/12/01, 18730, 19250
1401/11/30, 17870, 19400
1401/11/26, 18780, 19320
1401/11/25, 19600, 20500
1401/11/24, 19990, 21300
1401/11/23, 19920, 21230
1401/11/19, 20260, 21480
1401/11/18, 20740, 22190
1401/11/17, 21570, 21570
1401/11/16, 22650, 23400
1401/11/12, 23010, 25430
1401/11/11, 24220, 24220
1401/11/10, 23070, 23070
1401/11/09, 21980, 21980
1401/11/08, 20940, 20940
1401/11/05, 20500, 20500
1401/10/21, 32130, 34350
1401/10/20, 31500, 33620
1401/10/19, 32020, 32700
1401/10/18, 31000, 31190
1401/10/17, 28700, 29930
1401/10/14, 28350, 29350
1401/10/13, 28500, 30490
1401/10/12, 29510, 30400
1401/10/11, 29080, 30750
1401/10/10, 30440, 32170
1401/10/07, 31530, 32800
1401/10/05, 31400, 32750
1401/10/04, 31420, 32900
1401/10/03, 30740, 31880
1401/09/30, 30520, 31740
1401/09/29, 30810, 32420
1401/09/28, 31290, 32850
1401/09/27, 29830, 31510
1401/09/26, 29480, 30400
1401/09/23, 29590, 30790
1401/09/22, 29020, 30790
1401/09/21, 29210, 30500
1401/09/20, 27530, 29740
1401/09/19, 28210, 29700
1401/09/16, 29100, 30440
1401/09/15, 29460, 30650
1401/09/14, 27950, 29660
1401/09/13, 28000, 28890
1401/09/12, 28200, 29140
1401/09/09, 27330, 28950
1401/09/08, 27780, 28810
1401/09/07, 28150, 29400
1401/09/06, 27160, 29530
1401/09/05, 27950, 29600
1401/09/02, 28510, 30210
1401/09/01, 28200, 28890
1401/08/30, 26550, 27810
1401/08/29, 25830, 27750
1401/08/28, 26980, 28500
1401/08/25, 28100, 29400
1401/08/24, 28580, 30450
1401/08/23, 29200, 30950
1401/08/22, 28800, 30670
1401/08/21, 28920, 29920
1401/08/18, 27370, 29440
1401/08/17, 28020, 29790
1401/08/16, 28590, 29890
1401/08/15, 28180, 30000
